ID	状況	決定内容・残論点	次のアクション	対応区分
D-7	検討中	不正検知データベースの大阪方式と緊急アクセスの大阪実体（3 人日、U7×U8）	P-05 コールド DR 転換の影響を織り込んで実施する	設計タスク
D-8	検討中	利用者属性の値定義と拡張属性の受入枠（2 人日）	即着手可。質問状 Q22（お客様固有の追加項目）の回答が入力	設計タスク
D-9	検討中	管理 API 周辺 5 点（5 人日）。権限台帳×アプリ台帳のスキーマ統合 / 監査の二重書き / 承認画面の共用 / 外形監視の範囲 / 目標値の境界	即着手可。FR-ADMIN-004 / FR-ADMIN-005 の前提	設計タスク
D-10	対象外	LDAP 経路の追加処理設計。2026-07-30 に廃止。工数 0	なし（廃止済み）	設計タスク
D-11	検討中	SAML IdP の設定ひな形（2 人日）	A-5 の結果待ち	設計タスク
D-12	検討中	IdP 証明書の更新運用設計（3 人日）	A-9 の結果待ち	設計タスク
D-13	検討中	ログイン失敗ロックと危険度判定の整合（2 人日）	即着手可	設計タスク
D-14	検討中	防御装置のフォーム項目添付と振り分け画面の文言最終稿（1 人日）	即着手可	設計タスク
D-15	検討中	特権昇格 API の配置（2 人日）	F-4（ADR-040 別スレッド完了）待ち。※ADR-040 は 2026-07-23 に Phase 1 実装対象へ格上げ済みのため、前提が変わっていないか要確認	設計タスク
D-16	検討中	ServiceNow の移行・並走・削除連鎖の設計詰め（4 人日）	即着手可（B-SN 群は暫定で骨子作成可）	設計タスク
D-17	検討中	利用者モデルの改訂（5 人日）。全顧客利用者をお客様 IdP 側または IdP-KC 収容へ寄せ、ローカルは基盤運用者のみに限定。U2/U3/U4/U7 の『管理者=ローカル』前提を書き換える	即着手可。2026-07-30 決定の反映漏れであり、放置すると U4/U7 の記述が誤ったまま残る。優先度高	設計タスク
D-18	検討中	災害対策のコールド化とデータ保全の改訂（8 人日）。ADR-051 全面改訂 + 大阪常時コスト削除 + 復旧手順書改訂	即着手可。NFR-DR-001/002/003 と P-05 の文書反映がこれ待ち。優先度高	設計タスク
E-1	検討中	開発・検証環境の設計（8 人日）。6 アカウント体系は本番前提で、検証環境がどの単元にも無い	即着手可。※質問状 Q57 の非本番データ方針（B-TESTDATA-1）と連動	設計タスク
E-2	検討中	負荷試験の一元計画書（4 人日）	即着手可。A-1 のクリティカルパス上流のため W0 で着手	設計タスク
E-3	検討中	継続的なコスト管理（4 人日）。タグ戦略・予算アラート・テナント別原価・3 年見積回収	即着手可。NFR-COST-001/002/004/005/008/009 の受け皿になる	設計タスク
E-4	検討中	本番設定の詰め漏れ反映（5 人日）。要求の待ち行列上限・公開パス遮断表・クラスタ内通信の証明書自動更新ほか	即着手可	設計タスク
E-5	検討中	更新運用の精密化（5 人日）。無停止更新の可否判定の自動化・全停止を伴う変更のメンテ窓設計	即着手可（A-11 と連動）	設計タスク
E-6	検討中	データベース接続の公式部品採否（3 人日）	即着手可	設計タスク
E-7	検討中	クラスタ監査ログの中央集約制約（3 人日）	即着手可。※禁則 K-12（監査記録の詳細度を上げない）と整合させること	設計タスク
E-8	検討中	総当たり攻撃対策の戦略選定と利用者存在の推測対策の明文化（1 人日）	即着手可	設計タスク
F-1	検討中	ヒアリング質問状のパッケージ化（2 人日）。※2026-08-14〜16 に顧客説明資料 57 項目と質問状 67 問を作成済みのため、本タスクは実質着手済み	作成済みの 2 資材を成果物として紐づけ、残工数を再評価する（当初 2 人日 → 実質消化済みの見込み）	設計タスク
F-2	外部待ち	ヒアリング回答の反映（8 人日）。前提表の更新と影響単元の改訂	質問状の送付と回収が前提。W0 で送付する	設計タスク
F-3	外部待ち	法務系の起票と追撃（2 人日）。基盤ベンダーとのデータ取扱い契約・鍵管理者合意・報告雛形・契約テンプレ	最優先で起票する。実質残ブロッカーの 1 つ（保守要員の海外からの閲覧）。質問状 Q50 と連動	設計タスク
F-4	外部待ち	ADR-040 / 036 の別スレッド完了後の統合（2 人日）	別スレッドの完了を確認する。※ADR-040 は 2026-07-23 に Phase 1 実装対象へ格上げ済みのため『対象外の残存参照整理』というタスク説明自体が古い可能性がある	設計タスク
G-1	検討中	運用手順書 Phase 1 必須 13 冊の執筆（16 人日）	即着手可。仕様は各単元で確定済み。W1 で並行実施	設計タスク
G-2	対象外	残り 22 冊の手順書（参考 20 人日、総計外）。リリース後 3 か月以内	基本設計クローズの対象外。Excel でも総計外として区別する	設計タスク
G-3	検討中	呼び出し当番と通知経路の実体（2 人日）。呼び出しサービスの契約・当番表	即着手可。※質問状 Q48（24 時間対応の開始時期）の回答で規模が変わる	設計タスク
G-4	検討中	構成図の清書（4 人日）。mermaid から AWS アイコン版へ、旧 EKS 図の置換	即着手可	設計タスク
D-DEPROV-1	検討中	設計書に記載なし。要調査。Git 全文検索でヒット 0 件（doc/ 配下すべて）。名称から退職者遮断（deprovisioning）関連と推測されるが、Git 側の該当タスクは 00a の D 系ではなく U9 D-U9-17（退職者遮断バッチ = クラスタ内 CronJob、決定済み）および DU-U3-05 / ADR-064（削除伝播 outbox）	Excel 側で ID の由来を確認する。既存の D-U9-17 / ADR-064 と重複するなら統合し、別物なら Git 側に起票する	設計タスク
D-IDMAPI-1	検討中	設計書に記載なし。要調査。Git 全文検索でヒット 0 件。名称から管理 API（idm-api）関連と推測されるが、Git 側の該当は ADR-062（実行形態 = Lambda）/ ADR-063（ブランド側 #2 主役）/ 00a D-5（内部ルート）/ D-9（周辺 5 点）	Excel 側で ID の由来を確認する。上記いずれかと重複するなら統合する	設計タスク
P-BRAND-1	検討中	設計書に記載なし。要調査。Git 全文検索でヒット 0 件。名称からブランドユニット関連の前提（P-xx）と推測されるが、Baseline の前提表は P-01〜P-18 で P-BRAND-1 は存在しない。ADR-063（ブランドユニット）に対応する前提は未採番	Excel 側で ID の由来を確認する。ADR-063 の前提を正式に P-19 として Baseline に採番することを推奨	設計タスク
