Q番号	対応ID	章	宛先	優先度	項目名	質問	選択肢	なぜ聞くか	回答が設計に与える影響	既出・関連
Q29	FR-SSO-004	② ログイン基盤連携・SSO	アプリチーム	通常	ログアウト後の戻り先 URL の扱い	ログアウト後に利用者を戻す画面の URL を、事前に登録したものだけに限定する方式でよろしいですか。 選択肢: - A) 事前に登録した URL のみ許可（アプリごとに登録）【弊社の推奨・現行の暫定値】 - B) アプリ側が自由に指定できるようにする - C) 未定	A) 事前に登録した URL のみ許可（アプリごとに登録）【弊社の推奨・現行の暫定値】 / B) アプリ側が自由に指定できるようにする / C) 未定	戻り先を自由に指定できると、利用者を悪意あるサイトへ飛ばす攻撃の入口になるためです。	A の場合、アプリごとに戻り先 URL の一覧（目安 5〜10 本）を事前にご提出いただく作業が発生し、追加・変更のたびに申請が必要になります。B は追加開発は不要ですが、セキュリティ上お勧めできず、監査時の指摘対象になり得ます。	B-703 / B-703-1（戻り先 URL の管理方針・事前登録）と同趣旨
Q30	FR-SSO-005	② ログイン基盤連携・SSO	事業側	通常	お客様企業のログイン基盤側まで一緒にログアウトさせるか	本サービスからログアウトしたとき、お客様企業のログイン基盤側のログイン状態まで一緒に解除しますか。 選択肢: - A) 解除しない（既定はオフ。ご希望のお客様のみ個別に有効化）【弊社の推奨・現行の暫定値】 - B) 全お客様で常に解除する - C) 未定	A) 解除しない（既定はオフ。ご希望のお客様のみ個別に有効化）【弊社の推奨・現行の暫定値】 / B) 全お客様で常に解除する / C) 未定	お客様企業のログイン基盤は、その会社の社内の他システムにも使われていることが多く、こちら起点で解除すると他システムまで巻き込んで強制ログアウトさせてしまうためです。	A は既定のままで追加費用は発生せず、個別のご希望には会社ごとの設定項目として対応します（追加費用なし）。B は「他システムも一緒に落ちる」ことについて 1000 社すべてから事前同意を取る必要があり、契約・説明の負担が大きくなります。なお、お客様が自社のログイン基盤をお持ちでない場合に弊社側でお預かりするログイン状態については、共用端末での再ログインを防ぐため既定で常に解除します。	B-702 / B-APP-OIDC-3（ログアウト方式）と同趣旨
Q31	FR-AUTH-010	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	前に使ったパスワードの使い回し禁止	過去に使ったパスワードの再利用を禁止する世代数は、直近 5 回分でよろしいでしょうか。 選択肢: - A) 直近 5 回分 【弊社の推奨・現行の暫定値】 - B) 直近 3 回分 - C) 直近 10 回分以上（具体的な数をご指定ください） - D) 制限しない なぜ聞くか: 御社の社内規程がパスワードの再利用禁止を定めている場合、弊社の初期値と食い違うと規程違反になるためです（この設定が効くのは、御社側にログイン基盤がなく弊社がパスワードをお預かりする利用者のみです）。 回答が設計に与える影響: 世代数を変えても費用・工数は動かず、設定値の変更のみで対応できます。世代数を増やすほど、利用者が「前に使ったパスワードが使えない」と戸惑う問い合わせが増えます。 優先度: 通常 既出: C-204-2 と同趣旨 — 二重に聞かない	A) 直近 5 回分 【弊社の推奨・現行の暫定値】 / B) 直近 3 回分 / C) 直近 10 回分以上（具体的な数をご指定ください） / D) 制限しない	御社の社内規程がパスワードの再利用禁止を定めている場合、弊社の初期値と食い違うと規程違反になるためです（この設定が効くのは、御社側にログイン基盤がなく弊社がパスワードをお預かりする利用者のみです）。	世代数を変えても費用・工数は動かず、設定値の変更のみで対応できます。世代数を増やすほど、利用者が「前に使ったパスワードが使えない」と戸惑う問い合わせが増えます。	C-204-2 と同趣旨 — 二重に聞かない
Q32	FR-AUTH-011a	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	何回間違えたらロックするか	パスワードを何回続けて間違えたら、そのアカウントを一時的に使えなくしますか。 選択肢: - A) 5 回 【弊社の推奨・現行の暫定値】 - B) 3 回 - C) 10 回 - D) 回数によるロックはしない なぜ聞くか: 総当たりで password を破ろうとする攻撃を止める強さと、打ち間違いで正規の利用者が締め出される起こりやすさが、この回数だけで決まるためです。 回答が設計に与える影響: 設定値の変更のみで、弊社の実装費用は動きません。回数を減らすほど安全側になりますが、ロック解除の問い合わせが増え、御社の管理者または弊社運用の対応工数が増えます。 優先度: 通常 既出: C-205 と同趣旨 — 二重に聞かない	A) 5 回 【弊社の推奨・現行の暫定値】 / B) 3 回 / C) 10 回 / D) 回数によるロックはしない	総当たりで password を破ろうとする攻撃を止める強さと、打ち間違いで正規の利用者が締め出される起こりやすさが、この回数だけで決まるためです。	設定値の変更のみで、弊社の実装費用は動きません。回数を減らすほど安全側になりますが、ロック解除の問い合わせが増え、御社の管理者または弊社運用の対応工数が増えます。	C-205 と同趣旨 — 二重に聞かない
Q33	FR-AUTH-012	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	パスワードを定期的に変えさせるか	パスワードを一定期間ごとに変更させる必要はありますか。 選択肢: - A) 定期的な変更は求めない 【弊社の推奨】 - B) 90 日ごとに変更 - C) 180 日ごとに変更 - D) その他（日数をご指定ください） なぜ聞くか: 定期変更の要否は公的ガイドラインと御社の社内規程で判断が分かれる論点であり、弊社の設計書でも日数は決めていない（未確定）ためです。 回答が設計に与える影響: 定期変更ありを選ぶと、期限切れ時の変更画面と事前のお知らせ運用が追加で必要になり、期限切れ直後の問い合わせが集中します。弊社は「追加の本人確認を必ず行う代わりに定期変更は求めない」という整理を取っており、A 以外を選ぶ場合はこの整理を組み直します。 優先度: 通常	A) 定期的な変更は求めない 【弊社の推奨】 / B) 90 日ごとに変更 / C) 180 日ごとに変更 / D) その他（日数をご指定ください）	定期変更の要否は公的ガイドラインと御社の社内規程で判断が分かれる論点であり、弊社の設計書でも日数は決めていない（未確定）ためです。	定期変更ありを選ぶと、期限切れ時の変更画面と事前のお知らせ運用が追加で必要になり、期限切れ直後の問い合わせが集中します。弊社は「追加の本人確認を必ず行う代わりに定期変更は求めない」という整理を取っており、A 以外を選ぶ場合はこの整理を組み直します。	
Q34	FR-AUTH-013a	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	パスワードを忘れたときの再設定方法	利用者がパスワードを忘れたとき、どの方法で再設定できるようにしますか。 選択肢: - A) あらかじめ配った予備コードで本人確認したうえで、本人が再設定する 【弊社の推奨】 - B) 御社の管理者が仮のパスワードを発行する - C) A と B の両方を用意する - D) メールで再設定用のリンクを送る なぜ聞くか: 弊社は業務用メールアドレスを持たない利用者を前提としているためメール送付による再設定を採用しない決定をしており、その代わりの手段を確定する必要があるためです。 回答が設計に与える影響: B・C を選ぶと、御社の管理者に受付・本人確認・仮パスワード発行の運用が常時発生します。D は弊社の決定方針（メールを使わない）と矛盾するため、採用する場合は方針の見直しとなり、設計・検証のやり直し工数が発生します。 優先度: 通常 既出: B-RECOV-1 と同趣旨 — 二重に聞かない	A) あらかじめ配った予備コードで本人確認したうえで、本人が再設定する 【弊社の推奨】 / B) 御社の管理者が仮のパスワードを発行する / C) A と B の両方を用意する / D) メールで再設定用のリンクを送る	弊社は業務用メールアドレスを持たない利用者を前提としているためメール送付による再設定を採用しない決定をしており、その代わりの手段を確定する必要があるためです。	B・C を選ぶと、御社の管理者に受付・本人確認・仮パスワード発行の運用が常時発生します。D は弊社の決定方針（メールを使わない）と矛盾するため、採用する場合は方針の見直しとなり、設計・検証のやり直し工数が発生します。	B-RECOV-1 と同趣旨 — 二重に聞かない
Q35	FR-AUTH-013b	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	管理者がリセットするときの本人確認	管理者がパスワードや追加の本人確認をリセットする際、依頼してきた人が本人であることをどの方法で確認しますか。 選択肢: - A) 対面など、顔が分かる経路で確認する 【弊社の推奨・現行の暫定値】 - B) 上長の承認をもって本人と認める - C) 社員番号など本人しか知らない情報を照合する - D) 御社で既に定めている規程に従う（内容をご提示ください） なぜ聞くか: この確認が甘いと「本人になりすまして電話をかけ、リセットさせる」手口でアカウントを乗っ取られるためです（弊社設計書では御社のポリシー次第として未確定にしています）。 回答が設計に与える影響: 確認手順は御社向けの運用手順書と、管理画面上の注意文言に反映します。弊社側の実装工数は選択肢によって変わりません。 優先度: 通常 既出: B-IDM-6 と同趣旨 — 二重に聞かない	A) 対面など、顔が分かる経路で確認する 【弊社の推奨・現行の暫定値】 / B) 上長の承認をもって本人と認める / C) 社員番号など本人しか知らない情報を照合する / D) 御社で既に定めている規程に従う（内容をご提示ください）	この確認が甘いと「本人になりすまして電話をかけ、リセットさせる」手口でアカウントを乗っ取られるためです（弊社設計書では御社のポリシー次第として未確定にしています）。	確認手順は御社向けの運用手順書と、管理画面上の注意文言に反映します。弊社側の実装工数は選択肢によって変わりません。	B-IDM-6 と同趣旨 — 二重に聞かない
Q36	FR-MFA-001	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	認証アプリの 6 桁コードを認めるか	端末に保存する鍵（指紋・顔認証・セキュリティキー）が使えない利用者向けの代わりの手段として、認証アプリの 6 桁コードを許可しますか。 選択肢: - A) 許可する 【弊社の推奨・現行の暫定値】 - B) 許可しない（端末に保存する鍵のみ） - C) 追加の本人確認そのものを行わない なぜ聞くか: 指紋・顔認証に対応していない古い端末や共用端末を使う利用者がどの程度いるかによって、代わりの手段が要るかどうかが変わるためです。 回答が設計に与える影響: A は追加費用なしで実装できます。B にすると対応端末の配備が前提になり、端末の調達費用が御社側に発生します。C は御社側にログイン基盤がある場合のみ成立し、その場合の追加の本人確認は御社側の責任範囲になります。 優先度: 通常 既出: B-502 と同趣旨 — 二重に聞かない	A) 許可する 【弊社の推奨・現行の暫定値】 / B) 許可しない（端末に保存する鍵のみ） / C) 追加の本人確認そのものを行わない	指紋・顔認証に対応していない古い端末や共用端末を使う利用者がどの程度いるかによって、代わりの手段が要るかどうかが変わるためです。	A は追加費用なしで実装できます。B にすると対応端末の配備が前提になり、端末の調達費用が御社側に発生します。C は御社側にログイン基盤がある場合のみ成立し、その場合の追加の本人確認は御社側の責任範囲になります。	B-502 と同趣旨 — 二重に聞かない
Q37	FR-MFA-002	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	端末に保存する鍵を第一の手段にするか	追加の本人確認の第一の手段を、端末に保存する鍵（指紋・顔認証・セキュリティキー）とすることでよろしいでしょうか。 選択肢: - A) 第一の手段とする 【弊社の推奨・現行の暫定値】 - B) 認証アプリの 6 桁コードを第一の手段とする - C) 決めていない（弊社の推奨に従う） なぜ聞くか: 端末に保存する鍵は偽のログイン画面に誘導されても盗まれない方式であり、弊社は管理者と弊社運用者にはこの方式を必須とする方針を取っているためです。 回答が設計に与える影響: A は追加費用なしで実装できます。B にすると偽サイト対策が弱くなるため、不審なログインを見つける監視の強化を別途検討することになり、その分の設計工数が増えます。 優先度: 通常 既出: B-503 / C-211 と同趣旨 — 二重に聞かない	A) 第一の手段とする 【弊社の推奨・現行の暫定値】 / B) 認証アプリの 6 桁コードを第一の手段とする / C) 決めていない（弊社の推奨に従う）	端末に保存する鍵は偽のログイン画面に誘導されても盗まれない方式であり、弊社は管理者と弊社運用者にはこの方式を必須とする方針を取っているためです。	A は追加費用なしで実装できます。B にすると偽サイト対策が弱くなるため、不審なログインを見つける監視の強化を別途検討することになり、その分の設計工数が増えます。	B-503 / C-211 と同趣旨 — 二重に聞かない
Q38	FR-MFA-003	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	SMS で送る確認コードの要否	SMS で送る確認コードを、追加の本人確認の手段として使う必要はありますか。 選択肢: - A) 不要（使わない） 【弊社の推奨・不採用の方針】 - B) 必要（対象となる利用者層をご提示ください） なぜ聞くか: SMS は電話番号を第三者に乗っ取られて確認コードを横取りされる事例が多く、公的なガイドラインでも推奨されない方式であるため、弊社は使わない方針としているためです。 回答が設計に与える影響: B の場合、SMS 送信の仕組みを追加で作り込む工数と、1 通ごとの送信費用（利用者数と回数に比例して増える従量費用）が発生します。加えて電話番号をお預かりすることになり、個人情報の取扱い範囲が広がります。 優先度: 通常 既出: B-502 と同趣旨 — 二重に聞かない	A) 不要（使わない） 【弊社の推奨・不採用の方針】 / B) 必要（対象となる利用者層をご提示ください）	SMS は電話番号を第三者に乗っ取られて確認コードを横取りされる事例が多く、公的なガイドラインでも推奨されない方式であるため、弊社は使わない方針としているためです。	B の場合、SMS 送信の仕組みを追加で作り込む工数と、1 通ごとの送信費用（利用者数と回数に比例して増える従量費用）が発生します。加えて電話番号をお預かりすることになり、個人情報の取扱い範囲が広がります。	B-502 と同趣旨 — 二重に聞かない
Q39	FR-MFA-004	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	メールで送る確認コードを使わない方針の確認	追加の本人確認にメールで送る確認コードを使わない方針で、ご了承いただけますでしょうか。 選択肢: - A) 了承する（使わない） 【弊社の推奨・決定済み】 - B) 使いたい（用途をご提示ください） なぜ聞くか: 弊社は業務用メールアドレスを持たない利用者（工場の現場など）を正式な前提として設計しており、メールを本人確認の経路にするとその方々が一切ログインできなくなるためです。 回答が設計に与える影響: B の場合、メールを持つ利用者と持たない利用者で本人確認の流れが二本立てになり、設計・実装・検証の工数が増えます。またこの方針はパスワードを忘れたときの再設定方法（FR-AUTH-013）と予備コードの要否（FR-MFA-005）の前提になっているため、変更するとそれらの設計もやり直しになります。 優先度: 通常 （当初は最優先候補でしたが、ご回答を待つ間も「使わない」前提で設計を進められ、何も止まらないため通常としました。A 以外をお選びの場合のみ、関連する 2 項目の設計をやり直します）	A) 了承する（使わない） 【弊社の推奨・決定済み】 / B) 使いたい（用途をご提示ください）	弊社は業務用メールアドレスを持たない利用者（工場の現場など）を正式な前提として設計しており、メールを本人確認の経路にするとその方々が一切ログインできなくなるためです。	B の場合、メールを持つ利用者と持たない利用者で本人確認の流れが二本立てになり、設計・実装・検証の工数が増えます。またこの方針はパスワードを忘れたときの再設定方法（FR-AUTH-013）と予備コードの要否（FR-MFA-005）の前提になっているため、変更するとそれらの設計もやり直しになります。	
Q40	FR-MFA-005a	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	予備コードを配るか	端末を紛失したときに備えて、印刷や書き写しで保管する予備コードを利用者に配布しますか。 選択肢: - A) 配布する 【弊社の推奨・現行の暫定値】 - B) 配布しない（管理者によるリセットのみ） なぜ聞くか: メールや SMS での復旧経路を持たない方針のため、予備コードがないと端末を紛失した利用者が自力で復旧する手段が一切なくなるためです。 回答が設計に与える影響: 弊社側の実装工数は A・B で変わりません。B を選ぶと端末紛失のたびに御社管理者のリセット作業が必要になり、御社側の運用工数が増えます。 優先度: 通常	A) 配布する 【弊社の推奨・現行の暫定値】 / B) 配布しない（管理者によるリセットのみ）	メールや SMS での復旧経路を持たない方針のため、予備コードがないと端末を紛失した利用者が自力で復旧する手段が一切なくなるためです。	弊社側の実装工数は A・B で変わりません。B を選ぶと端末紛失のたびに御社管理者のリセット作業が必要になり、御社側の運用工数が増えます。	
Q41	FR-MFA-008a	③ ログイン方法・パスワード・追加の本人確認	事業側	通常	一度確認した端末を覚える機能を使うか	一度追加の本人確認を済ませた端末では、次回以降しばらく確認を省略する機能を使いますか。 選択肢: - A) 使う（対象は個人に割り当てた業務端末のみ） 【弊社の推奨。ただし基本設計では採否を未確定としています】 - B) 使わない（毎回確認する） - C) 決めていない（弊社の推奨に従う） なぜ聞くか: 毎回の確認は現場の負担になる一方、複数人で使い回す端末でこの機能を有効にすると別の人がそのまま入れてしまうため、御社での端末の使われ方によって判断が変わるためです。 回答が設計に与える影響: 設定の範囲で対応でき、費用は大きく動きません。A を選ぶ場合は、対象を個人割り当ての端末に限る設定と、端末の盗難時に「覚えた端末」を取り消す運用手順の整備が追加で必要になります。 優先度: 通常 既出: B-505 と同趣旨 — 二重に聞かない	A) 使う（対象は個人に割り当てた業務端末のみ） 【弊社の推奨。ただし基本設計では採否を未確定としています】 / B) 使わない（毎回確認する） / C) 決めていない（弊社の推奨に従う）	毎回の確認は現場の負担になる一方、複数人で使い回す端末でこの機能を有効にすると別の人がそのまま入れてしまうため、御社での端末の使われ方によって判断が変わるためです。	設定の範囲で対応でき、費用は大きく動きません。A を選ぶ場合は、対象を個人割り当ての端末に限る設定と、端末の盗難時に「覚えた端末」を取り消す運用手順の整備が追加で必要になります。	B-505 と同趣旨 — 二重に聞かない
Q42	FR-AUTH-011b	③ ログイン方法・パスワード・追加の本人確認	事業側	後回し可	ロックをどう解除するか	一時的に使えなくなったアカウントは、何分後に自動で使えるようになればよいでしょうか。 選択肢: - A) 30 分後に自動で解除 【弊社の推奨・現行の暫定値】 - B) 15 分後に自動で解除 - C) 60 分後に自動で解除 - D) 自動では解除せず、管理者の解除操作のみとする なぜ聞くか: 解除までの待ち時間が長いほど攻撃には強くなる一方、利用者からの解除依頼が増えるため、御社の運用体制に合わせて決める必要があるためです。 回答が設計に与える影響: A〜C は設定値の変更のみです。D（管理者解除のみ）を選ぶと、解除依頼の受付・本人確認・解除操作を常時こなす体制が必要になり、御社側の運用工数が増えます。 優先度: 後回し可 既出: C-205 と同趣旨（回数とあわせて確認済み）— 二重に聞かない	A) 30 分後に自動で解除 【弊社の推奨・現行の暫定値】 / B) 15 分後に自動で解除 / C) 60 分後に自動で解除 / D) 自動では解除せず、管理者の解除操作のみとする	解除までの待ち時間が長いほど攻撃には強くなる一方、利用者からの解除依頼が増えるため、御社の運用体制に合わせて決める必要があるためです。	A〜C は設定値の変更のみです。D（管理者解除のみ）を選ぶと、解除依頼の受付・本人確認・解除操作を常時こなす体制が必要になり、御社側の運用工数が増えます。	C-205 と同趣旨（回数とあわせて確認済み）— 二重に聞かない
Q43	FR-AUTH-014	③ ログイン方法・パスワード・追加の本人確認	事業側	後回し可	最初に配ったパスワードの強制変更	管理者が発行した最初のパスワードは、初回ログイン時に必ず変更させる方式でよろしいでしょうか。 選択肢: - A) 必ず変更させる 【弊社の推奨・現行の暫定値】 - B) 変更をおすすめするが、変えなくても使い続けられる - C) 変更させない なぜ聞くか: 発行した管理者が初期パスワードを知っている状態が続くと、「そのパスワードを知っているのは本人だけ」という前提が崩れ、不正利用が起きたときに本人の操作か管理者の操作かを区別できなくなるためです。 回答が設計に与える影響: A は設定のみで実現でき、追加費用は発生しません。B・C を選ぶと、上記の区別ができない状態を許容することになり、監査時の説明が困難になります。 優先度: 後回し可	A) 必ず変更させる 【弊社の推奨・現行の暫定値】 / B) 変更をおすすめするが、変えなくても使い続けられる / C) 変更させない	発行した管理者が初期パスワードを知っている状態が続くと、「そのパスワードを知っているのは本人だけ」という前提が崩れ、不正利用が起きたときに本人の操作か管理者の操作かを区別できなくなるためです。	A は設定のみで実現でき、追加費用は発生しません。B・C を選ぶと、上記の区別ができない状態を許容することになり、監査時の説明が困難になります。	
Q44	FR-MFA-005b	③ ログイン方法・パスワード・追加の本人確認	事業側	後回し可	予備コードを使い切ったときの再発行	予備コードを使い切った、または紛失した利用者への再発行は、誰が行いますか。 選択肢: - A) ログインできている間は本人が再発行し、ログインできない場合は御社の管理者がリセットする 【弊社の推奨・現行の暫定値】 - B) 常に御社の管理者が実施する - C) 常に弊社の運用担当が申請を受けて実施する なぜ聞くか: 再発行の権限をどちらが持つかで、管理画面に必要な機能と、問い合わせが御社と弊社のどちらに来るかが変わるためです。 回答が設計に与える影響: A・B は御社の管理画面の機能として提供します。C を選ぶと弊社に申請窓口と受付時間の取り決めが必要になり、対応時間帯に応じた運用費用が発生します。 優先度: 後回し可	A) ログインできている間は本人が再発行し、ログインできない場合は御社の管理者がリセットする 【弊社の推奨・現行の暫定値】 / B) 常に御社の管理者が実施する / C) 常に弊社の運用担当が申請を受けて実施する	再発行の権限をどちらが持つかで、管理画面に必要な機能と、問い合わせが御社と弊社のどちらに来るかが変わるためです。	A・B は御社の管理画面の機能として提供します。C を選ぶと弊社に申請窓口と受付時間の取り決めが必要になり、対応時間帯に応じた運用費用が発生します。	
Q45	FR-MFA-008b	③ ログイン方法・パスワード・追加の本人確認	事業側	後回し可	確認を省略できる期間	端末を覚えて追加の本人確認を省略する期間は、何日にしますか。 選択肢: - A) 30 日 【弊社の推奨・現行の暫定値】 - B) 7 日 - C) 90 日 - D) 0 日（省略しない） なぜ聞くか: 期間が長いほど利用者の手間は減りますが、端末を盗まれたときに悪用できる時間も同じだけ延びるためです。 回答が設計に与える影響: 設定値の変更のみで、費用・工数は動きません。御社の社内規程に日数の定めがある場合はその値に合わせます。 優先度: 後回し可 既出: C-215 と同趣旨 — 二重に聞かない	A) 30 日 【弊社の推奨・現行の暫定値】 / B) 7 日 / C) 90 日 / D) 0 日（省略しない）	期間が長いほど利用者の手間は減りますが、端末を盗まれたときに悪用できる時間も同じだけ延びるためです。	設定値の変更のみで、費用・工数は動きません。御社の社内規程に日数の定めがある場合はその値に合わせます。	C-215 と同趣旨 — 二重に聞かない
Q68	B-MIG-1 / B-MIG-10	③ ログイン方法・パスワード・追加の本人確認	アプリチーム	最優先	旧システムからの移し替え時に、パスワードを変えずに済むか	(a) 現在お使いのシステムは、利用者のパスワードをどの方式で保管していますか。 ／ (b) 上記が C / D / E だった場合、該当する利用者に一斉にパスワードを設定し直していただくことは許容できますか。 ／ (c) 一斉に設定し直す場合、新しいパスワードや案内をどうやって利用者に届けますか。 ／ (d) パスワードを弊社でお預かりする利用者（お客様側にログインの仕組みが無いテナントの利用者）は、何人いますか。	A) PBKDF2（SHA-256 または SHA-512） / B) Argon2（Argon2id） / C) bcrypt / D) その他（方式名をご記入ください） / E) 不明・これから調査 / A) 許容できる（配布手段は下記 (c) で指定） / B) 許容できない（パスワードを変えずに移したい） / C) 未確定 / A) 管理者が対面や社内便など、メール以外の経路で配る 【弊社の推奨】 / B) あらかじめ配ってある予備コードを使って本人に設定し直してもらう / C) その他（方法をご記入ください） / D) 未確定 / A) 具体的な人数をご記入ください / B) 概算（〜1,000 人 / 〜1 万人 / 〜10 万人 / それ以上） / C) 未確定	移し替えの作業自体は貴社のアプリ側で実施いただく想定ですが、パスワードを引き継げるかどうかは、現在お使いの保管方式によって決まります。A / B ならそのまま引き継げて、利用者は何もしなくて済みます。C / D の場合は、弊社側で変換用の部品を作るか、一斉に設定し直していただくかの二択になります。	- A / B の場合: 利用者への影響ゼロ、弊社の追加作業もありません。 - C / D の場合: ①弊社が変換用の部品を作る（追加の開発費用が発生）か、②一斉設定し直し のどちらかです。 - 一斉設定し直しを選んだ場合、配布が最大の課題になります。 本サービスは「業務用メールアドレスを持たない利用者」を前提に設計しているため、メールで案内を送る方法が使えません。管理者の方に対面などで配っていただく作業が、対象人数ぶん発生します。 - あわせて 対象人数（お客様側にログインの仕組みが無く、パスワードを弊社でお預かりする利用者の数）をお知らせください。ここが多いと、切替時の問い合わせ集中と配布作業が貴社側の負担になります。	
Q46	NFR-COMP-002	④ 法令・運用体制・利用者番号	事業側	最優先	日本国外に住む利用者への対応	本基盤を使う利用者（貴社の顧客企業の従業員等）の中に、日本国外に住んでいる方が含まれる見込みはありますか。 選択肢: - A) 含まれない（国内在住の利用者のみ）【弊社の推奨・現行の暫定値】 — データの保管場所は東京・大阪の 2 か所のみで設計中（前提 P-15） - B) 現時点では含まれないが、将来含まれる見込み（時期をご記入ください） - C) すでに含まれる（対象の国・地域名をご記入ください。例: 欧州、米国カリフォルニア州） - D) 未確定	A) 含まれない（国内在住の利用者のみ）【弊社の推奨・現行の暫定値】 — データの保管場所は東京・大阪の 2 か所のみで設計中（前提 P-15） / B) 現時点では含まれないが、将来含まれる見込み（時期をご記入ください） / C) すでに含まれる（対象の国・地域名をご記入ください。例: 欧州、米国カリフォルニア州） / D) 未確定	国外に住む利用者が含まれると、その国・地域の個人情報ルールへの対応と、データを置く場所の見直しが必要になるためです。	B/C の場合、①その地域向けの本人請求への応答手続と事前説明文書の追加、②保管場所を国外に増やす判断をする場合は基盤一式を追加構築する費用（設備・運用とも二重化）が発生します。A なら現行設計のまま追加費用はありません。法令に関わる判断のため、最終確定は法務確認が前提です。	A-4（利用者の地理分布）/ A-12（海外展開時期）/ C-202 と同趣旨 — 二重に聞かない
Q47	NFR-COMP-007b	④ 法令・運用体制・利用者番号	事業側	最優先	「7 年」という年数の根拠	記録を 7 年残す根拠は、法令で保存が義務づけられているためですか、契約上の取り決めのためですか、それ以外ですか。 選択肢: - A) 法令上の保存義務（該当する法令名をご記入ください） - B) 顧客との契約上の義務 - C) それ以外（社内方針・業界慣行・請求権が消滅するまでの期間など） - D) 未確定 【現状。従来の根拠だったカード決済業界の規格を対象外にしたため、根拠が空白になっています】（U10-OP-9）	A) 法令上の保存義務（該当する法令名をご記入ください） / B) 顧客との契約上の義務 / C) それ以外（社内方針・業界慣行・請求権が消滅するまでの期間など） / D) 未確定 【現状。従来の根拠だったカード決済業界の規格を対象外にしたため、根拠が空白になっています】（U10-OP-9）	根拠がどれかによって、利用者から「私のデータを消してほしい」と言われたときの回答文が変わるためです。「念のため残している」は正当な理由として通らないと整理されています。	根拠が「契約のみ」の場合、削除を断る際に「保存期間が終わったら消します」と約束したうえで、その旨を本人に通知する手続きが必須になります（後述 NFR-COMP-009b と直結）。また、保持の目的をあらかじめ利用者に説明する文書への記載内容も変わります。法令に関わる判断のため、最終確定は法務確認が前提です。	
Q48	NFR-OPS-008a	④ 法令・運用体制・利用者番号	事業側	最優先	障害対応の受付時間帯と、24 時間 365 日体制に移る時期	障害発生時の対応受付は、リリース時点から 24 時間 365 日にしますか、それとも平日日中から始めて後で移行しますか。 選択肢: - A) 2 段階：リリース時は平日 9〜18 時（祝日除く）、リリース 6 か月後以降に 24 時間 365 日へ移行 【弊社の推奨・現行の暫定値】（ADR-040 §I） - B) リリース時点から 24 時間 365 日 - C) 平日日中のみ（24 時間化の予定なし） - D) 未確定	A) 2 段階：リリース時は平日 9〜18 時（祝日除く）、リリース 6 か月後以降に 24 時間 365 日へ移行 【弊社の推奨・現行の暫定値】（ADR-040 §I） / B) リリース時点から 24 時間 365 日 / C) 平日日中のみ（24 時間化の予定なし） / D) 未確定	対応時間帯が運用担当者の必要人数（＝人件費）を直接決めるためです。	A・B とも運用者 10 名体制（3 名のリード + 各系統の担当 + 緊急時の鍵管理者 2 名）を前提としていますが、B はリリース時点で 10 名全員がそろっている必要があり、採用の遅れがそのままリリース遅延になります。また B は時間外呼び出しの仕組み（有償サービス）の導入がリリース前提条件になります。A は採用を段階的に進められる一方、リリース当初は「平日日中対応・時間外はできる範囲で対応」であることを顧客に説明・合意いただく必要があります。C は 24 時間対応を求める顧客（金融・医療・官公庁）と契約できません。	C-301（サポート体制）/ B-PAM-1（α/β の顧客説明）と同趣旨 — 二重に聞かない
Q49	P-08b	④ 法令・運用体制・利用者番号	アプリチーム	最優先	各アプリ側が利用者を管理する番号の統一	本基盤につながる各アプリに対して、「利用者を指す番号は基盤が発番する内部番号を使うこと」を共通ルールとして守っていただけますか。 選択肢: - A) 共通ルールとして全アプリに適用する 【弊社の推奨・現行の暫定値】（U3 のアプリ ID 設計標準） - B) 新規アプリのみ適用し、既存アプリは現状の番号のままで、基盤側に対応表を持つ - C) アプリごとの判断に任せる - D) 未確定	A) 共通ルールとして全アプリに適用する 【弊社の推奨・現行の暫定値】（U3 のアプリ ID 設計標準） / B) 新規アプリのみ適用し、既存アプリは現状の番号のままで、基盤側に対応表を持つ / C) アプリごとの判断に任せる / D) 未確定	ここが揃っていないと、利用者の統合・退職処理・削除請求のたびに、アプリごとに個別の突き合わせ作業が必要になるためです。	A が最も工数が小さく、退職処理と削除請求を基盤側の操作だけで完結できます。B は基盤側に対応表を持つ開発が追加になりますが、既存アプリの改修は不要です（既存アプリ数に応じて対応表の運用工数が増加）。C はアプリ数に比例して個別対応の工数が増え続け、削除請求への期限内対応が難しくなります。	
