要件ID	種別	優先度	要件実現対象	構築場所	担当	担当の理由	項目	概要	① 基本設計	② 詳細設計	③ 製造	④ テスト	状況	Keycloak-IdP 側
FR-ADMIN-003	機能要件	Must	対象	Keycloak-Broker	インフラ（本基盤）	—	IdP 追加・削除・更新	顧客IdP を追加・変更・削除できること	D-12 HB-F-ADM-16	DDB-11	MKB-16 MKB-17	OP-01 UAT-02	全工程あり	—
FR-ADMIN-004	機能要件	Must	対象	Keycloak-Broker	インフラ（本基盤）	—	クライアント（App）管理	アプリの接続登録を管理できること	HJ-09	DDB-14	MKB-22 MKI-13	IT-07	全工程あり	—
FR-ADMIN-005	機能要件	Must	対象	その他	アプリ（管理画面・idm-api）	権限はこちらでは扱わない	ロール定義管理	役割の定義を管理できること					アプリ側で実施	—
FR-ADMIN-006	機能要件	Could	対象	その他	アプリ（管理画面・idm-api）	同上	パーミッション管理（細粒度）	権限を細かく設定できること					アプリ側で実施	—
FR-ADMIN-007-a	機能要件	Must	対象	Keycloak-Broker	インフラ（本基盤）	何を記録し何年保つかは本基盤が決めて出力する	監査ログ閲覧（出力・項目・保持年数の指定）	監査の記録を閲覧できること。参照は全体の共通基盤側で行い、本基盤に照会画面は作らない（本基盤は出力と集約まで）	HG-04 HG-05	DDD-04 DDE-09	MKH-01 MKI-15	IT-09 OP-03	全工程あり	—
FR-ADMIN-007-b	機能要件	Must	対象	その他	他組織（境界・共通基盤）	記録の閲覧は全体の共通基盤側。本基盤は指定した保持年数と形式で出すまで（OP-03 で確認）	監査ログ閲覧（共通基盤側の閲覧）	監査の記録を閲覧できること。参照は全体の共通基盤側で行い、本基盤に照会画面は作らない（本基盤は出力と集約まで）				OP-03	他組織で実施	—
FR-ADMIN-008	機能要件	Should	対象	Keycloak-Broker	インフラ（本基盤）	—	設定変更履歴	設定を変えた履歴が残ること	HG-04 HG-05	DDD-04 DDE-09	MKH-01 MKI-15	IT-09 OP-03	全工程あり	—
FR-ADMIN-009	機能要件	Must	対象	Keycloak-Broker	インフラ（本基盤）	—	テナント別設定の分離	顧客ごとに設定を分けられること	HB-F-AZ-05a	DDB-12	MKB-20 MKI-11	IT-12 ST-24	全工程あり	—
FR-ADMIN-010	機能要件	Must	対象	その他	アプリ（管理画面・idm-api）	管理画面の権限はアプリ	管理者ロール（RBAC for Admin）	管理者にも役割を持たせて操作を制限できること					アプリ側で実施	—
FR-ADMIN-011	機能要件	Should	対象	その他	アプリ（管理画面・idm-api）	同上	テナント管理者の委譲（顧客の自社運用）	顧客の管理者に運用の一部を任せられること					アプリ側で実施	—
FR-ADMIN-012	機能要件	Should	対象	Keycloak-Broker	インフラ（本基盤）	振り分けの識別子入力画面とエラー画面は Keycloak-Broker で作る	カスタマイズ可能なログイン UI	ログイン画面の見た目を変えられること	HC-04a HC-04j	DDC-01 DDC-02	MKC-03 MKC-04 MKI-08	ST-10 ST-11	全工程あり	—
FR-INT-001	機能要件	Must	対象	Keycloak-Broker	インフラ（本基盤）	—	OIDC 1.0 / OAuth 2.0 標準準拠	OIDC / OAuth 2.0 の標準に従っていること	GD-09 GD-10 GD-14 GD-15 GD-16 GD-17 HB-F-AUTH-05 HE-14 HJ-02a HJ-07 HJ-10a	DDB-01 DDE-01 DDE-08 DDI-02 DDI-07	MKB-02 MKB-03 MKB-19 MKI-02 MKI-10	IT-01	全工程あり	—
FR-INT-002	機能要件	Must	対象	Keycloak-Broker	インフラ（本基盤）	—	OIDC Discovery（`.well-known`）	接続情報を公開の場所から自動で取得できること	HJ-09	DDB-14	MKB-22 MKI-13	IT-07	全工程あり	—
FR-INT-003	機能要件	Must	対象	Keycloak-Broker	インフラ（本基盤）	—	JWKS 公開エンドポイント	署名鍵を公開の場所から取得できること	GD-18 HB-F-BAT-04 HJ-09	DDB-14 DDF-02	MKB-22 MKF-03 MKI-13 MKI-16	ST-23	全工程あり	—
FR-INT-004	機能要件	Should	対象	Keycloak-Broker	インフラ（本基盤）	—	SAML 2.0 メタデータ	旧方式（SAML）の接続情報を交換できること	GD-13 HB-F-AUTH-06 HB-F-INT-01 HE-15 HE-16	DDB-02 DDB-15 DDE-02 DDI-03 DDI-08	MKB-04 MKB-23 MKI-03 MKI-14	IT-02 IT-08 ST-25 ST-27	全工程あり	—
FR-INT-005	機能要件	Should	対象外	—	—	Phase 1 では作らない	Webhook イベント通知（user.created 等）	ユーザの変更をアプリへ通知できること（Webhook）					Phase 1 では作らない	—
FR-INT-006	機能要件	Must	対象	Keycloak-Broker	インフラ（本基盤）	Keycloak 標準の管理 API。内部経路・呼び出し元の資格・許す操作の範囲を本基盤が決める（F-INT-14）	管理 REST API	管理のための API があること	HE-22a HE-24 HJ-09	DDB-14 DDE-10 DDE-12	MKB-22 MKB-32 MKI-13	IT-15 IT-17	全工程あり	—
FR-INT-007-a	機能要件	Must	対象	その他	アプリ（業務アプリ）	業務アプリ側の実装。本基盤はガイドとサンプルで示す	API 入口での JWT 検証との統合（アプリの実装）	API の入口で JWT を検証する仕組み（API Gateway 等）と組み合わせられること（ガイドで示す）					アプリ側で実施	—
