要件ID	種別	優先度	要件実現対象	構築場所	担当	担当の理由	項目	概要	① 基本設計	② 詳細設計	③ 製造	④ テスト	状況
NFR-SCL-006	非機能要件	不要	対象外	—	—	災害対策の結論に従属。Phase 1 では別地域は待機のみ	マルチリージョン対応（複数地域での同時稼働）	複数の地域で同時に動かせること					Phase 1 では作らない
NFR-SCL-007	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	データベーススケール（Keycloak）	データベースを増強できること	HD-01 HD-04 HD-25	DDD-05 DDD-06		IT-14 PT-04	🔺 一部の工程のみ
NFR-SEC-001	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	通信暗号化	通信が暗号化されていること	E-4c G-4.2 HA-05 HA-26 HE-19a	DDA-05 DDG-03	MKA-03 MKA-04 MKA-16	SEC-06	全工程あり
NFR-SEC-002	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	データ暗号化（at-rest）	保管したデータが暗号化されていること	E-4c HA-26 HE-19a	DDA-05	MKA-16	SEC-08	全工程あり
NFR-SEC-003	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	トークン署名アルゴリズム	JWT の署名方式が安全なものであること	GD-16 GD-17 GD-18 HB-F-BAT-04 HJ-07	DDE-08 DDF-02 DDI-07	MKB-19 MKF-03 MKI-10 MKI-16	ST-23	全工程あり
NFR-SEC-004	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	Access Token TTL	JWT の有効期限が適切に短いこと	GD-16 GD-17 HJ-07	DDE-08 DDI-07	MKB-19 MKI-10	PT-02 ST-23	全工程あり
NFR-SEC-005	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	Refresh Token TTL	更新用の資格の有効期限が定められていること	GD-21 GD-24 HA-10	DDA-01 DDI-05	MKB-08 MKI-06	ST-08	全工程あり
NFR-SEC-006	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	ID Token TTL	本人確認結果の有効期限が定められていること	GD-16 GD-17 HJ-07	DDE-08 DDI-07	MKB-19 MKI-10	PT-02 ST-23	全工程あり
NFR-SEC-007	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	Refresh Token Rotation	更新用の資格を使うたびに入れ替えること	GD-21 GD-24 HA-10	DDA-01 DDI-05	MKB-08 MKI-06	ST-08	全工程あり
NFR-SEC-008	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	トークン失効（Revocation）	発行済みの資格を失効させられること	HB-F-PROV-10	DDB-07	MKB-12	ST-18	全工程あり
NFR-SEC-009	非機能要件	推奨値あり	対象	Keycloak-IdP	アプリ	ローカル収容ユーザの話	パスワード保管アルゴリズム	パスワードを安全な方式で保管すること	HB-F-AUTH-01 HJ-20	DDG-01	MKA-01 MKJ-01	IT-03	アプリ側で実施（本基盤にも 4 工程あり）
NFR-SEC-010	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	Keycloak-Broker はパスワードを持たないため、振り分けの実在推測の防止と試行回数の制限に置き換える	ブルートフォース対策	総当たりを防ぐこと	HB-F-AUTH-21	DDB-05	MKB-07 MKI-05	SEC-01 SEC-05 ST-01 ST-11	全工程あり
NFR-SEC-011	非機能要件	推奨値あり	対象外	—	—	WAF 側で行う。本基盤では実装しない	WAF 適用	外部からの攻撃を入口で遮ること（WAF）				IT-11	Phase 1 では作らない
NFR-SEC-012	非機能要件	推奨値あり	対象外	—	—	同上	DDoS 対策	大量の通信で止められないようにすること					Phase 1 では作らない
NFR-SEC-013	非機能要件	TBD	対象	Keycloak-Broker	インフラ	—	ペネトレーションテスト	疑似攻撃検査を定期的に受けること	E-4b HG-08	DDA-04	MKA-15 MKI-18	SEC-04	全工程あり
NFR-SEC-014	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	脆弱性スキャン	部品の弱点を定期的に検査すること	E-5 HJ-06	DDG-12 DDH-02	MKA-18 MKC-05	SEC-09	全工程あり
NFR-SEC-015	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	シークレット管理	接続用パスワードや鍵を安全に保管すること	E-4c HA-26 HB-F-BAT-05 HE-19a	DDA-05 DDF-03	MKA-16 MKF-04	SEC-03 SEC-07	全工程あり
NFR-SEC-016	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	ネットワーク分離（Private Subnet）	外から直接触れない区画に置くこと	G-4.2 HA-05	DDG-03	MKA-03 MKA-04	IT-11	全工程あり
NFR-SEC-017	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	管理画面アクセス制御	管理のための入口を限られた元からだけ通すこと	G-1.6 G-4.2 HA-05	DDG-03 DDG-11	MKA-03 MKA-04 MKA-17	OP-09	全工程あり
NFR-SEC-018	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	JWKS エンドポイント保護	署名鍵の公開先を守ること	E-4b HG-08	DDA-04	MKA-15 MKI-18	SEC-04 SEC-05	全工程あり
NFR-SEC-019	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	内部通信の認証（Lambda → Keycloak）	内部の呼び出しでも相手を確認すること	G-4.2 HA-05	DDG-03	MKA-03 MKA-04	IT-11	全工程あり
NFR-SEC-020	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	セッション固定攻撃対策	ログインの前後で状態を作り替え、乗っ取りを防ぐこと	GD-21 GD-24 HA-10	DDA-01 DDI-05	MKB-08 MKI-06	ST-08	全工程あり
NFR-DR-001	非機能要件	TBD	対象	Keycloak-Broker	インフラ	—	RTO（目標復旧時間）	目標の時間内に復旧できること	D-18.1 D-18.2 D-18.3 D-18.4 G-1.11 G-1.8 G-1.9 HK-02	DDG-06 DDG-07 DDG-08	MKA-11 MKA-12 MKA-13 MKI-17	DR-01 OP-06	全工程あり
NFR-DR-002	非機能要件	TBD	対象	Keycloak-Broker	インフラ	—	RPO（目標復旧地点）	失うデータを目標の範囲に収めること	D-18.1 D-18.2 D-18.3 D-18.4 G-1.11 G-1.8 G-1.9 HK-02	DDG-06 DDG-07 DDG-08	MKA-11 MKA-12 MKA-13 MKI-17	DR-01 DR-02 OP-06	全工程あり
NFR-DR-003	非機能要件	TBD	対象	Keycloak-Broker	インフラ	—	フェイルオーバー方式	別地域へ切り替える方式が定まっていること	D-18.1 D-18.2 D-18.3 D-18.4 G-1.11 G-1.8 G-1.9	DDG-06 DDG-07 DDG-08	MKA-11 MKA-12 MKA-13 MKI-17	DR-01 DR-02	全工程あり
NFR-DR-004	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	バックアップ保存期間	控えを一定期間保つこと	G-1.10	DDG-09	MKA-14	DR-04	全工程あり
NFR-DR-005	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	PITR（Point-in-Time Recovery）	時点を指定して戻せること	G-1.10	DDG-09	MKA-14	DR-03 DR-04	全工程あり
NFR-DR-006	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	クロスリージョンバックアップ	控えを別の地域にも置くこと	D-18.1 D-18.2 D-18.3 D-18.4 G-1.11 G-1.8 G-1.9	DDG-06 DDG-07 DDG-08	MKA-11 MKA-12 MKA-13 MKI-17	DR-01 DR-02	全工程あり
NFR-DR-007	非機能要件	TBD	対象	Keycloak-Broker	インフラ	—	DR 訓練	復旧の訓練を定期的に行うこと	D-18.1 D-18.2 D-18.3 D-18.4 G-1.11 G-1.8 G-1.9	DDG-06 DDG-07 DDG-08	MKA-11 MKA-12 MKA-13 MKI-17	DR-01 DR-02	全工程あり
NFR-DR-008	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	DR 切替時のセッション維持	切り替えてもログインし直さずに済むこと	D-18.1 D-18.2 D-18.3 D-18.4 G-1.11 G-1.8 G-1.9	DDG-06 DDG-07 DDG-08	MKA-11 MKA-12 MKA-13 MKI-17	DR-02	全工程あり
NFR-OPS-001	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	監視・メトリクス	動きを測る値が取れること	HH-01 HH-02 HH-03	DDG-10	MKH-04	OP-07	全工程あり
NFR-OPS-002	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	アラート通知	異常を検知したら通知が届くこと	HH-01 HH-02 HH-03	DDG-10	MKH-04	OP-02 OP-05	全工程あり
NFR-OPS-003	非機能要件	TBD	対象	Keycloak-Broker	インフラ	—	ログ保存期間	記録を定められた期間保つこと	HG-04 HG-05	DDD-04 DDE-09	MKH-01 MKI-15	IT-09	全工程あり
NFR-OPS-004	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	参照は全体の共通基盤で行う	ログ検索性	記録を必要な条件で探せること	HG-04 HG-05	DDD-04 DDE-09	MKH-01 MKI-15	OP-03	全工程あり
NFR-OPS-005	非機能要件	TBD	対象	Keycloak-Broker	インフラ	—	バージョンアップ方針	Keycloak の版を上げる方針が定まっていること	E-5 HJ-06	DDG-12 DDH-02	MKA-18 MKC-05	OP-10	全工程あり
NFR-OPS-006	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	パッチ適用（CVE 対応）	弱点への修正を定めた期間内に当てること	E-5 HJ-06	DDG-12 DDH-02	MKA-18 MKC-05	SEC-09	全工程あり
NFR-OPS-007	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	設定変更プロセス	設定を変えるときの手順が定まっていること	G-5.1 G-5.2 G-5.3 G-5.6				🔺 一部の工程のみ
NFR-OPS-008	非機能要件	TBD	対象	Keycloak-Broker	インフラ	—	インシデント対応体制	障害に対応する体制があること	G-1.3 G-1.4 G-5.1 G-5.2 G-5.3 G-5.6		MKH-06	OP-08 UAT-03	🔺 一部の工程のみ
NFR-OPS-009	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	運用工数（人月）	運用にかかる人手が想定の範囲に収まること	G-5.5 G-5.7				🔺 一部の工程のみ
NFR-OPS-010	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	デプロイ自動化（CI/CD）	入れ替えを自動で行えること	HA-16 HA-17	DDG-13	MKA-19	OP-11	全工程あり
NFR-OPS-011	非機能要件	TBD	対象	Keycloak-Broker	インフラ	—	テナント追加の運用 SLA	顧客を追加してから使えるまでの時間を約束できること	G-5.4 HB-F-ADM-16		MKB-16	OP-01	🔺 一部の工程のみ
NFR-COMP-001	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	個人情報保護法対応	個人情報保護法に沿った扱いをすること	D-20	DDA-06	MKH-03	SEC-08	全工程あり
NFR-COMP-002	非機能要件	TBD	対象外	—	—	海外展開時に再評価	GDPR / CCPA（海外展開時）	海外の個人情報の規則に沿えること					Phase 1 では作らない
NFR-COMP-003	非機能要件	TBD	対象外	—	—	取得の予定が決まってから	SOC 2 Type II	第三者認証（SOC 2）に対応できること					Phase 1 では作らない
NFR-COMP-004	非機能要件	TBD	対象外	—	—	同上	ISO 27001	第三者認証（ISO 27001）に対応できること					Phase 1 では作らない
NFR-COMP-005	非機能要件	TBD	対象外	—	—	該当する顧客が現れてから	PCI DSS（金融）	カード業界の基準に対応できること					Phase 1 では作らない
NFR-COMP-006	非機能要件	不要	対象外	—	—	不要と確定（2026-07-30）	FIPS 140-3 認定（暗号モジュール認定、旧 140-2）	暗号の実装が国の認定を受けていること				SEC-06	Phase 1 では作らない
NFR-COMP-007	非機能要件	TBD	対象	Keycloak-Broker	インフラ	—	監査ログ保存期間（法令要件）	法令が求める期間まで記録を保つこと	HG-04 HG-05	DDD-04 DDE-09	MKH-01 MKI-15	IT-09 ST-20	全工程あり
NFR-COMP-008	非機能要件	TBD	対象	Keycloak-Broker	インフラ	—	データ所在地（リージョン制限）	データを置く地域を限定できること	HA-04	DDG-02	MKA-02	IT-10	全工程あり
NFR-COMP-009	非機能要件	TBD	対象	Keycloak-Broker	インフラ	—	個人データ削除権（GDPR Right to Erasure）	本人の求めに応じてデータを消せること	HK-07	DDB-16	MKB-26	OP-04 ST-22	全工程あり
NFR-COMP-010	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	アクセス監査の追跡可能性	誰がいつ何をしたかを追えること	HG-04 HG-05	DDD-04 DDE-09	MKH-01 MKI-15	OP-03	全工程あり
NFR-COMP-011	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	暗号鍵のローテーションと所在の可視化	鍵を定期的に入れ替え、どこにあるか分かること	E-4c GD-18 HA-26 HB-F-BAT-04 HB-F-BAT-05 HB-F-BAT-07 HE-19a	DDA-05 DDF-02 DDF-03 DDF-04	MKA-16 MKF-03 MKF-04 MKF-05 MKI-16	SEC-02 SEC-07	全工程あり
NFR-COST-001	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	初期構築費	初期に作るための費用が見積もられていること					別シートで管理（コスト見積もり）
NFR-COST-002	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	月額固定インフラ費	毎月かかる設備の費用が見積もられていること					別シートで管理（コスト見積もり）
NFR-COST-003	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	MAU あたりコスト（連携）	ユーザ 1 人あたりの費用が把握できること					別シートで管理（コスト見積もり）
NFR-COST-004	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	DR 追加月額	災害対策を持つ場合の追加費用が把握できること	D-18.1 D-18.2 D-18.3 D-18.4 G-1.11 G-1.8 G-1.9	DDG-06 DDG-07 DDG-08	MKA-11 MKA-12 MKA-13 MKI-17	DR-01 DR-02	別シートで管理（コスト見積もり）
NFR-COST-005	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	運用人件費	運用にかかる人件費が見積もられていること	G-5.5 G-5.7				別シートで管理（コスト見積もり）
NFR-COST-006	非機能要件	TBD	対象	Keycloak-Broker	インフラ	—	RHBK サブスクリプション	Keycloak の商用サポート費用の要否が定まっていること	E-5 HJ-06	DDG-12 DDH-02	MKA-18 MKC-05	OP-10 SEC-09	別シートで管理（コスト見積もり）
NFR-COST-007	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	損益分岐 MAU（連携のみ）	どの規模から自前が有利になるかが分かること					別シートで管理（コスト見積もり）
NFR-COST-008	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	3 年 TCO（10 万 MAU 想定）	3 年分の総額が把握できること（小規模）					別シートで管理（コスト見積もり）
NFR-COST-009	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	3 年 TCO（50 万 MAU 想定）	3 年分の総額が把握できること（中規模）					別シートで管理（コスト見積もり）
NFR-MIG-001	非機能要件	不要	対象	その他	アプリ	2026-08-17 の判断で本基盤の対象外。移行はアプリ側	既存認証システムからのユーザー移行	既存の認証からユーザを移せること					アプリ側で実施
NFR-MIG-002	非機能要件	不要	対象	その他	アプリ	同上	パスワード移行（ハッシュ持ち越し）	パスワードを暗号化したまま引き継げること					アプリ側で実施
NFR-MIG-003	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	ベンダーロックイン回避	特定の製品に縛られない作りであること	GD-09 GD-10 GD-14 GD-15 HB-F-AUTH-05 HE-14 HE-22a HJ-02a HJ-10a	DDB-01 DDE-01 DDE-10 DDI-02	MKB-02 MKB-03 MKI-02	IT-01 IT-15 RI-01 RI-02 ST-04	全工程あり
NFR-MIG-004	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	—	データエクスポート	データを取り出せること	G-1.2	DDB-10	MKB-15	ST-22	全工程あり
NFR-MIG-005	非機能要件	推奨値あり	対象	Keycloak-Broker	インフラ	切替の計画は本基盤、実施はアプリ	段階的移行（並行稼働）	新旧を並行して動かしながら段階的に移せること	D-16.4	DDJ-01	MKJ-02	TE-03	全工程あり
