ID	分類	作業種別	機能グループ	機能名	項目	概要	成果物と完了条件	人日	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	依存	状態	出典	機能ID
HE-16	HE つなぎ目設計	設計書の執筆	業務システム連携（ServiceNow）	業務システムへの認証提供	外部 IF: ServiceNow	業務システムとやり取りする情報の項目と形式を決める	接続仕様。項目・必須の区別・エラー時の扱いが定まっている	3	基盤チーム	基盤チーム	認証の中核	相手方の仕様に合わせる必要があり、事前に確定していないと接続できない	対象	新規: 機能追加	—	未着手		F-INT-01
GD-13	GD アプリ向けガイド	ガイド・手順書の執筆	業務システム連携（ServiceNow）	業務システムへの認証提供	第 3 部 既存の旧方式アプリ向け	旧方式でしか受けられないアプリの接続方法を手引きにする	ガイドの章。設定手順と注意点が書かれている	2	基盤チーム	アプリチーム	認証の中核	業務システム以外にも旧方式のアプリがある想定	対象	新規: 機能追加	—	未着手		F-INT-01
HB-F-INT-02	HB-F 機能仕様書	設計書の執筆	業務システム連携（ServiceNow）	業務システム側のユーザ自動作成	機能仕様書: ServiceNow 側のユーザ自動作成	業務システム側で、初回ログイン時にユーザを自動作成させる	機能仕様書。渡す属性と、業務システム側に求める設定が定まっている	2	基盤チーム	アプリチーム	認証の中核	業務システム側にユーザがいないとログイン後に何もできない	対象	新規: 機能追加	—	未着手		F-INT-02
HB-F-INT-03	HB-F 機能仕様書	設計書の執筆	業務システム連携（ServiceNow）	業務システムから他アプリへの連携	機能仕様書: 業務システムから他アプリへの連携	業務システムにログインした状態から、他のアプリを呼べるようにする	機能仕様書。引き継ぐ情報と、引き継がない情報が定まっている	1	基盤チーム	アプリチーム	後から追加可能	業務システムを起点にした導線。無くても各アプリへ直接ログインできる	対象	新規: 機能追加	—	未着手		F-INT-03
HG-04	HG 権限・監査	設計書の執筆	監査・記録	監査ログの取得・保管方式	運用設計：監査ログ イベント一覧	記録に残すできごとの一覧を作る。あわせて、ログをどの水準でどんな形式で出すかの出力方式もここで決める。出力先は全体の共通基盤とし、集約はそちらで行う	→ 収載先: ログ設計書。イベント一覧。監査で必要な操作が漏れなく含まれている	1	基盤チーム	基盤チーム	画面のみ	見る画面はアプリでよいが、記録そのものは改ざん防止のため基盤が持つ	対象	新規: 非機能・運用	—	未着手		F-ADM-25
HG-05	HG 権限・監査	設計書の執筆	監査・記録	監査ログの取得・保管方式	運用設計：監査ログ 取得項目・保持年数・置き場所	記録に残す項目と保持年数を決める。置き場所は全体の共通基盤とし、参照は保管先で行う（Keycloak-Broker に照会画面は作らない）。管理操作の記録の置き場所（D-9.2）を含む	→ 収載先: ログ設計書。項目表。すべての記録に保存年数が紐づいている	1	基盤チーム	基盤チーム	画面のみ	全体の共通基盤へ出力して集約する。Keycloak-Broker 側に照会の仕組みは作らないため、出す形式と項目をここで確定させる必要がある	対象	新規: 非機能・運用	HG-04	未着手		F-ADM-25
D-9.2	D 判断	調査・計画	監査・記録	監査ログの取得・保管方式	管理操作の記録の置き場所と保存年数	誰が何をしたかの記録を、ブランドごとに分けて持つか中央に集めるかを決める	判断記録。保存年数との整合を含め、置き場所が定まっている	1	基盤チーム	基盤チーム	画面のみ	【省略・吸収】HG-05 に吸収（監査ログの置き場所・保持年数）。人日は復活時のために残す	対象外：省略・吸収	新規: 非機能・運用	—	未着手		F-ADM-25
HD-14	HD データ設計	設計書の執筆	監査・記録	監査ログの取得・保管方式	管理操作の記録テーブル定義（ブランド単位）	誰が何をしたかの記録を保持する表の定義。顧客のまとまりごとに分けて持つ	表定義。記録する項目と、他顧客の記録が混ざらない仕組みが定まっている	2	基盤チーム	基盤チーム	改ざん防止	【省略・吸収】② 詳細設計 DDD-07 で計上。人日は復活時のために残す	対象外：省略・吸収	新規: 非機能・運用		未着手		F-ADM-25
HK-07	HK 顧客提供成果物	ガイド・手順書の執筆	監査・記録	本人からの開示・削除請求への対応	本人からの開示・削除請求への対応手順	本人から求められたときに、保有しているデータを開示し、または消すまでの手順を決める	手順書。受付から回答までの期限・確認方法・記録の残し方が定まっている	1	基盤チーム	基盤チーム	法令・契約	顧客が本人対応の窓口になるため、本基盤側の手順が無いと顧客が答えられない	対象	新規: 非機能・運用	—	未着手		F-ADM-24
HB-F-BAT-04	HB 機能設計	設計書の執筆	鍵・証明書管理	署名鍵の定期入れ替え	機能仕様書: JWT署名鍵ローテ	JWT の署名に使う鍵を定期的に入れ替える処理。切り替え中も止めないための並走期間を含む	→ 収載先: 鍵・証明書管理設計書。機能仕様書 1 本。入れ替え周期・並走期間と、失敗時の手動手順が定義されレビュー承認済み	0.5	基盤チーム	基盤チーム	事故防止	入れ替えを止めると、漏れた鍵がいつまでも有効なままになる	対象	新規: 非機能・運用	—	未着手	ADR-045、DU-U7-02	F-BAT-04
GD-18	GD アプリ向けガイド	ガイド・手順書の執筆	鍵・証明書管理	署名鍵の定期入れ替え	第4部 JWKS取得・鍵ローテ追随	署名の検証に使う鍵の取得方法と、鍵が入れ替わっても止まらないための保持方法。鍵をアプリ内に直接書くことは禁止	ガイド 1 章。取得の頻度・保持期間・未知の鍵が来た場合の動き・取得できないときの継続方法が数値で示されている	2	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		F-BAT-04
HB-F-BAT-05	HB 機能設計	設計書の執筆	鍵・証明書管理	接続用パスワードの定期入れ替え	機能仕様書: client_secretローテ	アプリごとの接続用パスワードを定期的に入れ替える処理	→ 収載先: 鍵・証明書管理設計書。機能仕様書 1 本。入れ替え周期と、切り替え中に接続が切れないための扱いが定義されレビュー承認済み	0.5	基盤チーム	基盤チーム	事故防止	入れ替えを止めると、漏れた鍵がいつまでも有効なままになる	対象	新規: 非機能・運用	—	未着手	D-U7-10b、DU-U7-12	F-BAT-05
HB-F-BAT-07	HB 機能設計	設計書の執筆	鍵・証明書管理	証明書期限の監視	機能仕様書: 証明書期限監視・通知	証明書の期限切れが近いものを検出して通知する処理	→ 収載先: 鍵・証明書管理設計書。機能仕様書 1 本。通知するタイミングと、通知先が定義されレビュー承認済み	0.5	基盤チーム	基盤チーム	事故防止	切れると全顧客のログインが黙って止まるため、期限の監視は外せない	対象	新規: 非機能・運用	—	未着手	D-12	F-BAT-07
HA-04	HA 全体・方式設計	設計書の執筆	非機能: システム構成	全体構成（論理・物理）	構成図：全体構成図（論理・清書を含む）	システム全体の構成を、機能のまとまりで表した図。清書（旧 G-4.1）を含む	論理構成図。主要な構成要素と関係が 1 枚で分かる	2	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	当初あり	—	未着手		NF-ARC-01
HA-05	HA 全体・方式設計	設計書の執筆	非機能: システム構成	ネットワーク構成	構成図：全体構成図（物理・清書を含む）	システム全体の構成を、実際の設備配置で表した図。清書（旧 G-4.1）を含む	物理構成図。設備の配置と接続経路が示されている	2	基盤チーム	基盤チーム	横断（対象縮小）	分離は到達を防ぐものではなく「何が取れるか」を変えるもの。管理用の口はパスワードのハッシュを返さないが、DB を直接読めば全件取れる。ハッシュが持ち出されると元のパスワードが割り出され、ユーザが他所で使い回している分まで被害が広がる。分離すれば DB への経路そのものが存在しないため、これを構造的に防げる（2026-09-02 維持を決定）	対象	当初あり	—	未着手		NF-ARC-02
G-4.2	G 構成図	設計書の執筆	非機能: システム構成	ネットワーク構成	構成図：ネットワーク詳細図	ネットワークの区画・経路・通信の許可範囲を図にする。使用する IP アドレス範囲は確定済みの値を用いる	構成図。閉域接続とイベント経路が反映されている	2	基盤チーム	基盤チーム	被ってる気がする	分離は到達を防ぐものではなく「何が取れるか」を変えるもの。管理用の口はパスワードのハッシュを返さないが、DB を直接読めば全件取れる。ハッシュが持ち出されると元のパスワードが割り出され、ユーザが他所で使い回している分まで被害が広がる。分離すれば DB への経路そのものが存在しないため、これを構造的に防げる（2026-09-02 維持を決定）	対象	新規: 非機能・運用	—	未着手		NF-ARC-02
HJ-17	HJ Keycloak の作り込み	設計書の執筆	非機能: システム構成	クラスタ構成	構成：クラスタ構成設計書（ノード群・配置制約・自動増減）	実行基盤の構成設計。サーバーの種類・台数・役割分担	構成設計書。役割ごとの分離と増減の考え方が定まっている	1	基盤チーム	基盤チーム	製品機能	Keycloak-Brokerをどう組むかは、ユーザ管理を誰が作るかとは無関係に決まる	対象	新規: 自社構築	—	未着手		NF-ARC-03
HJ-19	HJ Keycloak の作り込み	設計書の執筆	非機能: システム構成	クラスタ構成	構成：クラスタ運用の境界と責任分界（ベンダー保守との分担）	実行基盤の運用について、委託先と自社の分担を整理する	分担表。どちらが何をするかが明確になっている	1	基盤チーム	基盤チーム	製品機能	Keycloak-Brokerをどう組むかは、ユーザ管理を誰が作るかとは無関係に決まる	対象	新規: 自社構築	—	未着手		NF-ARC-03
HJ-01a	HJ Keycloak の作り込み	設計書の執筆	非機能: システム構成	Realm・ブランド区画構成	Realm / Organizations 構成設計書	顧客をまとめる単位と区画の構成を決める（外部連携を受ける側）	構成設計書。顧客の収容方法と区画の分け方が定まっている	4	基盤チーム	基盤チーム	認証の中核	顧客IdPへ委ねる中核で、これが無いと基盤の存在理由が無い	対象	当初あり	—	未着手		NF-ARC-04
HH-05	HH 運用設計	設計書の執筆	非機能: システム構成	環境構成（本番 / stg / dev）	運用設計：環境設計書（本番 / stg / dev の構成差分）	本番・検証・開発の各環境の違いをまとめた設計書	環境設計書。環境ごとの差分が一覧化されている	1	基盤チーム	基盤チーム	運用に必須	運用の手順が無いと、作っても回せない	対象	新規: 非機能・運用	—	未着手		NF-ARC-05
HD-01	HD データ設計	設計書の執筆	非機能: システム構成	データベース設計（Keycloak-Broker）	データの全体構成図（Keycloak-Broker 側）	どのデータがどこに保管されているかを 1 枚の図にする	構成図。保管先と保管内容が対応づいている	1	基盤チーム	基盤チーム	構成の前提	Keycloak-Broker 側のみを対象とする。Keycloak-IdP 側は基盤だけ渡すためアプリチームの範囲	対象	新規: 機能追加	—	未着手		NF-ARC-07
HD-04	HD データ設計	設計書の執筆	非機能: システム構成	データベース設計（Keycloak-Broker）	Keycloak-Brokerのスキーマの利用範囲整理（Keycloak-Broker 側）	Keycloak-Brokerが持つ表のうち、触ってよい範囲と触らない範囲を明示する	整理結果。直接読み書きしてよい範囲が定まっている	1	基盤チーム	基盤チーム	事故防止	製品の表を直接触ると版を上げたときに壊れる。線引きが要る	対象	新規: 機能追加	—	未着手		NF-ARC-07
HD-25	HD データ設計	設計書の執筆	非機能: システム構成	データベース設計（Keycloak-Broker）	索引・分割・チューニング方針（Keycloak-Broker 側）	データベースの索引・大きな表の分割・接続の設定方針を決める	方針。索引の付け方と、接続数の上限の根拠が定まっている	1	基盤チーム	基盤チーム	構成の前提	Keycloak-Brokerはデータベースが無いと動かない。設備量と性能の根拠になる	対象	新規: 機能追加	—	未着手		NF-ARC-07
HA-21	HA 全体・方式設計	設計書の執筆	非機能: 性能・拡張性	性能目標・チューニング方針	共通：性能設計書（目標値・処理方式・チューニング方針）	性能の目標値と、それを達成するための考え方をまとめた設計書	性能設計書。目標値・処理方式・調整の余地が示されている	4	基盤チーム	共同	横断（対象縮小）	同上。達成手段が基盤側とアプリ側にまたがる	対象	新規: 規模	—	未着手		NF-PRF-01
A-1.7	A 調査・PoC	実機検証・照会	非機能: 性能・拡張性	キャパシティ・データ量見積	調査計画：仮定値の根拠整理	顧客IdPの数を実測せず仮定値のまま設計を進めるため、その根拠と、あとで見直す条件を文書に残す	根拠の整理メモ。仮定値の出どころと見直しの判断基準が明記されている	1	基盤チーム	基盤チーム	構成の前提	構成が成立するかの確認で、機能を減らしても確かめる必要は残る	対象	新規: 自社構築	—	未着手		NF-PRF-02
HA-22	HA 全体・方式設計	設計書の執筆	非機能: 性能・拡張性	キャパシティ・データ量見積	共通：キャパシティ・データ量見積（テーブル別・増加率・5 年後）	保管するデータがどれくらいの量になり、5 年後どこまで増えるかの見積もり	見積書。表ごとの件数と増加率、必要な容量が数値で示されている	4	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	新規: 規模	—	未着手		NF-PRF-02
G-5.8	G 運用設計	設計書の執筆	非機能: 性能・拡張性	キャパシティ・データ量見積	運用設計：使用量の監視と増強の判断	ユーザ数・顧客IdP数・データ量の伸びを何で見て、どの値でいつ増強するかを決める	運用設計書の章。監視する値・増強の判断基準・増強に要する期間が定まっている	1.5	基盤チーム	基盤チーム	運用に必須	見積り（HA-22）はあるが、運用開始後に実測を追って増強を判断する仕組みが無い	対象	新規: 非機能・運用	—	未着手		NF-PRF-02
E-4a	E 方式判断	調査・計画	非機能: 性能・拡張性	同時実行・上限値の設定	本番設定: 同時受付数の上限	Keycloak-Brokerの本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	1	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	—	未着手		NF-PRF-03
E-4d	E 方式判断	調査・計画	非機能: 性能・拡張性	同時実行・上限値の設定	本番設定: クラスタ内のノード発見方式	Keycloak-Brokerの本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	1	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	—	未着手		NF-PRF-03
E-4e	E 方式判断	調査・計画	非機能: 性能・拡張性	同時実行・上限値の設定	本番設定: ログイン状態の永続化の確認	Keycloak-Brokerの本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	1	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	—	未着手		NF-PRF-03
E-2	E 方式判断	調査・計画	非機能: 性能・拡張性	性能試験の計画	性能試験の全体計画書	性能試験の全体計画を 1 本にまとめる	計画書。試験の道具・データ・合格基準が定まっている	4	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 規模	—	未着手		NF-PRF-04
D-18.1	D 判断	調査・計画	非機能: 可用性・災害対策	災害対策（別地域への切替）	希望する復旧時間と実現できる時間の差の分析	顧客の希望する復旧時間と、現在の方式で実現できる時間の差を数値で明らかにする	分析結果。差分と、その原因となる制約が数値で示されている	0.5	基盤チーム	基盤チーム	構成の前提	地域全体の障害からの復旧を対象に含める。切替先を持つため、平時から動かす設備と手順が要る	対象	新規: 機能追加	—	未着手		NF-AVL-01
D-18.2	D 判断	調査・計画	非機能: 可用性・災害対策	災害対策（別地域への切替）	復旧方式の決定	分析を踏まえ、復旧方式をどうするかを決める	決定記録。方式が 1 つに確定している	2	基盤チーム	基盤チーム	構成の前提	地域全体の障害からの復旧を対象に含める。切替先を持つため、平時から動かす設備と手順が要る	対象	新規: 機能追加	D-18.1	未着手		NF-AVL-01
D-18.3	D 判断	調査・計画	非機能: 可用性・災害対策	災害対策（別地域への切替）	決めた復旧方式の設計書への反映	決めた復旧方式を関連する設計書に反映する	改訂済みの設計記述 3 冊	1	基盤チーム	基盤チーム	構成の前提	地域全体の障害からの復旧を対象に含める。切替先を持つため、平時から動かす設備と手順が要る	対象	新規: 機能追加	D-18.2	未着手		NF-AVL-01
D-18.4	D 判断	調査・計画	非機能: 可用性・災害対策	災害対策（別地域への切替）	復旧作業の手順書の骨子	復旧作業の手順書の骨子を作る	手順書の骨子。実際の作業順序が追える	3	基盤チーム	基盤チーム	構成の前提	地域全体の障害からの復旧を対象に含める。切替先を持つため、平時から動かす設備と手順が要る	対象	新規: 機能追加	D-18.3	未着手		NF-AVL-01
G-1.8	G 手順書	ガイド・手順書の執筆	非機能: 可用性・災害対策	災害対策（別地域への切替）	手順書: 災害時の切替判断	災害時に切り替えるかどうかの判断手順を手順書にする	手順書。判断基準と判断者が明確になっている	0.5	基盤チーム	基盤チーム	運用に必須	地域全体の障害からの復旧を対象に含める。切替先を持つため、平時から動かす設備と手順が要る	対象	新規: 非機能・運用	—	未着手		NF-AVL-01
G-1.9	G 手順書	ガイド・手順書の執筆	非機能: 可用性・災害対策	災害対策（別地域への切替）	手順書: 切替先での再構築	切替先の地域で環境を作り直す手順を手順書にする	手順書。所要時間の見込みつきで作業が順に書かれている	2.5	基盤チーム	基盤チーム	運用に必須	地域全体の障害からの復旧を対象に含める。切替先を持つため、平時から動かす設備と手順が要る	対象	新規: 非機能・運用	D-18.2	未着手		NF-AVL-01
G-1.11	G 手順書	ガイド・手順書の執筆	非機能: 可用性・災害対策	災害対策（別地域への切替）	手順書: 元の地域への復帰	元の地域へ戻す手順を手順書にする	手順書。戻した後の整合確認まで書かれている	2	基盤チーム	基盤チーム	運用に必須	地域全体の障害からの復旧を対象に含める。切替先を持つため、平時から動かす設備と手順が要る	対象	新規: 非機能・運用	—	未着手		NF-AVL-01
G-1.10	G 手順書	ガイド・手順書の執筆	非機能: 可用性・災害対策	バックアップ・復元	手順書: データの復元	保存してあるデータから復元する手順を手順書にする	手順書。時点を指定した復元の方法まで書かれている	2	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象	新規: 非機能・運用	D-18.3	未着手		NF-AVL-02
HK-02	HK 顧客提供成果物	レビュー・合意	非機能: 可用性・災害対策	稼働率・復旧目標（SLA / SLO）	SLA / SLO 定義書（顧客向け）／渡す相手: 全顧客（契約添付）	顧客に約束する稼働率と復旧目標をまとめた文書	定義書。数値と、達成できなかった場合の扱いが定まっている	1	基盤チーム	基盤チーム	法令・契約	顧客への約束は機能の数では変わらない	対象	新規: 非機能・運用	D-18.2	未着手		NF-AVL-03
E-4b	E 方式判断	調査・計画	非機能: セキュリティ	攻撃経路と対策	本番設定: 外部に出さないパスの遮断表	Keycloak-Brokerの本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	1	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	—	未着手		NF-SEC-01
HG-08	HG 権限・監査	設計書の執筆	非機能: セキュリティ	攻撃経路と対策	セキュリティ：攻撃経路対応表（33 経路×対策）	想定される攻撃の経路を洗い出し、それぞれの対策を対応づける。ログイン口への総当たり・過大な流量への対策は WAF 側で行う前提とし、本基盤側で実装しない範囲をここで明示する	対応表。すべての経路に対策が紐づいている	3	基盤チーム	基盤チーム	改ざん防止	記録する側と操作する側を分けないと、監査の意味が無くなる	対象	新規: 非機能・運用	—	未着手		NF-SEC-01
E-4c	E 方式判断	調査・計画	非機能: セキュリティ	鍵・暗号化の管理方式	本番設定: クラスタ内通信の暗号化と 30 日ごとの入れ替え	Keycloak-Brokerの本番向け設定のうち、詰め残していた 5 項目を確定する	設定値。5 項目それぞれの値と根拠が定まっている	1	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	—	未着手		NF-SEC-02
HE-19a	HE つなぎ目設計	設計書の執筆	非機能: セキュリティ	鍵・暗号化の管理方式	鍵・証明書一覧：署名に使う鍵	トークンに署名する鍵の一覧と、入れ替えの手順を整理する	→ 収載先: 鍵・証明書管理設計書。一覧と手順。鍵の種類・保管場所・入れ替え周期が定まっている	1	基盤チーム	基盤チーム	事故防止	入れ替えを止めると、漏れた鍵がいつまでも有効なままになる	対象	新規: 非機能・運用	—	未着手		NF-SEC-02
HA-26	HA 全体・方式設計	設計書の執筆	非機能: セキュリティ	鍵・暗号化の管理方式	共通：鍵管理設計書（3 階層の鍵と暗号化の境界）	暗号化に使う鍵を、種類ごとにどう管理するかの設計	→ 収載先: 鍵・証明書管理設計書。鍵管理設計書。鍵の種類・保管場所・入れ替え周期が定まっている	1	基盤チーム	基盤チーム	事故防止	入れ替えを止めると、漏れた鍵がいつまでも有効なままになる	対象	新規: 非機能・運用	—	未着手		NF-SEC-02
D-20	D 判断	調査・計画	非機能: セキュリティ	個人情報の取り扱い	運用設計：運用委託先から個人情報を見せない記録方式	運用委託先から個人情報が見えないよう、記録の出し方の方式を決める	→ 収載先: ログ設計書。決定記録。出力内容の伏せ方と、設定を固定する方法が定まっている	3	基盤チーム	基盤チーム	構成の前提	構成の前提を決める判断で、先送りすると後続が全て止まる	対象	新規: 機能追加	—	未着手		NF-SEC-03
HH-01	HH 運用設計	設計書の執筆	非機能: 運用・監視	監視項目・閾値・通知	運用設計：監視項目一覧（メトリクス）	システムが正常に動いているか判断するために監視する数値を洗い出して一覧にする	項目一覧。取得元と用途が整理されている	1	基盤チーム	基盤チーム	運用に必須	運用の手順が無いと、作っても回せない	対象	新規: 非機能・運用	—	未着手		NF-OPS-01
HH-02	HH 運用設計	設計書の執筆	非機能: 運用・監視	監視項目・閾値・通知	運用設計：監視項目一覧（ログ・合成監視）	監視する記録と、外形からの確認項目の一覧	項目一覧。確認の頻度が定まっている	1	基盤チーム	基盤チーム	運用に必須	運用の手順が無いと、作っても回せない	対象	新規: 非機能・運用	—	未着手		NF-OPS-01
HH-03	HH 運用設計	設計書の執筆	非機能: 運用・監視	監視項目・閾値・通知	運用設計：閾値・通知先設計	異常と判断する基準値と、誰に知らせるかの設計	閾値設計。すべての監視項目に基準値と通知先が紐づいている	1	基盤チーム	基盤チーム	運用に必須	運用の手順が無いと、作っても回せない	対象	新規: 非機能・運用	—	未着手		NF-OPS-01
G-3	G 運用設計	設計書の執筆	非機能: 運用・監視	運用体制・当番	運用設計：当番体制と通知先の割り当て	当番体制を組み、警報の通知先を割り当てる	当番表と通知設定。夜間・休日の連絡経路が定まっている	1	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象	新規: 非機能・運用	—	未着手		NF-OPS-02
G-1.3	G 手順書	ガイド・手順書の執筆	非機能: 運用・監視	運用手順書	手順書: 事故発生時の初動	不正アクセスや障害を検知したときに、誰が何を止め、何を保全し、どこへ報告するかの初動を定める	手順書。判断の基準・止める順序・証跡の保全方法・連絡先が定まっている	1.5	基盤チーム	基盤チーム	事故防止	検知しても初動が決まっていないと、被害が広がり証跡も失われる。情報漏えい時の報告手順（G-1.4）の前段	対象	新規: 機能追加	—	未着手		NF-OPS-03
G-1.4	G 手順書	ガイド・手順書の執筆	非機能: 運用・監視	運用手順書	手順書: 情報漏えい時の報告	情報漏えいが起きたときの報告手順を手順書にする	手順書。法令が求める期限と報告先が書かれている	0.5	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象	新規: 非機能・運用	—	未着手		NF-OPS-03
G-1.6	G 手順書	ガイド・手順書の執筆	非機能: 運用・監視	緊急時の管理者アクセス	手順書: 緊急時の管理者アクセス	通常経路が使えないときに管理者が入る手順を手順書にする	手順書。発動条件・承認者・事後の監査までが書かれている	0.5	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象	新規: 非機能・運用	—	未着手		NF-OPS-04
E-5	E 方式判断	調査・計画	非機能: 運用・監視	Keycloak の更新・保守	Keycloak の更新の運用手順の精密化	製品を新しい版へ上げる際の運用手順を精密化する	手順設計。事前確認の方法と、停止を伴う場合の作業時間帯が定まっている	1	基盤チーム	基盤チーム	構成の前提	環境や製品設定は、機能を減らしても同じだけ必要になる	対象	新規: 自社構築	—	未着手		NF-OPS-05
HJ-06	HJ Keycloak の作り込み	設計書の執筆	非機能: 運用・監視	Keycloak の更新・保守	自社拡張の配置・ビルド・版数管理の設計	拡張機能をどこに配置し、どう版を管理するかの設計	配置設計。組み込み方法と版の管理方法が定まっている	4	基盤チーム	基盤チーム	製品機能	Keycloak-Brokerをどう組むかは、ユーザ管理を誰が作るかとは無関係に決まる	対象	新規: 自社構築	—	未着手		NF-OPS-05
G-5.1	G 運用設計	設計書の執筆	非機能: 運用・監視	運用プロセス（受付・変更・障害）	運用設計：問い合わせの受付と切り分け	顧客やアプリチームからの問い合わせをどこで受け、誰がどこまで切り分け、いつ誰に引き継ぐかを決める	運用設計書の章。受付の窓口・切り分けの手順・引き継ぎの基準・返答の目安時間が定まっている	2	基盤チーム	基盤チーム	運用に必須	窓口が決まっていないと問い合わせが個人に集まる。認証は止まると全アプリに波及するため、受付から解決までの時間が SLA に直結する	対象	新規: 非機能・運用	—	未着手		NF-OPS-08
G-5.2	G 運用設計	設計書の執筆	非機能: 運用・監視	運用プロセス（受付・変更・障害）	運用設計：変更管理（申請・承認・適用・記録）	設定や構成を変えるときの申請・承認・適用・記録の進め方と、承認が要る変更の線引きを決める	運用設計書の章。変更の分類・承認者・適用の窓・記録の残し方・切り戻しの判断が定まっている	2	基盤チーム	基盤チーム	事故防止	認証の設定は 1 つの変更で全顧客が入れなくなる。誰の承認で何を変えてよいかが決まっていないと事故になる	対象	新規: 非機能・運用	—	未着手		NF-OPS-08
G-5.3	G 運用設計	設計書の執筆	非機能: 運用・監視	運用プロセス（受付・変更・障害）	運用設計：障害と問題の管理（記録・再発防止・報告）	障害を記録し、原因を追い、再発を防ぐまでの進め方と、顧客への報告の出し方を決める	運用設計書の章。記録する項目・重大度の区分・報告の期限と宛先・再発防止の追跡方法が定まっている	1.5	基盤チーム	基盤チーム	運用に必須	事故発生時の初動（G-1.3）はあるが、その後の原因追及と再発防止の進め方が無い	対象	新規: 非機能・運用	—	未着手		NF-OPS-08
G-5.6	G 運用設計	設計書の執筆	非機能: 運用・監視	運用プロセス（受付・変更・障害）	運用設計：運用者のアカウントと権限の棚卸し	運用に使うアカウントを誰がいつ見直し、不要なものをどう止めるかを決める	運用設計書の章。棚卸しの頻度・確認する項目・止める手順・記録の残し方が定まっている	1.5	基盤チーム	基盤チーム	事故防止	本基盤の運用者は全顧客のデータに触れられる。棚卸しをしないと退職者の権限が残る	対象	新規: 非機能・運用	—	未着手		NF-OPS-08
G-5.4	G 運用設計	設計書の執筆	非機能: 運用・監視	サービスレベルの測定と報告	運用設計：サービスレベルの測定と顧客への報告	約束した稼働率と応答時間を何でどう測り、どの頻度で誰に報告するかを決める	運用設計書の章。測る対象・計算式・除外する時間・報告の頻度と様式が定まっている	2	基盤チーム	基盤チーム	法令・契約	稼働率を約束する（HK-02）以上、測り方と報告の形が決まっていないと守れたかどうかを示せない	対象	新規: 非機能・運用	—	未着手		NF-OPS-09
G-5.5	G 運用設計	設計書の執筆	非機能: 運用・監視	定期作業の計画と引き継ぎ	運用設計：定期作業の一覧と運用の暦	日次・週次・月次・四半期・年次に行う作業を洗い出し、いつ誰が行うかの暦を作る	運用設計書の章。作業の一覧・頻度・所要時間・担当・前後関係が定まっている	2	基盤チーム	基盤チーム	運用に必須	定期作業が個人の記憶に依存していると、担当が替わったときに抜ける。運用工数の見積りの根拠にもなる	対象	新規: 非機能・運用	—	未着手		NF-OPS-10
G-5.7	G 運用設計	ガイド・手順書の執筆	非機能: 運用・監視	定期作業の計画と引き継ぎ	運用設計：運用の引き継ぎと教育の計画	構築したチームから運用するチームへ何をどう渡すか、運用開始前に何を訓練するかを決める	計画。渡す資料の一覧・訓練の項目・開始の判定条件が定まっている	1.5	基盤チーム	基盤チーム	運用に必須	手順書があっても、動かせる人がいなければ運用は始められない。開始の可否を判定する条件が要る	対象	新規: 非機能・運用	—	未着手		NF-OPS-10
E-1.1	E 方式判断	調査・計画	非機能: 移行・環境	開発・検証環境	開発・検証環境: 費用と共用方式の調査	開発・検証用の環境について、費用と共用のしかたを調査する	調査結果。費用の見込みと共用可能な範囲が整理されている	1	基盤チーム	基盤チーム	構成の前提	【省略・吸収】E-1.2 に吸収（費用比較は構成決定と一体）。人日は復活時のために残す	対象外：省略・吸収	新規: 自社構築	—	未着手		NF-MIG-01
