要件ID	種別	分類	項目	概要	優先度	要件実現対象	構築場所	担当	調整の理由	出典の節
NFR-SEC-019	非機能要件	NFR-SEC セキュリティ	内部通信の認証（Lambda → Keycloak）	内部の呼び出しでも相手を確認すること	推奨値あり	対象	Keycloak-Broker	インフラ		4.4 ネットワーク・境界制御
NFR-SEC-020	非機能要件	NFR-SEC セキュリティ	セッション固定攻撃対策	ログインの前後で状態を作り替え、乗っ取りを防ぐこと	推奨値あり	対象	Keycloak-Broker	インフラ		4.2 トークン・セッション
NFR-DR-001	非機能要件	NFR-DR 災害復旧	RTO（目標復旧時間）	目標の時間内に復旧できること	TBD	対象	Keycloak-Broker	インフラ		5. NFR-DR（災害復旧）
NFR-DR-002	非機能要件	NFR-DR 災害復旧	RPO（目標復旧地点）	失うデータを目標の範囲に収めること	TBD	対象	Keycloak-Broker	インフラ		5. NFR-DR（災害復旧）
NFR-DR-003	非機能要件	NFR-DR 災害復旧	フェイルオーバー方式	別地域へ切り替える方式が定まっていること	TBD	対象	Keycloak-Broker	インフラ		5. NFR-DR（災害復旧）
NFR-DR-004	非機能要件	NFR-DR 災害復旧	バックアップ保存期間	控えを一定期間保つこと	推奨値あり	対象	Keycloak-Broker	インフラ		5. NFR-DR（災害復旧）
NFR-DR-005	非機能要件	NFR-DR 災害復旧	PITR（Point-in-Time Recovery）	時点を指定して戻せること	推奨値あり	対象	Keycloak-Broker	インフラ		5. NFR-DR（災害復旧）
NFR-DR-006	非機能要件	NFR-DR 災害復旧	クロスリージョンバックアップ	控えを別の地域にも置くこと	推奨値あり	対象	Keycloak-Broker	インフラ		5. NFR-DR（災害復旧）
NFR-DR-007	非機能要件	NFR-DR 災害復旧	DR 訓練	復旧の訓練を定期的に行うこと	TBD	対象	Keycloak-Broker	インフラ		5. NFR-DR（災害復旧）
NFR-DR-008	非機能要件	NFR-DR 災害復旧	DR 切替時のセッション維持	切り替えてもログインし直さずに済むこと	推奨値あり	対象	Keycloak-Broker	インフラ		5. NFR-DR（災害復旧）
NFR-OPS-001	非機能要件	NFR-OPS 運用性	監視・メトリクス	動きを測る値が取れること	推奨値あり	対象	Keycloak-Broker	インフラ		6.1 監視・ロギング
NFR-OPS-002	非機能要件	NFR-OPS 運用性	アラート通知	異常を検知したら通知が届くこと	推奨値あり	対象	Keycloak-Broker	インフラ		6.1 監視・ロギング
NFR-OPS-003	非機能要件	NFR-OPS 運用性	ログ保存期間	記録を定められた期間保つこと	TBD	対象	Keycloak-Broker	インフラ		6.1 監視・ロギング
NFR-OPS-004	非機能要件	NFR-OPS 運用性	ログ検索性	記録を必要な条件で探せること	推奨値あり	対象	Keycloak-Broker	インフラ	参照は全体の共通基盤で行う	6.1 監視・ロギング
NFR-OPS-005	非機能要件	NFR-OPS 運用性	バージョンアップ方針	Keycloak の版を上げる方針が定まっていること	TBD	対象	Keycloak-Broker	インフラ		6.2 デプロイ・パッチ
NFR-OPS-006	非機能要件	NFR-OPS 運用性	パッチ適用（CVE 対応）	弱点への修正を定めた期間内に当てること	推奨値あり	対象	Keycloak-Broker	インフラ		6.2 デプロイ・パッチ
NFR-OPS-007	非機能要件	NFR-OPS 運用性	設定変更プロセス	設定を変えるときの手順が定まっていること	推奨値あり	対象	Keycloak-Broker	インフラ		6.2 デプロイ・パッチ
NFR-OPS-008	非機能要件	NFR-OPS 運用性	インシデント対応体制	障害に対応する体制があること	TBD	対象	Keycloak-Broker	インフラ		6.3 体制・運用 SLA
NFR-OPS-009	非機能要件	NFR-OPS 運用性	運用工数（人月）	運用にかかる人手が想定の範囲に収まること	推奨値あり	対象	Keycloak-Broker	インフラ		6.3 体制・運用 SLA
NFR-OPS-010	非機能要件	NFR-OPS 運用性	デプロイ自動化（CI/CD）	入れ替えを自動で行えること	推奨値あり	対象	Keycloak-Broker	インフラ		6.2 デプロイ・パッチ
NFR-OPS-011	非機能要件	NFR-OPS 運用性	テナント追加の運用 SLA	顧客を追加してから使えるまでの時間を約束できること	TBD	対象	Keycloak-Broker	インフラ		6.3 体制・運用 SLA
NFR-COMP-001	非機能要件	NFR-COMP コンプライアンス	個人情報保護法対応	個人情報保護法に沿った扱いをすること	推奨値あり	対象	Keycloak-Broker	インフラ		7.1 規制・法令対応
NFR-COMP-002	非機能要件	NFR-COMP コンプライアンス	GDPR / CCPA（海外展開時）	海外の個人情報の規則に沿えること	TBD	対象外	—	—	海外展開時に再評価	7.1 規制・法令対応
NFR-COMP-003	非機能要件	NFR-COMP コンプライアンス	SOC 2 Type II	第三者認証（SOC 2）に対応できること	TBD	対象外	—	—	取得の予定が決まってから	7.2 業界認定・監査
NFR-COMP-004	非機能要件	NFR-COMP コンプライアンス	ISO 27001	第三者認証（ISO 27001）に対応できること	TBD	対象外	—	—	同上	7.2 業界認定・監査
NFR-COMP-005	非機能要件	NFR-COMP コンプライアンス	PCI DSS（金融）	カード業界の基準に対応できること	TBD	対象外	—	—	該当する顧客が現れてから	7.2 業界認定・監査
NFR-COMP-006	非機能要件	NFR-COMP コンプライアンス	FIPS 140-3 認定（暗号モジュール認定、旧 140-2）	暗号の実装が国の認定を受けていること	不要	対象外	—	—	不要と確定（2026-07-30）	7.2 業界認定・監査
NFR-COMP-007	非機能要件	NFR-COMP コンプライアンス	監査ログ保存期間（法令要件）	法令が求める期間まで記録を保つこと	TBD	対象	Keycloak-Broker	インフラ		7.2 業界認定・監査
NFR-COMP-008	非機能要件	NFR-COMP コンプライアンス	データ所在地（リージョン制限）	データを置く地域を限定できること	TBD	対象	Keycloak-Broker	インフラ		7.1 規制・法令対応
NFR-COMP-009	非機能要件	NFR-COMP コンプライアンス	個人データ削除権（GDPR Right to Erasure）	本人の求めに応じてデータを消せること	TBD	対象	Keycloak-Broker	インフラ		7.3 データガバナンス
NFR-COMP-010	非機能要件	NFR-COMP コンプライアンス	アクセス監査の追跡可能性	誰がいつ何をしたかを追えること	推奨値あり	対象	Keycloak-Broker	インフラ		7.2 業界認定・監査
NFR-COMP-011	非機能要件	NFR-COMP コンプライアンス	暗号鍵のローテーションと所在の可視化	鍵を定期的に入れ替え、どこにあるか分かること	推奨値あり	対象	Keycloak-Broker	インフラ		7.3 データガバナンス
NFR-COST-001	非機能要件	NFR-COST コスト	初期構築費	初期に作るための費用が見積もられていること	推奨値あり	対象	Keycloak-Broker	インフラ		8. NFR-COST（コスト）
NFR-COST-002	非機能要件	NFR-COST コスト	月額固定インフラ費	毎月かかる設備の費用が見積もられていること	推奨値あり	対象	Keycloak-Broker	インフラ		8. NFR-COST（コスト）
NFR-COST-003	非機能要件	NFR-COST コスト	MAU あたりコスト（連携）	ユーザ 1 人あたりの費用が把握できること	推奨値あり	対象	Keycloak-Broker	インフラ		8. NFR-COST（コスト）
NFR-COST-004	非機能要件	NFR-COST コスト	DR 追加月額	災害対策を持つ場合の追加費用が把握できること	推奨値あり	対象	Keycloak-Broker	インフラ		8. NFR-COST（コスト）
NFR-COST-005	非機能要件	NFR-COST コスト	運用人件費	運用にかかる人件費が見積もられていること	推奨値あり	対象	Keycloak-Broker	インフラ		8. NFR-COST（コスト）
NFR-COST-006	非機能要件	NFR-COST コスト	RHBK サブスクリプション	Keycloak の商用サポート費用の要否が定まっていること	TBD	対象	Keycloak-Broker	インフラ		8. NFR-COST（コスト）
NFR-COST-007	非機能要件	NFR-COST コスト	損益分岐 MAU（連携のみ）	どの規模から自前が有利になるかが分かること	推奨値あり	対象	Keycloak-Broker	インフラ		8. NFR-COST（コスト）
NFR-COST-008	非機能要件	NFR-COST コスト	3 年 TCO（10 万 MAU 想定）	3 年分の総額が把握できること（小規模）	推奨値あり	対象	Keycloak-Broker	インフラ		8. NFR-COST（コスト）
NFR-COST-009	非機能要件	NFR-COST コスト	3 年 TCO（50 万 MAU 想定）	3 年分の総額が把握できること（中規模）	推奨値あり	対象	Keycloak-Broker	インフラ		8. NFR-COST（コスト）
NFR-MIG-001	非機能要件	NFR-MIG 移行性	既存認証システムからのユーザー移行	既存の認証からユーザを移せること	不要	対象	その他	アプリ	2026-08-17 の判断で本基盤の対象外。移行はアプリ側	9. NFR-MIG（移行性）
NFR-MIG-002	非機能要件	NFR-MIG 移行性	パスワード移行（ハッシュ持ち越し）	パスワードを暗号化したまま引き継げること	不要	対象	その他	アプリ	同上	9. NFR-MIG（移行性）
NFR-MIG-003	非機能要件	NFR-MIG 移行性	ベンダーロックイン回避	特定の製品に縛られない作りであること	推奨値あり	対象	Keycloak-Broker	インフラ		9. NFR-MIG（移行性）
NFR-MIG-004	非機能要件	NFR-MIG 移行性	データエクスポート	データを取り出せること	推奨値あり	対象	Keycloak-Broker	インフラ		9. NFR-MIG（移行性）
NFR-MIG-005	非機能要件	NFR-MIG 移行性	段階的移行（並行稼働）	新旧を並行して動かしながら段階的に移せること	推奨値あり	対象	Keycloak-Broker	インフラ	切替の計画は本基盤、実施はアプリ	9. NFR-MIG（移行性）
