WBS ID	項目	作業種別	機能ID	機能グループ	機能名	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	概要	成果物と完了条件	状態
F-4	並行検討していた運用要件の本体への統合	外部調整	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	法令・契約	【省略・吸収】設計書はまだ無い前提のため統合作業は不要。人日は復活時のために残す	対象外：省略・吸収	新規: 非機能・運用	並行して検討していた運用面の要件を、本体の設計へ統合する	統合済みの設計。参照の食い違いが解消されている	未着手
G-1.1	手順書: 顧客の追加	ガイド・手順書の執筆	F-ADM-16	接続先管理	顧客認証システムの接続登録	基盤チーム	アプリチーム	認証の中核	顧客と接続先を登録できないとサービスを開始できない	対象	新規: 機能追加	顧客を新しく追加するときの作業手順を手順書にする	手順書。6 段階の作業が順に書かれ、担当者が単独で実施できる	未着手
G-1.2	手順書: 顧客の解約	ガイド・手順書の執筆	横断	横断	横断（顧客の解約運用）	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象	新規: 非機能・運用	顧客が解約するときの段階的な削除手順を手順書にする	手順書。猶予期間・データの引き渡し・完了の証明までが書かれている	未着手
G-1.3	手順書: 事故発生時の初動	ガイド・手順書の執筆	F-INT-08	監視・検知	不正兆候の検知	基盤チーム	アプリチーム	事故防止	検知した後に誰が何をするかが決まっていないと、検知しても止められない	対象	新規: 非機能・運用	事故が起きたときの初動の手順を手順書にする	手順書。検知から関係者への連絡までの時間目標が書かれている	未着手
G-1.4	手順書: 情報漏えい時の報告	ガイド・手順書の執筆	横断	横断	横断（法令対応）	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象	新規: 非機能・運用	情報漏えいが起きたときの報告手順を手順書にする	手順書。法令が求める期限と報告先が書かれている	未着手
G-1.6	手順書: 緊急時の管理者アクセス	ガイド・手順書の執筆	横断	横断	横断（緊急時の運用）	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象	新規: 非機能・運用	通常経路が使えないときに管理者が入る手順を手順書にする	手順書。発動条件・承認者・事後の監査までが書かれている	未着手
G-1.7	手順書: 強制ログアウト（3 つの範囲別）	ガイド・手順書の執筆	F-ADM-10	利用者支援操作	強制ログアウト	基盤チーム	アプリチーム	認証の中核	手順書が無いと運用が回らず、作っただけで終わる	対象	新規: 非機能・運用	利用者を強制的にログアウトさせる手順を、3 つの範囲別に手順書にする	手順書。1 人・1 顧客・全体の 3 段階が書き分けられている	未着手
G-1.8	手順書: 災害時の切替判断	ガイド・手順書の執筆	横断	横断	横断（災害対策）	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象外：災害対策をやらない	新規: 非機能・運用	災害時に切り替えるかどうかの判断手順を手順書にする	手順書。判断基準と判断者が明確になっている	未着手
G-1.9	手順書: 切替先での再構築	ガイド・手順書の執筆	横断	横断	横断（災害対策）	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象外：災害対策をやらない	新規: 非機能・運用	切替先の地域で環境を作り直す手順を手順書にする	手順書。所要時間の見込みつきで作業が順に書かれている	未着手
G-1.10	手順書: データの復元	ガイド・手順書の執筆	横断	横断	横断（災害対策）	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象	新規: 非機能・運用	保存してあるデータから復元する手順を手順書にする	手順書。時点を指定した復元の方法まで書かれている	未着手
G-1.11	手順書: 元の地域への復帰	ガイド・手順書の執筆	横断	横断	横断（災害対策）	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象外：災害対策をやらない	新規: 非機能・運用	元の地域へ戻す手順を手順書にする	手順書。戻した後の整合確認まで書かれている	未着手
G-3	運用設計：当番体制と通知先の割り当て	設計書の執筆	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	運用に必須	手順書が無いと運用が回らず、作っただけで終わる	対象	新規: 非機能・運用	当番体制を組み、警報の通知先を割り当てる	当番表と通知設定。夜間・休日の連絡経路が定まっている	未着手
G-4.1	構成図の清書: 全体図	設計書の執筆	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	運用に必須	【省略・吸収】HA-04 / HA-05 に吸収（清書を含める）。人日は復活時のために残す	対象外：省略・吸収	新規: 非機能・運用	全体構成図を清書する	構成図。2 ネットワーク分離とブランド単位の構成が反映されている	未着手
G-4.2	構成図：ネットワーク詳細図	設計書の執筆	横断	横断	横断（全機能共通）	基盤チーム	基盤チーム	運用に必須	分離は到達を防ぐものではなく「何が取れるか」を変えるもの。管理用の口はパスワードのハッシュを返さないが、DB を直接読めば全件取れる。ハッシュが持ち出されると元のパスワードが割り出され、利用者が他所で使い回している分まで被害が広がる。分離すれば DB への経路そのものが存在しないため、これを構造的に防げる（2026-09-02 維持を決定）	対象	新規: 非機能・運用	ネットワーク詳細図を清書する	構成図。閉域接続とイベント経路が反映されている	未着手
D-9.2	管理操作の記録の置き場所と保存年数	調査・計画	F-ADM-18	監査・一括処理	操作記録の照会	要判断	基盤チーム	画面のみ	【省略・吸収】HG-05 に吸収（監査ログの置き場所・保持年数）。人日は復活時のために残す	対象外：省略・吸収	新規: 非機能・運用	誰が何をしたかの記録を、ブランドごとに分けて持つか中央に集めるかを決める	判断記録。保存年数との整合を含め、置き場所が定まっている	未着手
E-7	ログの中央集約（他組織の監査アカウント）の制約確認	調査・計画	F-ADM-18	監査・一括処理	操作記録の照会	要判断	基盤チーム	画面のみ	見る画面はアプリでよいが、記録そのものは改ざん防止のため基盤が持つ	対象	新規: 非機能・運用	基盤側が出す記録を中央に集める際の制約を確認する	→ 収載先: ログ設計書。確認結果。集約できる範囲と、できない場合の回避策が定まっている	未着手
D-20	運用設計：運用委託先から個人情報を見せない記録方式	調査・計画	—	横断	該当なし	基盤チーム	基盤チーム	構成の前提	構成の前提を決める判断で、先送りすると後続が全て止まる	対象	新規: 機能追加	運用委託先から個人情報が見えないよう、記録の出し方の方式を決める	→ 収載先: ログ設計書。決定記録。出力内容の伏せ方と、設定を固定する方法が定まっている	未着手
D-13	連続失敗の締め出しと危険度判定の組み合わせ	調査・計画	F-AUTH-20	不正アクセス対策	連続失敗時の一時締め出し	基盤チーム	基盤チーム	事故防止	総当たりと利用者名の割り出しは、基盤側で塞がないとアプリでは防げない	対象	新規: 規模	連続失敗による締め出しと、危険度の判定をどう組み合わせるかを決める	決定記録。二重に締め出さない条件が定まっている	未着手
D-14	攻撃対策の画面側対応と文言の最終化	調査・計画	F-AUTH-02, F-AUTH-03	接続先の振り分け	接続先の自動振り分け／振り分け失敗時のパスワード入力への切替	基盤チーム	アプリチーム	代替手段あり	【省略・吸収】HB-F-AUTH-21 アカウント列挙対策に吸収（画面文言）。人日は復活時のために残す	対象外：省略・吸収	新規: 規模	入口の防御に必要な情報の受け渡しと、判定できないときの案内文を確定する	決定記録と文言案	未着手
D-8b	顧客ごとの追加項目（社員番号・部署など）の受入上限と形式	調査・計画	F-PROV-08	受け取ったデータの整形（項目名・区分の統一）	項目名の変換・統一	基盤チーム	アプリチーム	認証の中核	顧客ごとにバラバラな項目名を揃えないと、複数の顧客を同時に扱えない	対象	新規: 機能追加	顧客ごとに異なる追加項目を、どこまで受け入れるかの枠を決める	→ 収載先: 項目名の変換・統一設計書。受入規約。受け入れる項目名の形式と個数の上限が定まっている	未着手
D-8a	管理画面・アプリ経由で作った利用者の区分と自動停止の扱い	調査・計画	F-PROV-09	受け取ったデータの整形（項目名・区分の統一）	登録経路の区分判定	アプリチーム	アプリチーム	認証の中核	どの経路で入った人かで扱いを変えるため、これが無いと後続が全て破綻する	対象	新規: 機能追加	管理画面から作られた利用者に、運用者が作った場合と別の区分値を与えるかを決める	→ 収載先: 利用者ライフサイクル設計書。判断記録。区分値の新設要否と、影響する処理の一覧が整理されている	要件確認
D-8c	アプリが作った利用者の扱いを選べるようにするか	調査・計画	F-BAT-01	利用者の整理	長期未使用者の自動停止	基盤チーム	アプリチーム	事故防止	【省略・吸収】D-8a に吸収（区分と自動停止の扱いを 1 行で決める）。人日は復活時のために残す	対象外：省略・吸収	新規: 機能追加	アプリ経由で作られた利用者を自動整理の対象にするかを、テナントが選べるようにするかを決める	判断記録。選べる場合の既定値と切替方法が定まっている	未着手
D-5	システム同士が API を呼ぶときに持たせる権限の範囲（呼び出し元ごと）	調査・計画	F-AZ-07	トークン管理	システム間トークンの発行	基盤チーム	アプリチーム	事故防止	この資格が漏れると全顧客を操作できてしまうため、発行を基盤が握る必要がある	対象	新規: 非機能・運用	アカウントをまたぐイベントの受け渡しで、呼び出す側にどの権限を持たせるかを決める。例: 管理 API（Lambda）→ 認証製品の管理用の口、バッチ → 管理 API。アカウント越境の配送が対象外になったので範囲は縮小	権限設計。呼び出しごとに必要な権限が定まっている	未着手
D-12	証明書（顧客 IdP の SAML 署名・本基盤の SAML 署名・TLS）を止めずに入れ替える運用手順	調査・計画	F-INT-11, F-BAT-07	接続情報の追随／鍵・証明書の維持	接続情報の自動追随／証明書期限の監視	基盤チーム	基盤チーム	代替手段あり	通常のシステム監視と手動更新で代替でき、無くても認証は止まらない	対象	新規: 機能追加	接続先の証明書を止めずに入れ替えるための運用手順を決める	→ 収載先: 鍵・証明書管理設計書。決定記録。自動追随が使えない場合の手動手順も含む	未着手
G-1.5	手順書: 鍵の緊急入れ替え	ガイド・手順書の執筆	F-BAT-04, F-BAT-05	鍵・証明書の維持	署名鍵の定期入れ替え／接続用パスワードの定期入れ替え	基盤チーム	基盤チーム	事故防止	入れ替えを止めると、漏れた鍵がいつまでも有効なままになる	対象	新規: 非機能・運用	鍵を緊急で入れ替えるときの手順を手順書にする	→ 収載先: 鍵・証明書管理設計書。手順書。入れ替え中の影響と復旧確認まで書かれている	未着手
D-11	旧方式の接続先を登録するひな形	調査・計画	F-AUTH-06	フェデレーション	顧客認証システムへのログイン委譲（旧方式）	基盤チーム	基盤チーム	認証の中核	【省略・吸収】HJ-14 IdP 接続仕様テンプレート（SAML/OIDC 別）に吸収。人日は復活時のために残す	対象外：省略・吸収	当初あり	旧方式の接続先を登録するときのひな形を作る	ひな形定義。項目の対応づけが定まっている	未着手
