要件ID	要件	要件の概要	機能ID	機能	機能の概要	担当	状況
FR-AUTHZ-006	カスタムクレーム注入（任意属性）	任意の属性を JWT に載せられること	F-PROV-08	顧客IdP から受け取る属性の名前の統一	顧客ごとにバラバラな項目名を基盤内の統一名に変換して取り込む。統一名の辞書と 顧客IdPごとの変換表を含む	インフラ（本基盤）	全工程あり
FR-AUTHZ-006	カスタムクレーム注入（任意属性）	任意の属性を JWT に載せられること	F-AZ-10	アプリへの JWT 発行	アプリへ渡す JWT を発行し、失効させ、有効性を確かめられるようにする。何を載せるか・要求できる範囲の定義はこの機能の設計作業（HJ-07）で行う	インフラ（本基盤）	全工程あり
FR-AUTHZ-007-a	API 入口での JWT 検証（アプリ側の認可統合）（アプリの実装）	API の入口でアプリが JWT を検証して可否を判断できること（ガイドで示す。Lambda Authorizer は PoC 時の実装名）	NF-DOC-01	アプリ開発者向けガイド（共通部）	アプリ開発者へ渡すガイドのうち、特定の機能に紐づかない導入・運用・参照の部分	アプリ（業務アプリ）	アプリ側で実施
FR-AUTHZ-007-b	API 入口での JWT 検証（アプリ側の認可統合）（ガイド・サンプル）	API の入口でアプリが JWT を検証して可否を判断できること（ガイドで示す。Lambda Authorizer は PoC 時の実装名）	F-AZ-10	アプリへの JWT 発行	アプリへ渡す JWT を発行し、失効させ、有効性を確かめられるようにする。何を載せるか・要求できる範囲の定義はこの機能の設計作業（HJ-07）で行う	インフラ（本基盤）	全工程あり
FR-AUTHZ-007-b	API 入口での JWT 検証（アプリ側の認可統合）（ガイド・サンプル）	API の入口でアプリが JWT を検証して可否を判断できること（ガイドで示す。Lambda Authorizer は PoC 時の実装名）	F-BAT-04	JWT 署名鍵の定期入れ替え	JWT の署名に使う鍵を定期的に入れ替える。切り替え中も止めないための並走期間を含む	インフラ（本基盤）	全工程あり
FR-AUTHZ-007-b	API 入口での JWT 検証（アプリ側の認可統合）（ガイド・サンプル）	API の入口でアプリが JWT を検証して可否を判断できること（ガイドで示す。Lambda Authorizer は PoC 時の実装名）	NF-DOC-01	アプリ開発者向けガイド（共通部）	アプリ開発者へ渡すガイドのうち、特定の機能に紐づかない導入・運用・参照の部分	インフラ（本基盤）	全工程あり
FR-AUTHZ-008	マルチイシュア対応（複数 User Pool / Realm）	発行元が複数あっても正しく検証できること	F-AZ-10	アプリへの JWT 発行	アプリへ渡す JWT を発行し、失効させ、有効性を確かめられるようにする。何を載せるか・要求できる範囲の定義はこの機能の設計作業（HJ-07）で行う	インフラ（本基盤）	全工程あり
FR-AUTHZ-008	マルチイシュア対応（複数 User Pool / Realm）	発行元が複数あっても正しく検証できること	NF-ARC-04	Realm・ブランド区画構成	Keycloak-Brokerを何個の区画に分けるか。ブランドごとの分け方と発行元の規律	インフラ（本基盤）	全工程あり
FR-AUTHZ-009	リソースレベル認可（UMA 2.0 / Fine-grained）	データ 1 件ごとに細かく可否を判断できること	—	—（本基盤に作る機能なし）	認可はこちらでは行わない	アプリ（業務アプリ）	アプリ側で実施
FR-AUTHZ-010	動的属性ベース認可（ABAC）	属性の組み合わせで動的に可否を判断できること	—	—（本基盤に作る機能なし）	同上	アプリ（業務アプリ）	アプリ側で実施
FR-USER-001-a	ユーザー作成 / 更新 / 削除（CRUD）（管理画面と API）	ユーザを作る・変える・消せること	F-ADM-03	ユーザの登録と変更	管理者がユーザを新規に登録し、情報を変更する	アプリ（管理画面・idm-api）	アプリ側で実施
FR-USER-001-a	ユーザー作成 / 更新 / 削除（CRUD）（管理画面と API）	ユーザを作る・変える・消せること	F-ADM-03	ユーザの登録と変更	管理者がユーザを新規に登録し、情報を変更する	アプリ（管理画面・idm-api）	アプリ側で実施
FR-USER-001-a	ユーザー作成 / 更新 / 削除（CRUD）（管理画面と API）	ユーザを作る・変える・消せること	F-ADM-05	ユーザの利用可否の切替・削除	管理者がユーザを一時的に使えなくする／戻す。削除の求めもここで扱う（実際には消さずに使えない状態にする）	アプリ（管理画面・idm-api）	アプリ側で実施
FR-USER-001-a	ユーザー作成 / 更新 / 削除（CRUD）（管理画面と API）	ユーザを作る・変える・消せること	F-INT-14	アプリ向け管理 API の公開	アプリのサーバから Keycloak-Broker の管理 API を呼べるようにする。到達経路・呼び出し元の資格・許してよい操作の範囲を決める	アプリ（管理画面・idm-api）	アプリ側で実施
FR-USER-001-b	ユーザー作成 / 更新 / 削除（CRUD）（本基盤側の受け口）	ユーザを作る・変える・消せること	F-INT-14	アプリ向け管理 API の公開	アプリのサーバから Keycloak-Broker の管理 API を呼べるようにする。到達経路・呼び出し元の資格・許してよい操作の範囲を決める	インフラ（本基盤）	全工程あり
FR-USER-002	カスタム属性（任意フィールド）	顧客ごとの追加の項目を持たせられること	F-PROV-08	顧客IdP から受け取る属性の名前の統一	顧客ごとにバラバラな項目名を基盤内の統一名に変換して取り込む。統一名の辞書と 顧客IdPごとの変換表を含む	インフラ（本基盤）	全工程あり
FR-USER-002	カスタム属性（任意フィールド）	顧客ごとの追加の項目を持たせられること	F-PROV-09	ユーザの登録経路の区分	そのユーザがどの経路（JIT / SCIM / 管理画面 / アプリ API / 運用者 / 移行）で登録されたかを区別する	インフラ（本基盤）	全工程あり
FR-USER-003-a	SCIM 2.0 プロビジョニング（受信側）	顧客の人事システムから SCIM でユーザを受け取れること	F-PROV-03	顧客IdP からのユーザ情報の同期	顧客IdP から SCIM でユーザの登録・更新・削除通知・検索を受け取り、本基盤へ反映する。呼び出し口ごとの違いは提供 API 一覧で持つ。グループ連携は初期リリース対象外	インフラ（本基盤）	全工程あり
FR-USER-003-b	SCIM 2.0 プロビジョニング（送信側）	顧客の人事システムから SCIM でユーザを受け取れること	F-PROV-03	顧客IdP からのユーザ情報の同期	顧客IdP から SCIM でユーザの登録・更新・削除通知・検索を受け取り、本基盤へ反映する。呼び出し口ごとの違いは提供 API 一覧で持つ。グループ連携は初期リリース対象外	顧客（顧客IdP）	顧客側で実施
FR-USER-004	セルフサービスプロフィール編集	ユーザが自分で自分の情報を変えられること	F-AUTH-01	Keycloak-IdP 収容ユーザのログイン	顧客側に認証システムが無い顧客のユーザが Keycloak-IdP に、本基盤の運用者が Keycloak-Broker に、ID とパスワードで直接ログインする。顧客のユーザ分は Keycloak-IdP 側（アプリ責務）、運用者分は本基盤	アプリ（Keycloak-IdP）	アプリ側で実施（Keycloak-IdP 側。本基盤は ROSA の引き渡しまで＝NFR-OPS-012）
FR-USER-005	ユーザー検索・一覧	ユーザを検索・一覧表示できること	F-ADM-01	ユーザの参照	管理者が自分の顧客のユーザを検索・一覧表示し、1 人の詳細を参照する	アプリ（管理画面・idm-api）	アプリ側で実施
FR-USER-006-a	ユーザー有効化 / 無効化（suspend）（Keycloak-Broker 側）	ユーザを一時的に使えなくする／戻せること。Keycloak-IdP 側で止めたユーザの Keycloak-Broker 側の写しは伝播しない。残存は Keycloak-Broker のセッション上限（12 時間）で受容（2026-09-07 決定）	F-PROV-10	ユーザの停止（消さずに無効化）	ユーザを削除せず使えない状態にし、停止日時を記録する	インフラ（本基盤）	全工程あり
FR-USER-006-a	ユーザー有効化 / 無効化（suspend）（Keycloak-Broker 側）	ユーザを一時的に使えなくする／戻せること。Keycloak-IdP 側で止めたユーザの Keycloak-Broker 側の写しは伝播しない。残存は Keycloak-Broker のセッション上限（12 時間）で受容（2026-09-07 決定）	F-PROV-11	停止済みユーザの再開	一度止めたユーザを再び使えるようにする。誤って復活させない条件を含む	インフラ（本基盤）	全工程あり
FR-USER-006-b	ユーザー有効化 / 無効化（suspend）（操作画面）	ユーザを一時的に使えなくする／戻せること。Keycloak-IdP 側で止めたユーザの Keycloak-Broker 側の写しは伝播しない。残存は Keycloak-Broker のセッション上限（12 時間）で受容（2026-09-07 決定）	F-INT-14	アプリ向け管理 API の公開	アプリのサーバから Keycloak-Broker の管理 API を呼べるようにする。到達経路・呼び出し元の資格・許してよい操作の範囲を決める	アプリ（管理画面・idm-api）	アプリ側で実施
FR-USER-007	ユーザーグループ管理	ユーザをグループでまとめられること	F-PROV-03	顧客IdP からのユーザ情報の同期	顧客IdP から SCIM でユーザの登録・更新・削除通知・検索を受け取り、本基盤へ反映する。呼び出し口ごとの違いは提供 API 一覧で持つ。グループ連携は初期リリース対象外	—	Phase 1 では作らない
FR-USER-008	ロール割り当て	ユーザに役割を割り当てられること	F-ADM-12	アプリ内の役割の設定	アプリごとの役割（ロール）をユーザに割り当てる	アプリ（管理画面・idm-api）	アプリ側で実施
FR-USER-009	バルクインポート（CSV / JSON）	ファイルからまとめてユーザを取り込めること	F-ADM-20	ユーザの一括登録	ユーザをまとめて登録するためのファイル取り込み	アプリ（管理画面・idm-api）	アプリ側で実施
FR-USER-010	ユーザーパスワード強制リセット	管理者がユーザのパスワードを強制的に初期化できること	F-ADM-07	パスワード初期化（管理者）	管理者がユーザのパスワードを初期化する	アプリ（Keycloak-IdP）	アプリ側で実施
FR-USER-011-a	ユーザー削除時の関連データ削除（GDPR 等）（本基盤の窓口と Keycloak-Broker 側）	ユーザを消すときに関連するデータも消せること	F-BAT-09	保存期限切れデータの消去	保存期限を過ぎたデータを実際に消去する。初期リリースでは準備のみ	インフラ（本基盤）	全工程あり
FR-USER-011-a	ユーザー削除時の関連データ削除（GDPR 等）（本基盤の窓口と Keycloak-Broker 側）	ユーザを消すときに関連するデータも消せること	F-ADM-24	本人からの開示・削除請求への対応	本人から求められたときに、保有する個人データを開示し、または削除する	インフラ（本基盤）	全工程あり
FR-USER-011-b	ユーザー削除時の関連データ削除（GDPR 等）（権限データ側）	ユーザを消すときに関連するデータも消せること	F-ADM-24	本人からの開示・削除請求への対応	本人から求められたときに、保有する個人データを開示し、または削除する	アプリ（管理画面・idm-api）	アプリ側で実施
FR-USER-012	ユーザー作成時の招待メール	新しいユーザに招待を送れること	F-ADM-08	ユーザの招待	新しいユーザに招待を送り、本人に初期設定させる	アプリ（管理画面・idm-api）	アプリ側で実施
FR-USER-013	長期未使用ユーザの自動停止	90 日ログインの無いユーザを自動で止められること	F-BAT-01	長期未使用者の自動停止	長期間（90 日）ログインのないユーザを自動で使えない状態にする定期処理。顧客IdP 経由で自動作成したユーザのみが対象で、Keycloak-IdP 収容ユーザと顧客システム連携ユーザは対象外	インフラ（本基盤）	全工程あり
FR-ADMIN-001	管理コンソール UI	管理のための画面があること	F-ADM-01	ユーザの参照	管理者が自分の顧客のユーザを検索・一覧表示し、1 人の詳細を参照する	アプリ（管理画面・idm-api）	アプリ側で実施
FR-ADMIN-002	テナント追加・削除	顧客を追加・削除できること	F-ADM-14	顧客の作成	新しい顧客を作成する	インフラ（本基盤）	全工程あり
FR-ADMIN-002	テナント追加・削除	顧客を追加・削除できること	F-ADM-23	顧客の解約	顧客がサービスから離脱するときのデータの扱いと停止の段取り	インフラ（本基盤）	全工程あり
FR-ADMIN-003	IdP 追加・削除・更新	顧客IdP を追加・変更・削除できること	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	インフラ（本基盤）	全工程あり
FR-ADMIN-003	IdP 追加・削除・更新	顧客IdP を追加・変更・削除できること	F-ADM-17	接続設定の変更・証明書更新	接続済みの認証システムの設定変更と、期限が来る証明書の入れ替え	インフラ（本基盤）	全工程あり
FR-ADMIN-004	クライアント（App）管理	アプリの接続登録を管理できること	F-INT-13	アプリの接続登録（クライアント登録）	新しいアプリを Keycloak-Broker に接続するときの登録内容・申請の流れ・接続情報の渡し方	インフラ（本基盤）	全工程あり
FR-ADMIN-005	ロール定義管理	役割の定義を管理できること	F-ADM-12	アプリ内の役割の設定	アプリごとの役割（ロール）をユーザに割り当てる	アプリ（管理画面・idm-api）	アプリ側で実施
FR-ADMIN-006	パーミッション管理（細粒度）	権限を細かく設定できること	F-ADM-11	使えるアプリの設定	どのユーザにどのアプリを使わせるかを設定する	アプリ（管理画面・idm-api）	アプリ側で実施
FR-ADMIN-006	パーミッション管理（細粒度）	権限を細かく設定できること	F-ADM-12	アプリ内の役割の設定	アプリごとの役割（ロール）をユーザに割り当てる	アプリ（管理画面・idm-api）	アプリ側で実施
FR-ADMIN-007-a	監査ログ閲覧（出力・項目・保持年数の指定）	監査の記録を閲覧できること。参照は全体の共通基盤側で行い、本基盤に照会画面は作らない（本基盤は出力と集約まで）	F-ADM-25	監査ログの出力と保管	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	インフラ（本基盤）	全工程あり
FR-ADMIN-007-b	監査ログ閲覧（共通基盤側の閲覧）	監査の記録を閲覧できること。参照は全体の共通基盤側で行い、本基盤に照会画面は作らない（本基盤は出力と集約まで）	F-ADM-25	監査ログの出力と保管	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	他組織（境界・共通基盤）	他組織で実施
FR-ADMIN-008	設定変更履歴	設定を変えた履歴が残ること	F-ADM-25	監査ログの出力と保管	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	インフラ（本基盤）	全工程あり
FR-ADMIN-009	テナント別設定の分離	顧客ごとに設定を分けられること	F-AZ-05	顧客越境の防止（Keycloak-Broker 側）	ユーザが自分の顧客以外の顧客IdPを使ってログインできないようにする。権限データ側の越境防止はアプリの責務	インフラ（本基盤）	全工程あり
FR-ADMIN-009	テナント別設定の分離	顧客ごとに設定を分けられること	NF-ARC-04	Realm・ブランド区画構成	Keycloak-Brokerを何個の区画に分けるか。ブランドごとの分け方と発行元の規律	インフラ（本基盤）	全工程あり
FR-ADMIN-010	管理者ロール（RBAC for Admin）	管理者にも役割を持たせて操作を制限できること	F-AZ-06	管理操作の 3 段階権限確認	管理画面の操作について、顧客・役割・対象の 3 つの観点で権限を確認する	アプリ（管理画面・idm-api）	アプリ側で実施
FR-ADMIN-011	テナント管理者の委譲（顧客の自社運用）	顧客の管理者に運用の一部を任せられること	F-AZ-06	管理操作の 3 段階権限確認	管理画面の操作について、顧客・役割・対象の 3 つの観点で権限を確認する	アプリ（管理画面・idm-api）	アプリ側で実施
FR-ADMIN-012	カスタマイズ可能なログイン UI	ログイン画面の見た目を変えられること	F-AUTH-25	ログイン画面の表示（ブランド・並び順）	ログイン画面の見せ方。ブランドごとの表示切替と、顧客IdPの並び順	インフラ（本基盤）	全工程あり
FR-ADMIN-012	カスタマイズ可能なログイン UI	ログイン画面の見た目を変えられること	F-AUTH-26	エラー・案内画面（Keycloak-Broker）	Keycloak-Brokerが出すエラー・案内の画面。ログインや振り分けに失敗したときの文言と誘導	インフラ（本基盤）	全工程あり
FR-INT-001	OIDC 1.0 / OAuth 2.0 標準準拠	OIDC / OAuth 2.0 の標準に従っていること	F-AUTH-05	顧客IdPへのログイン委譲（OIDC）	顧客が持つ認証システムに OIDC で認証を委ね、その結果を受け取ってログインさせる	インフラ（本基盤）	全工程あり
FR-INT-001	OIDC 1.0 / OAuth 2.0 標準準拠	OIDC / OAuth 2.0 の標準に従っていること	F-AZ-10	アプリへの JWT 発行	アプリへ渡す JWT を発行し、失効させ、有効性を確かめられるようにする。何を載せるか・要求できる範囲の定義はこの機能の設計作業（HJ-07）で行う	インフラ（本基盤）	全工程あり
FR-INT-002	OIDC Discovery（`.well-known`）	接続情報を公開の場所から自動で取得できること	F-INT-13	アプリの接続登録（クライアント登録）	新しいアプリを Keycloak-Broker に接続するときの登録内容・申請の流れ・接続情報の渡し方	インフラ（本基盤）	全工程あり
FR-INT-003	JWKS 公開エンドポイント	署名鍵を公開の場所から取得できること	F-AZ-10	アプリへの JWT 発行	アプリへ渡す JWT を発行し、失効させ、有効性を確かめられるようにする。何を載せるか・要求できる範囲の定義はこの機能の設計作業（HJ-07）で行う	インフラ（本基盤）	全工程あり
FR-INT-003	JWKS 公開エンドポイント	署名鍵を公開の場所から取得できること	F-INT-13	アプリの接続登録（クライアント登録）	新しいアプリを Keycloak-Broker に接続するときの登録内容・申請の流れ・接続情報の渡し方	インフラ（本基盤）	全工程あり
FR-INT-003	JWKS 公開エンドポイント	署名鍵を公開の場所から取得できること	F-BAT-04	JWT 署名鍵の定期入れ替え	JWT の署名に使う鍵を定期的に入れ替える。切り替え中も止めないための並走期間を含む	インフラ（本基盤）	全工程あり
FR-INT-004	SAML 2.0 メタデータ	旧方式（SAML）の接続情報を交換できること	F-AUTH-06	顧客IdPへのログイン委譲（SAML）	顧客が持つ認証システムに SAML で認証を委ね、その結果を受け取ってログインさせる	インフラ（本基盤）	全工程あり
FR-INT-004	SAML 2.0 メタデータ	旧方式（SAML）の接続情報を交換できること	F-INT-01	業務システムへの認証提供	業務システムに対して、Keycloak-Broker が認証の提供元として振る舞う	インフラ（本基盤）	全工程あり
FR-INT-004	SAML 2.0 メタデータ	旧方式（SAML）の接続情報を交換できること	F-INT-03	業務システムから他アプリへの連携	業務システムにログインした状態から、他のアプリの API を呼べるようにする	インフラ（本基盤）	全工程あり
FR-INT-005	Webhook イベント通知（user.created 等）	ユーザの変更をアプリへ通知できること（Webhook）	F-INT-04	アプリへの変更通知（Webhook）	ユーザの変更をアプリ側へ通知する。届かなかった場合の再送を含む	—	Phase 1 では作らない
FR-INT-006	管理 REST API	管理のための API があること	F-INT-13	アプリの接続登録（クライアント登録）	新しいアプリを Keycloak-Broker に接続するときの登録内容・申請の流れ・接続情報の渡し方	インフラ（本基盤）	全工程あり
FR-INT-006	管理 REST API	管理のための API があること	F-INT-14	アプリ向け管理 API の公開	アプリのサーバから Keycloak-Broker の管理 API を呼べるようにする。到達経路・呼び出し元の資格・許してよい操作の範囲を決める	インフラ（本基盤）	全工程あり
FR-INT-006	管理 REST API	管理のための API があること	NF-STD-02	API 設計規約	API の命名・エラーの返し方・件数の区切り方・冪等・版管理と廃止方針	インフラ（本基盤）	全工程あり
FR-INT-007-a	API 入口での JWT 検証との統合（アプリの実装）	API の入口で JWT を検証する仕組み（API Gateway 等）と組み合わせられること（ガイドで示す）	NF-DOC-01	アプリ開発者向けガイド（共通部）	アプリ開発者へ渡すガイドのうち、特定の機能に紐づかない導入・運用・参照の部分	アプリ（業務アプリ）	アプリ側で実施
FR-INT-007-b	API 入口での JWT 検証との統合（ガイド・サンプル）	API の入口で JWT を検証する仕組み（API Gateway 等）と組み合わせられること（ガイドで示す）	F-AZ-10	アプリへの JWT 発行	アプリへ渡す JWT を発行し、失効させ、有効性を確かめられるようにする。何を載せるか・要求できる範囲の定義はこの機能の設計作業（HJ-07）で行う	インフラ（本基盤）	全工程あり
FR-INT-007-b	API 入口での JWT 検証との統合（ガイド・サンプル）	API の入口で JWT を検証する仕組み（API Gateway 等）と組み合わせられること（ガイドで示す）	F-BAT-04	JWT 署名鍵の定期入れ替え	JWT の署名に使う鍵を定期的に入れ替える。切り替え中も止めないための並走期間を含む	インフラ（本基盤）	全工程あり
FR-INT-007-b	API 入口での JWT 検証との統合（ガイド・サンプル）	API の入口で JWT を検証する仕組み（API Gateway 等）と組み合わせられること（ガイドで示す）	NF-DOC-01	アプリ開発者向けガイド（共通部）	アプリ開発者へ渡すガイドのうち、特定の機能に紐づかない導入・運用・参照の部分	インフラ（本基盤）	全工程あり
FR-INT-008	監査ログ外部出力（CloudWatch / S3 / Kinesis）	監査の記録を外部へ出力できること	F-ADM-25	監査ログの出力と保管	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	インフラ（本基盤）	全工程あり
FR-INT-009	監査ログ SIEM 連携（Splunk / Datadog）	監査の記録を分析製品へ連携できること	—	—（本基盤に作る機能なし）	共通基盤側の範囲	—	Phase 1 では作らない
FR-INT-010	Terraform / IaC 管理	構成をコードで管理できること	NF-STD-04	命名・構成管理規約	リソース・API・DB の命名と、構成をコードで管理するときの規約	インフラ（本基盤）	全工程あり
NFR-AVL-001	サービス稼働率 SLA	顧客に約束する稼働率を定めて満たすこと	NF-AVL-03	稼働率・復旧目標（SLA / SLO）	顧客に約束する稼働率と復旧目標、および約束しない範囲	インフラ（本基盤）	🔺 一部の工程のみ
NFR-AVL-002	計画メンテナンス窓	計画的に止める時間の枠を定めること	NF-OPS-05	Keycloak の更新・保守	Keycloak の版を上げるときの手順と、ベンダーのサポート範囲	インフラ（本基盤）	全工程あり
NFR-AVL-003	マルチ AZ 配置	複数の区画に分けて配置し、片方が落ちても動くこと	NF-ARC-03	クラスタ構成	Keycloak-Brokerを動かすクラスタのノード構成・配置制約・自動増減と、ベンダー保守との責任分界	インフラ（本基盤）	全工程あり
NFR-AVL-003	マルチ AZ 配置	複数の区画に分けて配置し、片方が落ちても動くこと	NF-AVL-02	バックアップ・復元	誤操作やデータの壊れからの復元手順。同一地域内で行う	インフラ（本基盤）	全工程あり
NFR-AVL-004	自動復旧（コンテナ障害）	部品が落ちたときに自動で立ち上がり直すこと	NF-ARC-03	クラスタ構成	Keycloak-Brokerを動かすクラスタのノード構成・配置制約・自動増減と、ベンダー保守との責任分界	インフラ（本基盤）	全工程あり
NFR-AVL-005	単一障害点の排除	1 か所が落ちると全部止まる箇所を無くすこと	NF-ARC-03	クラスタ構成	Keycloak-Brokerを動かすクラスタのノード構成・配置制約・自動増減と、ベンダー保守との責任分界	インフラ（本基盤）	全工程あり
NFR-AVL-005	単一障害点の排除	1 か所が落ちると全部止まる箇所を無くすこと	NF-ARC-07	データベース設計（Keycloak-Broker）	Keycloak-Brokerが使うデータベースの構成・触ってよい範囲・索引と分割の方針。Keycloak-Broker 側のみを対象とし、IdP 側はアプリチームの範囲	インフラ（本基盤）	全工程あり
NFR-AVL-006	デプロイ時のダウンタイム	入れ替えのときにログインを止めないこと	NF-OPS-05	Keycloak の更新・保守	Keycloak の版を上げるときの手順と、ベンダーのサポート範囲	インフラ（本基盤）	全工程あり
NFR-PERF-001	認証応答時間（P50 / P95 / P99）	ログインの応答時間が目標に収まること	NF-PRF-01	性能目標・チューニング方針	応答時間と処理量の目標、処理方式、チューニングの考え方	インフラ（本基盤）	全工程あり
NFR-PERF-002	同時認証リクエスト処理能力	同時に来るログインの数を目標まで捌けること	F-PROV-03	顧客IdP からのユーザ情報の同期	顧客IdP から SCIM でユーザの登録・更新・削除通知・検索を受け取り、本基盤へ反映する。呼び出し口ごとの違いは提供 API 一覧で持つ。グループ連携は初期リリース対象外	インフラ（本基盤）	全工程あり
NFR-PERF-002	同時認証リクエスト処理能力	同時に来るログインの数を目標まで捌けること	NF-PRF-01	性能目標・チューニング方針	応答時間と処理量の目標、処理方式、チューニングの考え方	インフラ（本基盤）	全工程あり
NFR-PERF-002	同時認証リクエスト処理能力	同時に来るログインの数を目標まで捌けること	NF-PRF-03	同時実行・上限値の設定	同時に受け付ける数の上限や、重い処理が他を止めないための設定	インフラ（本基盤）	全工程あり
NFR-PERF-003-a	API 入口での JWT 検証の応答時間（アプリ側）（アプリの実装）	API の入口での判定が目標時間に収まること。署名鍵の一時保持（GD-18）が前提	NF-DOC-01	アプリ開発者向けガイド（共通部）	アプリ開発者へ渡すガイドのうち、特定の機能に紐づかない導入・運用・参照の部分	アプリ（業務アプリ）	アプリ側で実施
NFR-PERF-003-b	API 入口での JWT 検証の応答時間（アプリ側）（ガイド・サンプル）	API の入口での判定が目標時間に収まること。署名鍵の一時保持（GD-18）が前提	F-AZ-10	アプリへの JWT 発行	アプリへ渡す JWT を発行し、失効させ、有効性を確かめられるようにする。何を載せるか・要求できる範囲の定義はこの機能の設計作業（HJ-07）で行う	インフラ（本基盤）	全工程あり
NFR-PERF-003-b	API 入口での JWT 検証の応答時間（アプリ側）（ガイド・サンプル）	API の入口での判定が目標時間に収まること。署名鍵の一時保持（GD-18）が前提	F-BAT-04	JWT 署名鍵の定期入れ替え	JWT の署名に使う鍵を定期的に入れ替える。切り替え中も止めないための並走期間を含む	インフラ（本基盤）	全工程あり
NFR-PERF-003-b	API 入口での JWT 検証の応答時間（アプリ側）（ガイド・サンプル）	API の入口での判定が目標時間に収まること。署名鍵の一時保持（GD-18）が前提	NF-DOC-01	アプリ開発者向けガイド（共通部）	アプリ開発者へ渡すガイドのうち、特定の機能に紐づかない導入・運用・参照の部分	インフラ（本基盤）	全工程あり
NFR-PERF-004	JWT 検証スループット	JWT の検証を目標の件数まで捌けること	F-AZ-10	アプリへの JWT 発行	アプリへ渡す JWT を発行し、失効させ、有効性を確かめられるようにする。何を載せるか・要求できる範囲の定義はこの機能の設計作業（HJ-07）で行う	インフラ（本基盤）	全工程あり
NFR-PERF-004	JWT 検証スループット	JWT の検証を目標の件数まで捌けること	NF-PRF-01	性能目標・チューニング方針	応答時間と処理量の目標、処理方式、チューニングの考え方	インフラ（本基盤）	全工程あり
NFR-PERF-005	JWKS キャッシュ TTL	署名鍵の取得結果を一定時間持ち回して負荷を下げること	NF-PRF-02	キャパシティ・データ量見積	テーブル別のデータ量・増加率・5 年後の見込みと、その前提の根拠	インフラ（本基盤）	全工程あり
NFR-PERF-005	JWKS キャッシュ TTL	署名鍵の取得結果を一定時間持ち回して負荷を下げること	NF-STD-01	共通方式（エラー・ログ・整合・排他ほか）	エラー処理・ログ出力・整合性・排他制御・キャッシュ・採番・文字コード・多言語の共通方針	インフラ（本基盤）	全工程あり
NFR-PERF-006	流量制限（同時受付数の上限）	過大な要求を受けたときに Keycloak-Broker 側で流量を絞れること（API Gateway は使わない。境界側の流量制限は NFR-SEC-011）	NF-PRF-03	同時実行・上限値の設定	同時に受け付ける数の上限や、重い処理が他を止めないための設定	インフラ（本基盤）	全工程あり
NFR-PERF-007	認証ピーク時間帯への耐性	始業時などの山に耐えられること	NF-PRF-01	性能目標・チューニング方針	応答時間と処理量の目標、処理方式、チューニングの考え方	インフラ（本基盤）	全工程あり
NFR-PERF-007	認証ピーク時間帯への耐性	始業時などの山に耐えられること	NF-PRF-04	性能試験の計画	どの経路をどれだけの負荷で測るかの計画	インフラ（本基盤）	全工程あり
NFR-PERF-008	DB 応答時間（Keycloak のみ）	データベースの応答時間が目標に収まること	NF-ARC-07	データベース設計（Keycloak-Broker）	Keycloak-Brokerが使うデータベースの構成・触ってよい範囲・索引と分割の方針。Keycloak-Broker 側のみを対象とし、IdP 側はアプリチームの範囲	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SCL-001	MAU スケール上限	想定するユーザ数まで伸ばせること	NF-PRF-02	キャパシティ・データ量見積	テーブル別のデータ量・増加率・5 年後の見込みと、その前提の根拠	インフラ（本基盤）	全工程あり
NFR-SCL-002	ピーク時同時セッション数	同時にログインしている数の山に耐えられること	NF-PRF-01	性能目標・チューニング方針	応答時間と処理量の目標、処理方式、チューニングの考え方	インフラ（本基盤）	全工程あり
NFR-SCL-002	ピーク時同時セッション数	同時にログインしている数の山に耐えられること	NF-PRF-02	キャパシティ・データ量見積	テーブル別のデータ量・増加率・5 年後の見込みと、その前提の根拠	インフラ（本基盤）	全工程あり
NFR-SCL-003	顧客テナント数（IdP 数）スケール	顧客IdP の数が増えても捌けること	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	インフラ（本基盤）	全工程あり
NFR-SCL-003	顧客テナント数（IdP 数）スケール	顧客IdP の数が増えても捌けること	NF-PRF-02	キャパシティ・データ量見積	テーブル別のデータ量・増加率・5 年後の見込みと、その前提の根拠	インフラ（本基盤）	全工程あり
NFR-SCL-004-a	IdP 追加リードタイム（本基盤側の作業）	顧客IdP を追加してから使えるまでの時間が目標に収まること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	インフラ（本基盤）	🔺 一部の工程のみ
NFR-SCL-004-b	IdP 追加リードタイム（境界側の外向き許可）	顧客IdP を追加してから使えるまでの時間が目標に収まること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	他組織（境界・共通基盤）	他組織で実施
