WBS ID	機能ID	機能グループ	機能名	最小構成	アプリ移管	判断根拠	根拠の補足	構成前提	Phase 1 スコープ	概要	成果物と完了条件
HE-04c	F-ADM-02	利用者管理	利用者の詳細参照	必須	基盤	認証の中核	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ないため、入口の仕様は基盤が定義する	—（構成に依存しない）	対象	利用者 1 件の詳細を取る入口の仕様	仕様 1 本。返す項目と、存在しない場合の応答が定義されている
HE-04d	F-ADM-04	利用者管理	利用者の変更	必須	基盤	認証の中核	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ないため、入口の仕様は基盤が定義する	—（構成に依存しない）	対象	利用者の属性を変える入口の仕様（部分更新の扱いを含む）	仕様 1 本。変更してよい項目と、同時更新時の扱いが定義されている
HE-04e	F-ADM-05	利用者管理	利用者の利用可否の切替（管理者操作）	必須	基盤	認証の中核	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ないため、入口の仕様は基盤が定義する	—（構成に依存しない）	対象	利用者を使えなくする／戻す入口の仕様	仕様 1 本。停止済みを再度停止した場合など、繰り返し呼ばれた際の扱いが定義されている
HE-04f	F-ADM-06	利用者管理	利用者の削除	必須	基盤	認証の中核	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ないため、入口の仕様は基盤が定義する	—（構成に依存しない）	対象	利用者を削除する入口の仕様（実体は無効化）	仕様 1 本。物理削除ではないことと、日付の記録が定義されている
HE-04g	F-ADM-07	利用者支援操作	パスワード初期化（管理者）	必須	基盤	認証の中核	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ないため、入口の仕様は基盤が定義する	—（構成に依存しない）	対象	パスワードを初期化する入口の仕様	仕様 1 本。初期パスワードの渡し方と初回変更の強制が定義されている
HE-04h	F-ADM-09	利用者支援操作	追加認証の解除（管理者）	必須	基盤	認証の中核	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ないため、入口の仕様は基盤が定義する	—（構成に依存しない）	対象	追加認証の登録を解除する入口の仕様	仕様 1 本。解除後の再登録の流れが定義されている
HE-04i	F-ADM-10	利用者支援操作	強制ログアウト	必須	基盤	事故防止	乗っ取り時に即座に切れないと被害が広がるため、基盤が確実に握る	—（構成に依存しない）	対象	ログイン状態を強制的に切る入口の仕様（3 つの範囲別）	仕様 1 本。1 人・1 顧客・全体の指定方法が定義されている
HE-04j	F-ADM-08	利用者支援操作	利用者の招待	必須	基盤	認証の中核	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ないため、入口の仕様は基盤が定義する	—（構成に依存しない）	対象	招待を送る入口の仕様	仕様 1 本。招待の有効期限と再送の扱いが定義されている
HE-04k	F-ADM-20	監査・一括処理	利用者の一括登録	必須	基盤	認証の中核	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ないため、入口の仕様は基盤が定義する	—（構成に依存しない）	対象	まとめて登録する入口の仕様（件数上限・途中失敗の扱い）	仕様 1 本。何件まで受け付けるかと、一部が失敗した場合の結果の返し方が定義されている
HE-04l	F-ADM-21	監査・一括処理	一覧・記録のファイル出力	必須	基盤	認証の中核	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ないため、入口の仕様は基盤が定義する	—（構成に依存しない）	対象	一覧や記録をファイルで取り出す入口の仕様	仕様 1 本。出力形式と、大量件数時の分割取得が定義されている
HE-05a	F-ADM-11	権限管理	使えるアプリの設定	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	対象	使えるアプリの割当を追加する入口の仕様（受け取る項目・返す内容・失敗時の応答）	仕様 1 本、またはアプリ側で定義する旨の判断記録
HE-05b	F-ADM-11	権限管理	使えるアプリの設定	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	対象	使えるアプリの割当を解除する入口の仕様（受け取る項目・返す内容・失敗時の応答）	仕様 1 本、またはアプリ側で定義する旨の判断記録
HE-05c	F-ADM-11	権限管理	使えるアプリの設定	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	対象	割当の一覧を取得する入口（顧客単位）の仕様（受け取る項目・返す内容・失敗時の応答）	仕様 1 本、またはアプリ側で定義する旨の判断記録
HE-05d	F-ADM-11	権限管理	使えるアプリの設定	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	対象	役割を作成する入口の仕様（受け取る項目・返す内容・失敗時の応答）	仕様 1 本、またはアプリ側で定義する旨の判断記録
HE-05e	F-ADM-11	権限管理	使えるアプリの設定	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	対象	役割を変更する入口の仕様（受け取る項目・返す内容・失敗時の応答）	仕様 1 本、またはアプリ側で定義する旨の判断記録
HE-05f	F-ADM-11	権限管理	使えるアプリの設定	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	対象	役割を削除する入口の仕様（受け取る項目・返す内容・失敗時の応答）	仕様 1 本、またはアプリ側で定義する旨の判断記録
HE-05g	F-ADM-11	権限管理	使えるアプリの設定	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	対象	利用者に役割を与える入口の仕様（受け取る項目・返す内容・失敗時の応答）	仕様 1 本、またはアプリ側で定義する旨の判断記録
HE-05h	F-ADM-11	権限管理	使えるアプリの設定	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	対象	利用者の役割を外す入口の仕様（受け取る項目・返す内容・失敗時の応答）	仕様 1 本、またはアプリ側で定義する旨の判断記録
HE-05i	F-ADM-11	権限管理	使えるアプリの設定	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	対象	利用者の割当状況を取得する入口の仕様（受け取る項目・返す内容・失敗時の応答）	仕様 1 本、またはアプリ側で定義する旨の判断記録
HE-05j	F-ADM-11	権限管理	使えるアプリの設定	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	対象	棚卸しの結果をまとめて反映する入口の仕様（受け取る項目・返す内容・失敗時の応答）	仕様 1 本、またはアプリ側で定義する旨の判断記録
HE-06a	F-AZ-01	権限情報の提供	権限情報の一括取得	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	対象	利用者の権限をまとめて返す入口の仕様	仕様 1 本。返す項目・絞り込み条件・失敗時の応答が定義されている
HE-06b	F-AZ-02	権限情報の提供	使えるアプリ一覧の取得	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	対象	使えるアプリの一覧を返す入口の仕様	仕様 1 本。返す項目・絞り込み条件・失敗時の応答が定義されている
HE-06c	F-ADM-02	利用者管理	利用者の詳細参照	必須	基盤	認証の中核	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ないため、入口の仕様は基盤が定義する	—（構成に依存しない）	対象	利用者が自分の情報を取る入口の仕様	仕様 1 本。返す項目・絞り込み条件・失敗時の応答が定義されている
HE-06d	F-ADM-11	権限管理	使えるアプリの設定	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	対象	割当の状況を照会する入口の仕様	仕様 1 本。返す項目・絞り込み条件・失敗時の応答が定義されている
HE-06e	F-ADM-12	権限管理	アプリ内の役割の設定	アプリ分担	アプリ移管	業務ルール依存	誰にどの権限を与えるかは業務ごとに違い、基盤が共通の仕様を決められない	—（構成に依存しない）	対象	役割の一覧を照会する入口の仕様	仕様 1 本。返す項目・絞り込み条件・失敗時の応答が定義されている
HE-06f	F-PROV-16	権限管理側への引き渡し（識別子の紐付け・参照用データの更新）	顧客番号と基盤識別子の対応づけ	アプリ分担	アプリ移管	業務データ	対応づけの中身は顧客の社員番号体系そのもので、業務データにあたる	—（構成に依存しない）	対象	顧客番号から基盤の識別子を引く入口の仕様	仕様 1 本。返す項目・絞り込み条件・失敗時の応答が定義されている
HE-06g	F-ADM-08	利用者支援操作	利用者の招待	必須	基盤	認証の中核	操作の入口はアプリが作れるが、認証製品を触る API は基盤に残さざるを得ないため、入口の仕様は基盤が定義する	—（構成に依存しない）	対象	送った招待の状況を照会する入口の仕様	仕様 1 本。返す項目・絞り込み条件・失敗時の応答が定義されている
HE-06h	F-ADM-18	監査・一括処理	操作記録の照会	必須	基盤	改ざん防止	記録する側と操作する側を分けないと、記録の意味が無くなる	記録を 7 年保管	対象	操作の記録を検索・取得する入口の仕様	仕様 1 本。返す項目・絞り込み条件・失敗時の応答が定義されている
HE-07	横断	横断	横断（全機能共通）	必須	基盤	認証の中核	つなぎ目の定義はアプリに渡すほど厳密さが要求され、むしろ重くなる	—（構成に依存しない）	対象	接続ごとに必要な権限の対応表	対応表。すべての接続に必要権限が紐づいている
HE-08	横断	横断	横断（全機能共通）	必須	基盤	認証の中核	つなぎ目の定義はアプリに渡すほど厳密さが要求され、むしろ重くなる	—（構成に依存しない）	対象	接続仕様に共通する決まり（エラーの返し方・件数の区切り方など）	共通規約。全接続で統一された扱いが定まっている
HE-21a	F-ADM-14	組織・顧客管理	顧客の作成	必須	基盤	認証の中核	顧客と接続先を登録できないとサービスを開始できない	—（構成に依存しない）	対象	顧客を新規に作る入口の仕様	仕様 1 本。受け取る項目・返す内容・失敗時の応答が定義されている
HE-21b	F-ADM-15	組織・顧客管理	顧客設定の編集	必須	基盤	認証の中核	顧客と接続先を登録できないとサービスを開始できない	—（構成に依存しない）	対象	顧客ごとの設定を変える入口の仕様	仕様 1 本。受け取る項目・返す内容・失敗時の応答が定義されている
HE-21c	F-ADM-15	組織・顧客管理	顧客設定の編集	必須	基盤	認証の中核	顧客と接続先を登録できないとサービスを開始できない	—（構成に依存しない）	対象	顧客の一覧・詳細を取る入口の仕様	仕様 1 本。受け取る項目・返す内容・失敗時の応答が定義されている
HE-21d	F-ADM-16	接続先管理	顧客認証システムの接続登録	必須	基盤	認証の中核	顧客と接続先を登録できないとサービスを開始できない	—（構成に依存しない）	対象	接続先を新規に登録する入口の仕様（運用側の登録の仕組みとの役割分担を含む）	仕様 1 本。受け取る項目・返す内容・失敗時の応答が定義されている
HE-21e	F-ADM-17	接続先管理	接続設定の変更・証明書更新	必須	基盤	認証の中核	顧客と接続先を登録できないとサービスを開始できない	—（構成に依存しない）	対象	接続先の設定を変える入口の仕様	仕様 1 本。受け取る項目・返す内容・失敗時の応答が定義されている
HE-21f	F-ADM-17	接続先管理	接続設定の変更・証明書更新	必須	基盤	認証の中核	顧客と接続先を登録できないとサービスを開始できない	—（構成に依存しない）	対象	接続先の証明書を入れ替える入口の仕様	仕様 1 本。受け取る項目・返す内容・失敗時の応答が定義されている
HE-09	F-PROV-03〜06	—	顧客システムからの利用者情報受け取り	必須	基盤	認証の中核	つなぎ目の定義はアプリに渡すほど厳密さが要求され、むしろ重くなる	—（構成に依存しない）	対象	顧客システムから利用者情報を受け取る接続の仕様	仕様書。受け取れる項目と検索の方法が定まっている
HE-10	F-PROV-05	顧客システムからの利用者受信（人事システム等からの登録・更新・削除）	顧客システムからの削除通知	別途切り出し	基盤	後から追加可能	初回ログイン時の自動登録だけで運用でき、一括受信は後から足せる	—（構成に依存しない）	対象	削除通知を「消さずに止める」に読み替える仕様	仕様書。読み替えの規則が明記されている
HE-11	F-INT-05, F-INT-06	アカウント間連携	停止イベントのアカウント間配送／識別子のアカウント間伝達	必須	基盤	利用者が 1 箇所になり不要	アカウントをまたいで受け渡すイベントの形式定義。またぐ経路が無くなる	アカウントを分ける	対象外（Realm 統合）	アカウントをまたいで伝えるイベントの中身の定義	イベント定義。2 種類それぞれの項目が定まっている
HE-12	F-PROV-12	退職者の遮断と復職対応（停止・再開の伝播）	停止の確実な伝播	必須	基盤	利用者が 1 箇所になり不要	送信予定を記録しておく仕組みの仕様。同上	アカウントを分ける	対象外（Realm 統合）	送信予定を記録しておく仕組みのデータ仕様	仕様書。記録する項目と送信済みの判定方法が定まっている
HE-13	F-INT-04	アプリへの通知	アプリへの変更通知	アプリ分担	アプリ移管	代替手段あり	アプリが定期的に問い合わせる方式にすれば、押し込まなくても成立する	—（構成に依存しない）	対象	アプリへ変更を通知する仕組みの仕様	仕様書。7 種類の通知内容・署名・再送条件が定まっている
HE-14	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	必須	基盤	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	—（構成に依存しない）	対象	標準方式の認証連携で、やり取りする情報の仕様	仕様書。接続先の情報と、渡す項目が定まっている
HE-15	F-AUTH-06	フェデレーション	顧客認証システムへのログイン委譲（旧方式）	必須	基盤	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	—（構成に依存しない）	対象	旧方式の認証連携で、やり取りする情報の仕様	仕様書。接続情報の受け渡し方と項目が定まっている
HE-16	F-INT-01	業務システム連携（ServiceNow 等へのログイン提供）	業務システムへの認証提供	別途切り出し	基盤	後から追加可能	連携先は 1 つで、無くても認証基盤としては成立する	—（構成に依存しない）	対象	業務システムとの接続仕様	仕様書。相手側の設定要件が明記されている
HE-17	F-AUTH-05	フェデレーション	顧客認証システムへのログイン委譲	必須	基盤	認証の中核	顧客の認証システムへ委ねる中核で、これが無いと基盤の存在理由が無い	—（構成に依存しない）	対象	顧客の認証システムごとの接続仕様の差分整理	差分表。製品ごとの違いが一覧化されている
HE-18	F-INT-07, F-AUTH-22	アプリへの通知／不正アクセス対策	通知メールの送信／流出パスワードの使用拒否	必須	基盤	製品機能	パスワード再設定などの定型メールは認証製品が送るため、基盤側に残る	—（構成に依存しない）	対象	外部サービス（メール送信・流出確認）との接続仕様	仕様書。呼び出し条件と失敗時の扱いが定まっている
HE-19a	F-BAT-04	鍵・証明書の維持	署名鍵の定期入れ替え	必須	基盤	事故防止	入れ替えを止めると、漏れた鍵がいつまでも有効なままになる	—（構成に依存しない）	対象	トークンに署名する鍵の一覧と、入れ替えの手順を整理する	一覧と手順。鍵の種類・保管場所・入れ替え周期が定まっている
HE-19b	横断	横断（全機能共通）	横断（全機能共通）	必須	基盤	事故防止	切れると通信そのものが成立しなくなるため、期限の管理は外せない	—（構成に依存しない）	対象	通信を暗号化するための証明書の一覧と、更新の手順を整理する	一覧と手順。対象・発行元・期限が定まっている
HE-19c	横断	横断（全機能共通）	横断（全機能共通）	必須	基盤	事故防止	相互に確認し合う経路が切れると、内部の連携が止まる	—（構成に依存しない）	対象	システム同士が相互に確認し合うための証明書の一覧を整理する	一覧。対象の経路と入れ替え手順が定まっている
HE-19d	F-ADM-17	接続先管理	接続設定の変更・証明書更新	必須	基盤	事故防止	切れると全顧客のログインが黙って止まるため、期限の監視は外せない	—（構成に依存しない）	対象	顧客の認証システムから受け取る証明書の一覧と、更新の受付手順を整理する	一覧と手順。顧客ごとの期限と、更新依頼の受け方が定まっている
HE-20	横断	横断	横断（全機能共通）	必須	基盤	認証の中核	つなぎ目の定義はアプリに渡すほど厳密さが要求され、むしろ重くなる	—（構成に依存しない）	対象	使用するアドレス名の一覧と、内外での解決方法の違い	一覧。用途ごとに整理され、内部と外部での違いが示されている
HF-01	F-BAT-*	—	定期実行処理全般	必須	基盤	認証の中核	定期処理を止めると気付かないうちに不整合が溜まる	—（構成に依存しない）	対象	定期的に自動実行する処理が全部でいくつあり、それぞれ何のために動くのかを一覧にする	一覧。8 本それぞれの目的と実行タイミングが整理されている
HF-02	横断	横断	横断（定期処理共通）	必須	基盤	事故防止	定期処理を止めると気付かないうちに不整合が溜まる	—（構成に依存しない）	対象	定期処理をどの仕組みで動かすかの整理	方式整理。処理ごとの実行基盤が定まっている
HF-03	F-BAT-01, F-BAT-09	利用者の整理	長期未使用者の自動停止／保存期限切れデータの消去	必須	基盤	事故防止	止め忘れが退職者の不正アクセスに直結するため、基盤側で確実に止める必要がある	—（構成に依存しない）	対象	利用者の整理に関する定期処理の仕様	仕様書 2 本。対象条件と除外条件が定まっている
HF-04	F-BAT-02, F-BAT-03	データの突合と再送（伝えそこないの回収）	停止伝播の突合（短間隔）／日次の整合突合	必須	基盤	利用者が 1 箇所になり不要	止めたつもりが止まっていない状態を拾う定期処理。1 箇所で完結するため、ずれが生じない	—（構成に依存しない）	対象外（Realm 統合）	システム間のずれを直す定期処理の仕様	仕様書 3 本。突き合わせる対象と直し方が定まっている
HF-05	F-BAT-04〜08	—	鍵・証明書・権限見直しの定期処理	必須	基盤	認証の中核	定期処理を止めると気付かないうちに不整合が溜まる	—（構成に依存しない）	対象	鍵・証明書・権限見直しに関する定期処理の仕様	仕様書 5 本。実行周期と通知先が定まっている
HF-06	F-BAT-*	—	定期実行処理全般	必須	基盤	認証の中核	定期処理を止めると気付かないうちに不整合が溜まる	—（構成に依存しない）	対象	定期処理の実行時刻と、前後関係の設計	スケジュール設計。処理の順序と重なりが整理されている
HF-07	F-BAT-*	—	定期実行処理全般	必須	基盤	認証の中核	定期処理を止めると気付かないうちに不整合が溜まる	—（構成に依存しない）	対象	定期処理が二重に動かないようにする方法と、失敗時のやり直し方	設計。重複起動の防止方法と再実行の手順が定まっている
HG-01	F-AZ-06	アクセス制御	管理操作の3段階権限確認	必須	基盤	事故防止	他の顧客のデータに手が届くと一度で信用を失うため、基盤で強制するしかない	—（構成に依存しない）	対象	管理操作を行う人の役割を定義する。どの範囲まで操作できるかを 3 段階で分ける	役割定義。3 段階の権限範囲が定まっている
HG-02	F-AZ-05, F-AZ-06	アクセス制御	テナント越境の防止／管理操作の3段階権限確認	必須	基盤	事故防止	他の顧客のデータに手が届くと一度で信用を失うため、基盤で強制するしかない	—（構成に依存しない）	対象	役割ごとにどの機能を使えるかの対応表	権限表。すべての機能に使える役割が紐づいている
HG-03	F-AZ-05, F-AZ-06	アクセス制御	テナント越境の防止／管理操作の3段階権限確認	必須	基盤	事故防止	他の顧客のデータに手が届くと一度で信用を失うため、基盤で強制するしかない	アカウントを分ける	対象	役割ごとにどのデータを見られるかの対応表	権限表。テナントをまたいだ参照ができないことが示されている
HG-04	F-ADM-18	監査・一括処理	操作記録の照会	必須	追加移管候補	画面のみ	見る画面はアプリでよいが、記録そのものは改ざん防止のため基盤が持つ	記録を 7 年保管	対象	あとから追跡できるよう記録に残しておく操作を洗い出して一覧にする	イベント一覧。監査で必要な操作が漏れなく含まれている
HG-05	F-ADM-18	監査・一括処理	操作記録の照会	必須	追加移管候補	画面のみ	見る画面はアプリでよいが、記録そのものは改ざん防止のため基盤が持つ	記録を 7 年保管	対象	記録に残す項目と、何年保つかの表	項目表。すべての記録に保存年数が紐づいている
HG-06	F-AZ-09	認可の記録	権限判定の記録	別途切り出し	基盤	後から追加可能	必要になってから足せる仕組みで、初期に無くても困らない	—（構成に依存しない）	対象	権限の判定結果をどこまで記録するかの設計	記録設計。記録する範囲と量を抑える方法が定まっている
HG-07	F-INT-08	監視・検知	不正兆候の検知	必須	基盤	事故防止	分離しても管理用の口の悪用は防げない。大量削除・大量パスワード変更などの異常を検知できないと、侵害に気づけないまま被害が広がる	—（構成に依存しない）	対象	不正の兆候を判定する条件の一覧	条件一覧。検知する事象と閾値が定まっている
HG-08	横断	横断	横断（全機能共通）	必須	基盤	改ざん防止	記録する側と操作する側を分けないと、監査の意味が無くなる	—（構成に依存しない）	対象	想定される攻撃の経路と、それぞれへの対策の対応表	対応表。すべての経路に対策が紐づいている
HH-01	横断	横断	横断（全機能共通）	必須	基盤	運用に必須	運用の手順が無いと、作っても回せない	切替先を持つ（災害対策）	対象	システムが正常に動いているか判断するために監視する数値を洗い出して一覧にする	項目一覧。取得元と用途が整理されている
HH-02	横断	横断	横断（全機能共通）	必須	基盤	運用に必須	運用の手順が無いと、作っても回せない	—（構成に依存しない）	対象	監視する記録と、外形からの確認項目の一覧	項目一覧。確認の頻度が定まっている
HH-03	横断	横断	横断（全機能共通）	必須	基盤	運用に必須	運用の手順が無いと、作っても回せない	—（構成に依存しない）	対象	異常と判断する基準値と、誰に知らせるかの設計	閾値設計。すべての監視項目に基準値と通知先が紐づいている
HH-04	F-ADM-16	接続先管理	顧客認証システムの接続登録	必須	基盤	認証の中核	顧客と接続先を登録できないとサービスを開始できない	—（構成に依存しない）	対象	新しい顧客を受け入れる際の設計面の整理	設計。受け入れに必要な設定項目と順序が定まっている
HH-05	—	横断	該当なし	必須	基盤	運用に必須	運用の手順が無いと、作っても回せない	—（構成に依存しない）	対象	本番・検証・開発の各環境の違いをまとめた設計書	環境設計書。環境ごとの差分が一覧化されている
HI-01	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	—（構成に依存しない）	対象	設計書間で矛盾がないかを通しで確認する（1 回目）	レビュー記録。指摘が一覧化されている
HI-02	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	—（構成に依存しない）	対象	1 回目の指摘に対応して設計書を直す	改訂済みの設計書。指摘がすべて処理されている
HI-03	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	—（構成に依存しない）	対象	設計書間で矛盾がないかを通しで確認する（2 回目）	レビュー記録。1 回目の指摘が解消されている
HI-04	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	—（構成に依存しない）	対象	2 回目の指摘に対応して設計書を直す	改訂済みの設計書。残課題が明示されている
HI-05	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	—（構成に依存しない）	対象	関係者へ説明するための資料を作る	説明資料。専門用語を使わずに全体像が伝わる
HI-06	横断	横断	横断（全機能共通）	必須（縮小）	基盤（縮小）	横断（対象縮小）	対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	—（構成に依存しない）	対象	説明会を開き、出た指摘を反映する	実施記録と改訂版。指摘の処理状況が追える
HJ-03	F-AUTH-02	接続先の振り分け	接続先の自動振り分け	別途切り出し	基盤	代替手段あり	顧客ごとに入口の URL を分ければ、判定しなくても正しい接続先に着く	規模（利用者 1000 万・接続先 1000 超）	対象	接続先を判定する拡張機能の入出力と動作条件の仕様	仕様書。入力・出力・判定できない場合の動きが定まっている
HJ-04	F-PROV-01, F-PROV-11	自動登録／停止と再開	初回ログイン時の自動登録／停止済み利用者の再開	必須	基盤	認証の中核	委譲した相手から来た人を受け入れる入口で、フェデレーションと不可分	—（構成に依存しない）	対象	初回登録と再有効化を制御する拡張機能の仕様	仕様書。動作条件と、誤って動かさないための条件が定まっている
HJ-05	F-INT-08	監視・検知	不正兆候の検知	必須	基盤	事故防止	検知に必要な情報を外部へ出す仕組み。検知そのものを Phase 1 に戻したため、その入力側も必須になる	—（構成に依存しない）	対象	利用状況を外部へ知らせる拡張機能の仕様	仕様書。送る内容と送信頻度が定まっている
HJ-06	横断	横断	横断（全機能共通）	必須	基盤	製品機能	認証製品をどう組むかは、利用者管理を誰が作るかとは無関係に決まる	—（構成に依存しない）	対象	拡張機能をどこに配置し、どう版を管理するかの設計	配置設計。組み込み方法と版の管理方法が定まっている
HJ-07	横断	横断	横断（全機能共通）	必須	基盤	製品機能	認証製品をどう組むかは、利用者管理を誰が作るかとは無関係に決まる	—（構成に依存しない）	対象	通行証に載せる情報の生成規則の定義	定義書。載せる項目と、載せない項目の区別が明確
HJ-08	F-PROV-01, F-AUTH-16	自動登録／アカウント復旧・パスワード	初回ログイン時の自動登録／メールを持たない人の復旧	必須	基盤	認証の中核	委譲した相手から来た人を受け入れる入口で、フェデレーションと不可分	—（構成に依存しない）	対象	利用者の属性項目をどう宣言するかの設計。メールを持たない人への対応を含む	宣言設計。必須と任意の区別が定まっている
HJ-09	横断	横断	横断（全機能共通）	必須	基盤	製品機能	認証製品をどう組むかは、利用者管理を誰が作るかとは無関係に決まる	—（構成に依存しない）	対象	新しいアプリを接続するときの登録内容のひな形	ひな形。必要な設定が漏れなく含まれ、宛先の設定漏れを防ぐ仕組みがある
HJ-11	F-AUTH-09	フェデレーション	内部2段構えの認証連携	必須	基盤	利用者が 1 箇所になり不要	内部で 2 段構えになっている連携の設計。統合により不要	認証製品を 2 つ持つ	対象外（Realm 統合）	内部で 2 段構えになっている認証システム同士の連携設計	連携設計書。やり取りする情報と経路が定まっている
HJ-12	横断	横断	横断（全機能共通）	必須	基盤	製品機能	分離は到達を防ぐものではなく「何が取れるか」を変えるもの。管理用の口はパスワードのハッシュを返さないが、DB を直接読めば全件取れる。ハッシュが持ち出されると元のパスワードが割り出され、利用者が他所で使い回している分まで被害が広がる。分離すれば DB への経路そのものが存在しないため、これを構造的に防げる（2026-09-02 維持を決定）	ネットワークを 2 つに分ける	対象	将来ブランドを増やす場合の区画の分け方の設計	設計書。増やすときの手順と、今のうちに守る決まりが定まっている
HJ-13	F-PROV-12	退職者の遮断と復職対応（停止・再開の伝播）	停止の確実な伝播	必須	基盤	利用者が 1 箇所になり不要	利用者の控えが作られてから消えるまでの管理設計。控えという概念自体が無くなる	—（構成に依存しない）	対象外（Realm 統合）	利用者の控えが作られてから消えるまでの一生の設計	ライフサイクル設計。作成・停止・再開の条件が定まっている
HJ-14	F-ADM-16	接続先管理	顧客認証システムの接続登録	必須	基盤	認証の中核	顧客と接続先を登録できないとサービスを開始できない	—（構成に依存しない）	対象	顧客の認証システムを接続するときの設定項目のひな形	ひな形。方式ごとに必要な項目が整理されている
HJ-15	F-PROV-08	受け取ったデータの整形（項目名・区分の統一）	項目名の変換・統一	必須	基盤	認証の中核	顧客ごとにバラバラな項目名を揃えないと、複数の顧客を同時に扱えない	—（構成に依存しない）	対象	顧客側の項目名を基盤側の呼び方へ変換する規則の設計	変換規則の設計。対応がない場合の扱いも定まっている
HJ-16	F-AUTH-02	接続先の振り分け	接続先の自動振り分け	別途切り出し	基盤	代替手段あり	顧客ごとに入口の URL を分ければ、判定しなくても正しい接続先に着く	規模（利用者 1000 万・接続先 1000 超）	対象	入力された ID から接続先を判定するロジックの設計	ロジック設計。判定の順序と、判定できない場合の動きが定まっている
HJ-17	—	横断	該当なし	必須	基盤	製品機能	認証製品をどう組むかは、利用者管理を誰が作るかとは無関係に決まる	規模（利用者 1000 万・接続先 1000 超）	対象	実行基盤の構成設計。サーバーの種類・台数・役割分担	構成設計書。役割ごとの分離と増減の考え方が定まっている
HJ-18	—	横断	該当なし	必須	基盤	製品機能	認証製品をどう組むかは、利用者管理を誰が作るかとは無関係に決まる	—（構成に依存しない）	対象	製品の管理部品の版と更新方針の設計	設計書。版の固定方法と更新の承認手順が定まっている
HJ-19	—	横断	該当なし	必須	基盤	製品機能	認証製品をどう組むかは、利用者管理を誰が作るかとは無関係に決まる	—（構成に依存しない）	対象	実行基盤の運用について、委託先と自社の分担を整理する	分担表。どちらが何をするかが明確になっている
