ID	分類	作業種別	機能グループ	機能名	項目	概要	成果物と完了条件	人日	担当（案②: 一部移管）	担当（案③: アプリ構築）	判断根拠	根拠の補足	スコープ	当初想定	依存	状態	出典	機能ID
HA-03	HA 全体・方式設計	設計書の執筆	非機能: 設計管理	設計書の総則・前提・用語	前提：用語集・略語集	設計書で使う言葉の意味を統一する	用語集。本文で使う用語が漏れなく定義されている	0.5	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	当初あり	—	未着手		NF-MGT-01
HA-20	HA 全体・方式設計	設計書の執筆	非機能: 設計管理	トレーサビリティ	非機能要件→設計対応表	性能や可用性などの目標値が、設計のどこで実現されるかを対応づけた表	対応表。すべての目標値に実現手段が紐づいている	2	基盤チーム	共同	横断（対象縮小）	応答時間の目標は、アプリの作り方と基盤の設備の両方で決まるため共同で決める	対象	新規: 規模	—	着手		NF-MGT-05
HA-24	HA 全体・方式設計	設計書の執筆	非機能: 設計管理	トレーサビリティ	トレーサビリティマトリクス（要件→機能→設計→テスト）	要件・機能・設計・試験の対応関係を一覧にした表	対応表。要件から試験まで追跡でき、抜けが検出できる	5	基盤チーム	基盤チーム	横断（対象縮小）	方式は 1 機能でも 91 機能でも決める必要があり、対象が減っても消えない	対象	当初あり	—	着手		NF-MGT-05
HI-01	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	単元間 整合性レビュー（第1回）	設計書間で矛盾がないかを通しで確認する（1 回目）	レビュー記録。指摘が一覧化されている	1	基盤チーム	基盤チーム	横断（対象縮小）	対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	対象	当初あり	—	未着手		NF-MGT-06
HI-02	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	指摘対応・改訂（第1回）	1 回目の指摘に対応して設計書を直す	改訂済みの設計書。指摘がすべて処理されている	2	基盤チーム	基盤チーム	横断（対象縮小）	対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	対象	当初あり	HI-01	未着手		NF-MGT-06
HI-03	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	単元間 整合性レビュー（第2回）	設計書間で矛盾がないかを通しで確認する（2 回目）	レビュー記録。2 回目の指摘が一覧化されている	1	基盤チーム	基盤チーム	横断（対象縮小）	設計書どうしの矛盾を潰す作業で、作る範囲を減らしても回数は減らない	対象	新規: 自社構築		未着手		NF-MGT-06
HI-04	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	指摘対応・改訂（第2回）	2 回目の指摘に対応して設計書を直す	改訂済みの設計書。2 回目の指摘がすべて処理されている	2	基盤チーム	基盤チーム	横断（対象縮小）	設計書どうしの矛盾を潰す作業で、作る範囲を減らしても回数は減らない	対象	新規: 自社構築		未着手		NF-MGT-06
HI-05	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	単元間 整合性レビュー（第3回）	設計書間で矛盾がないかを通しで確認する（3 回目）	レビュー記録。3 回目の指摘が一覧化されている	1	基盤チーム	基盤チーム	横断（対象縮小）	設計書どうしの矛盾を潰す作業で、作る範囲を減らしても回数は減らない	対象	新規: 自社構築		未着手		NF-MGT-06
HI-06	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	指摘対応・改訂（第3回）	3 回目の指摘に対応して設計書を直す	改訂済みの設計書。3 回目の指摘がすべて処理されている	2	基盤チーム	基盤チーム	横断（対象縮小）	設計書どうしの矛盾を潰す作業で、作る範囲を減らしても回数は減らない	対象	新規: 自社構築		未着手		NF-MGT-06
HI-07	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	単元間 整合性レビュー（第4回）	設計書間で矛盾がないかを通しで確認する（4 回目）	レビュー記録。4 回目の指摘が一覧化されている	1	基盤チーム	基盤チーム	横断（対象縮小）	設計書どうしの矛盾を潰す作業で、作る範囲を減らしても回数は減らない	対象	新規: 自社構築		未着手		NF-MGT-06
HI-08	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	指摘対応・改訂（第4回）	4 回目の指摘に対応して設計書を直す	改訂済みの設計書。4 回目の指摘がすべて処理されている	2	基盤チーム	基盤チーム	横断（対象縮小）	設計書どうしの矛盾を潰す作業で、作る範囲を減らしても回数は減らない	対象	新規: 自社構築		未着手		NF-MGT-06
HI-09	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	単元間 整合性レビュー（第5回）	設計書間で矛盾がないかを通しで確認する（5 回目）	レビュー記録。1 回目の指摘が解消されている	1	基盤チーム	基盤チーム	横断（対象縮小）	対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	対象	当初あり	HI-02	未着手		NF-MGT-06
HI-10	HI レビュー・合意	レビュー・合意	非機能: 設計管理	設計レビュー・説明会	指摘対応・改訂（第5回）	5 回目の指摘に対応して設計書を直す	改訂済みの設計書。残課題が明示されている	2	基盤チーム	基盤チーム	横断（対象縮小）	対象が減るぶん縮むが、突き合わせと合意の場は必ず要る	対象	当初あり	HI-03	未着手		NF-MGT-06
HK-03	HK 顧客提供成果物	ガイド・手順書の執筆	非機能: 提供ドキュメント	アプリ開発者向けガイド（共通部）	アプリ側の実装ガイド（アプリ開発者向け）／渡す相手: 接続アプリ開発者	（廃止）アプリ開発者向けの実装ガイド。章ごとに分割したため、この行では作業しない	作業なし。分割先の各章で実施する	1	基盤チーム	基盤チーム	法令・契約	顧客への約束は機能の数では変わらない	対象	新規: 非機能・運用	—	未着手		NF-DOC-01
HK-01	HK 顧客提供成果物	レビュー・合意	非機能: 提供ドキュメント	顧客向け説明資料	責任分界表／渡す相手: 全顧客（契約添付）	顧客と本基盤のどちらが何に責任を持つかを示す表	責任分界表。契約に添付できる粒度で整理されている	2	基盤チーム	基盤チーム	法令・契約	顧客への約束は機能の数では変わらない	対象	新規: 非機能・運用	—	未着手		NF-DOC-02
HK-09	HK 顧客提供成果物	ガイド・手順書の執筆	非機能: 提供ドキュメント	顧客向け説明資料	サービス仕様書・制約事項一覧（ゾンビ窓/ログアウト限界/再認証の明示）／渡す相手: 全顧客	サービスの仕様と、利用上の制約をまとめた文書	仕様書。止めてから完全に切れるまでの時間差など、注意すべき制約が明記されている	1	基盤チーム	基盤チーム	顧客が行う	顧客への約束は機能の数では変わらない	対象	新規: 非機能・運用	—	未着手		NF-DOC-02
