要件ID	要件	要件の概要	機能ID	機能	機能の概要	担当	状況
NFR-OPS-008	インシデント対応体制	障害に対応する体制があること	NF-OPS-08	運用プロセス（受付・変更・障害）	問い合わせを受けてから解決するまで、設定を変えるとき、障害が起きたときの、決められた進め方	インフラ（本基盤）	🔺 一部の工程のみ
NFR-OPS-009	運用工数（人月）	運用にかかる人手が想定の範囲に収まること	NF-OPS-10	定期作業の計画と引き継ぎ	日次・週次・月次・年次に行う作業の一覧と暦。運用開始前の引き継ぎと教育を含む	インフラ（本基盤）	🔺 一部の工程のみ
NFR-OPS-010	デプロイ自動化（CI/CD）	入れ替えを自動で行えること	NF-STD-04	命名・構成管理規約	リソース・API・DB の命名と、構成をコードで管理するときの規約	インフラ（本基盤）	全工程あり
NFR-OPS-011-a	テナント追加の運用 SLA（本基盤側の作業）	顧客を追加してから使えるまでの時間を約束できること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	インフラ（本基盤）	🔺 一部の工程のみ
NFR-OPS-011-a	テナント追加の運用 SLA（本基盤側の作業）	顧客を追加してから使えるまでの時間を約束できること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む	NF-OPS-09	サービスレベルの測定と報告	約束した稼働率や応答時間を実際に測り、顧客へ定期的に報告する	インフラ（本基盤）	🔺 一部の工程のみ
NFR-OPS-011-b	テナント追加の運用 SLA（境界側の外向き許可）	顧客を追加してから使えるまでの時間を約束できること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む	F-ADM-16	顧客IdPの接続登録	顧客IdPを基盤に接続する登録作業	他組織（境界・共通基盤）	他組織で実施
NFR-OPS-011-b	テナント追加の運用 SLA（境界側の外向き許可）	顧客を追加してから使えるまでの時間を約束できること。境界側の外向き許可の追加（他組織、当日〜翌日）を含む	NF-OPS-09	サービスレベルの測定と報告	約束した稼働率や応答時間を実際に測り、顧客へ定期的に報告する	他組織（境界・共通基盤）	他組織で実施
NFR-OPS-012	Keycloak-IdP 側の構築・運用の責任分界	Keycloak-IdP 用の基盤（ROSA）をどこまで作って渡すか、渡した後の非機能を誰が持つかが合意されていること	F-AUTH-29	Keycloak-IdP 側の引き渡しと責任分界	Keycloak-IdP 用の基盤（ROSA）をどこまで作って渡すか、渡した後の非機能（可用性・復旧・監視・更新・鍵・ログ）を誰が持つか。本基盤は ROSA の引き渡しまで、以降はアプリ責務	インフラ（本基盤）	全工程あり
NFR-OPS-013	環境構成（本番 / 検証 / 開発）	環境ごとの構成差分と、検証環境に本番データを入れない規律が定まっていること	NF-ARC-05	環境構成（本番 / stg / dev）	環境ごとの構成の差分と、どこまで揃えるか	インフラ（本基盤）	全工程あり
NFR-OPS-013	環境構成（本番 / 検証 / 開発）	環境ごとの構成差分と、検証環境に本番データを入れない規律が定まっていること	NF-MIG-01	開発・検証環境	開発と検証に使う環境の構成・共用方針・試験用データ	インフラ（本基盤）	全工程あり
NFR-COMP-001	個人情報保護法対応	個人情報保護法に沿った扱いをすること	NF-SEC-03	個人情報の取り扱い	運用委託先や記録から個人情報が漏れないようにする方式	インフラ（本基盤）	全工程あり
NFR-COMP-002	GDPR / CCPA（海外展開時）	海外の個人情報の規則に沿えること	—	—（本基盤に作る機能なし）	海外展開時に再評価	—	Phase 1 では作らない
NFR-COMP-003	SOC 2 Type II	第三者認証（SOC 2）に対応できること	—	—（本基盤に作る機能なし）	取得の予定が決まってから	—	Phase 1 では作らない
NFR-COMP-004	ISO 27001	第三者認証（ISO 27001）に対応できること	—	—（本基盤に作る機能なし）	同上	—	Phase 1 では作らない
NFR-COMP-005	PCI DSS（金融）	カード業界の基準に対応できること	—	—（本基盤に作る機能なし）	該当する顧客が現れてから	—	Phase 1 では作らない
NFR-COMP-006	FIPS 140-3 認定（暗号モジュール認定、旧 140-2）	暗号の実装が国の認定を受けていること	—	—（本基盤に作る機能なし）	不要と確定（2026-07-30）	—	Phase 1 では作らない
NFR-COMP-007-a	監査ログ保存期間（法令要件）（出力・項目・保持年数の指定）	法令が求める期間まで記録を保つこと	F-BAT-09	保存期限切れデータの消去	保存期限を過ぎたデータを実際に消去する。初期リリースでは準備のみ	インフラ（本基盤）	全工程あり
NFR-COMP-007-a	監査ログ保存期間（法令要件）（出力・項目・保持年数の指定）	法令が求める期間まで記録を保つこと	F-ADM-25	監査ログの取得・保管方式	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	インフラ（本基盤）	全工程あり
NFR-COMP-007-b	監査ログ保存期間（法令要件）（共通基盤側の保管）	法令が求める期間まで記録を保つこと	F-ADM-25	監査ログの取得・保管方式	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	他組織（境界・共通基盤）	他組織で実施
NFR-COMP-008	データ所在地（リージョン制限）	データを置く地域を限定できること	NF-ARC-01	全体構成（論理・物理）	システム全体の構成を論理・物理の両面で示す図と、その清書	インフラ（本基盤）	全工程あり
NFR-COMP-009-a	個人データ削除権（GDPR Right to Erasure）（本基盤の窓口と Keycloak-Broker 側）	本人の求めに応じてデータを消せること	F-ADM-23	顧客の解約	顧客がサービスから離脱するときのデータの扱いと停止の段取り	インフラ（本基盤）	全工程あり
NFR-COMP-009-a	個人データ削除権（GDPR Right to Erasure）（本基盤の窓口と Keycloak-Broker 側）	本人の求めに応じてデータを消せること	F-ADM-24	本人からの開示・削除請求への対応	本人から求められたときに、保有する個人データを開示し、または削除する	インフラ（本基盤）	全工程あり
NFR-COMP-009-b	個人データ削除権（GDPR Right to Erasure）（権限データ側）	本人の求めに応じてデータを消せること	F-ADM-24	本人からの開示・削除請求への対応	本人から求められたときに、保有する個人データを開示し、または削除する	アプリ（管理画面・idm-api）	アプリ側で実施
NFR-COMP-010	アクセス監査の追跡可能性	誰がいつ何をしたかを追えること	F-ADM-25	監査ログの取得・保管方式	何を記録に残し、どの項目を何年保つか。長期保管領域と、他組織の監査アカウントへの集約を含む	インフラ（本基盤）	全工程あり
NFR-COMP-011	暗号鍵のローテーションと所在の可視化	鍵を定期的に入れ替え、どこにあるか分かること	F-BAT-04	署名鍵の定期入れ替え	JWT の署名に使う鍵を定期的に入れ替える。切り替え中も止めないための並走期間を含む	インフラ（本基盤）	全工程あり
NFR-COMP-011	暗号鍵のローテーションと所在の可視化	鍵を定期的に入れ替え、どこにあるか分かること	F-BAT-05	接続用パスワードの定期入れ替え	アプリごとの接続用パスワードを定期的に入れ替える	インフラ（本基盤）	全工程あり
NFR-COMP-011	暗号鍵のローテーションと所在の可視化	鍵を定期的に入れ替え、どこにあるか分かること	F-BAT-07	証明書期限の監視	証明書の期限切れが近いものを検出して通知する	インフラ（本基盤）	全工程あり
NFR-COMP-011	暗号鍵のローテーションと所在の可視化	鍵を定期的に入れ替え、どこにあるか分かること	NF-SEC-02	鍵・暗号化の管理方式	暗号化に使う鍵を種類ごとにどう管理するか。鍵と証明書の一覧を含む	インフラ（本基盤）	全工程あり
NFR-COST-001	初期構築費	初期に作るための費用が見積もられていること	NF-OPS-07	運用コストの管理	運用開始後に費用を継続的に把握・管理する仕組み	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-COST-002	月額固定インフラ費	毎月かかる設備の費用が見積もられていること	NF-OPS-07	運用コストの管理	運用開始後に費用を継続的に把握・管理する仕組み	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-COST-003	MAU あたりコスト（連携）	ユーザ 1 人あたりの費用が把握できること	NF-OPS-07	運用コストの管理	運用開始後に費用を継続的に把握・管理する仕組み	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-COST-004	DR 追加月額	災害対策を持つ場合の追加費用が把握できること	NF-AVL-01	災害対策（別地域への切替）	地域全体が使えなくなったときの切替。Phase 1 では対象外	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-COST-005	運用人件費	運用にかかる人件費が見積もられていること	NF-OPS-10	定期作業の計画と引き継ぎ	日次・週次・月次・年次に行う作業の一覧と暦。運用開始前の引き継ぎと教育を含む	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-COST-006	RHBK サブスクリプション	Keycloak の商用サポート費用の要否が定まっていること	NF-OPS-05	Keycloak の更新・保守	Keycloak の版を上げるときの手順と、ベンダーのサポート範囲	インフラ（本基盤）	確定（RHBK は ROSA に内包され追加費用なし。P-01）
NFR-COST-007	損益分岐 MAU（連携のみ）	どの規模から自前が有利になるかが分かること	NF-OPS-07	運用コストの管理	運用開始後に費用を継続的に把握・管理する仕組み	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-COST-008	3 年 TCO（10 万 MAU 想定）	3 年分の総額が把握できること（小規模）	NF-OPS-07	運用コストの管理	運用開始後に費用を継続的に把握・管理する仕組み	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-COST-009	3 年 TCO（50 万 MAU 想定）	3 年分の総額が把握できること（中規模）	NF-OPS-07	運用コストの管理	運用開始後に費用を継続的に把握・管理する仕組み	インフラ（本基盤）	別シートで管理（コスト見積もり）
NFR-MIG-001	既存認証システムからのユーザー移行	既存の認証からユーザを移せること	NF-MIG-02	既存からの移行	既存の仕組みから本基盤へ移るときの段取りと、移行先にしかいないユーザの扱い	アプリ（Keycloak-IdP）	アプリ側で実施
NFR-MIG-002	パスワード移行（ハッシュ持ち越し）	パスワードを暗号化したまま引き継げること	NF-MIG-02	既存からの移行	既存の仕組みから本基盤へ移るときの段取りと、移行先にしかいないユーザの扱い	アプリ（Keycloak-IdP）	アプリ側で実施
NFR-MIG-003	ベンダーロックイン回避	特定の製品に縛られない作りであること	F-AUTH-05	顧客IdPへのログイン委譲（OIDC）	顧客が持つ認証システムに OIDC で認証を委ね、その結果を受け取ってログインさせる	インフラ（本基盤）	全工程あり
NFR-MIG-003	ベンダーロックイン回避	特定の製品に縛られない作りであること	NF-STD-02	API 設計規約	API の命名・エラーの返し方・件数の区切り方・冪等・版管理と廃止方針	インフラ（本基盤）	全工程あり
NFR-MIG-004	データエクスポート	データを取り出せること	F-ADM-23	顧客の解約	顧客がサービスから離脱するときのデータの扱いと停止の段取り	インフラ（本基盤）	全工程あり
NFR-MIG-005	段階的移行（並行稼働）	新旧を並行して動かしながら段階的に移せること	NF-MIG-02	既存からの移行	既存の仕組みから本基盤へ移るときの段取りと、移行先にしかいないユーザの扱い	インフラ（本基盤）	全工程あり
（横断）	特定の要件に紐づかない共通の作業	設計書そのものの管理（総則・一覧・追跡・レビュー）と、顧客へ渡す資料。個々の要件ではなく全体に対して発生する	NF-MGT-01	設計書の総則・前提・用語	設計書の目的・範囲・読み方、前提条件の一覧、用語集	インフラ（本基盤）	全工程あり
（横断）	特定の要件に紐づかない共通の作業	設計書そのものの管理（総則・一覧・追跡・レビュー）と、顧客へ渡す資料。個々の要件ではなく全体に対して発生する	NF-MGT-05	トレーサビリティ	要件から機能・設計・テストまでの追跡と、その維持の仕方	インフラ（本基盤）	全工程あり
（横断）	特定の要件に紐づかない共通の作業	設計書そのものの管理（総則・一覧・追跡・レビュー）と、顧客へ渡す資料。個々の要件ではなく全体に対して発生する	NF-MGT-06	設計レビュー・説明会	設計書どうしの整合レビューと、関係者への説明	インフラ（本基盤）	全工程あり
（横断）	特定の要件に紐づかない共通の作業	設計書そのものの管理（総則・一覧・追跡・レビュー）と、顧客へ渡す資料。個々の要件ではなく全体に対して発生する	NF-DOC-02	顧客向け説明資料	責任分界・サービス仕様・制約事項など、契約に添えて顧客へ渡す資料	インフラ（本基盤）	全工程あり
