ID	分類	機能グループ	機能名	項目	概要・完了定義	詳細設計 人日	製造 人日	内訳	縮小版	縮小版 詳細設計 人日	縮小版 製造 人日	縮小版の理由
DDF-02	DD-F 定期処理の詳細設計	鍵・証明書管理	JWT 署名鍵の定期入れ替え	署名鍵の入れ替えの実装仕様	並走期間・切替の順序・アプリ側の追随のさせ方が確定している	2			一部	1		Keycloak 標準の入れ替えまで。自動化と並走管理は後回し
MKF-03	MK-F 定期処理の実装	鍵・証明書管理	JWT 署名鍵の定期入れ替え	署名鍵の入れ替えの実装	入れ替えが自動で走り、切替中もログインが止まらない		2		一部		1	Keycloak 標準の入れ替えまで。自動化と並走管理は後回し
MKI-16	MK-I 単体試験の実施	鍵・証明書管理	JWT 署名鍵の定期入れ替え	単体試験: 署名鍵の入れ替え	並走中・切替後の観点で実施し、不具合が是正されている		1		一部		0.5	Keycloak 標準の入れ替えまで。自動化と並走管理は後回し
DDF-03	DD-F 定期処理の詳細設計	鍵・証明書管理	アプリの接続用パスワードの定期入れ替え	接続用パスワードの入れ替えの実装仕様	入れ替えの周期・アプリへの通知・猶予期間が確定している	1.5			対象外			R3 自動化は作らない。手で入れ替える
MKF-04	MK-F 定期処理の実装	鍵・証明書管理	アプリの接続用パスワードの定期入れ替え	接続用パスワードの入れ替えの実装	入れ替えが自動で走り、アプリへ通知される		2		対象外			R3 自動化は作らない。手で入れ替える
DDF-04	DD-F 定期処理の詳細設計	鍵・証明書管理	顧客IdP・本基盤の証明書の期限監視	証明書期限の監視の実装仕様	監視対象の一覧・通知の閾値と宛先が確定している	1.5			対象外			R3 標準に無い。手で見る
MKF-05	MK-F 定期処理の実装	鍵・証明書管理	顧客IdP・本基盤の証明書の期限監視	証明書期限の監視の実装	期限が近い証明書が検出され、通知が届く		2		対象外			R3 標準に無い。手で見る
DDG-14	DD-G 基盤構成の実装設計	監視・検知	不正なログインの兆候の検知	不正兆候の検知の実装設計	検知の条件・集計の単位・閾値・通知先が実装できる粒度で書かれている	1			対象外			R4 セキュリティはネットワークのみ
MKH-07	MK-H 監視・運用の構築	監視・検知	不正なログインの兆候の検知	不正兆候の検知の構築	兆候が検出され、通知が届く		2		対象外			R4 セキュリティはネットワークのみ
DDG-02	DD-G 基盤構成の実装設計	非機能: システム構成	全体構成（論理・物理）	全体構成のコード化方針	どの構成要素をコードで管理し、どれを手で作るかの線引きが確定している	2			対象	2		構成図がないと作れない
MKA-02	MK-A 環境・基盤の構築	非機能: システム構成	全体構成（論理・物理）	構成の実機反映と構成図の更新	実機の構成が図と一致している		2		対象		2	構成図がないと作れない
DDG-03-1	DD-G 基盤構成の実装設計	非機能: システム構成	ネットワーク構成	ネットワーク区画の詳細設計	区画の分け方と IP の範囲が確定している	2		区画2+経路1.5+名前解決1.5	対象	2		R4 セキュリティの考慮はネットワークのみ
DDG-03-2	DD-G 基盤構成の実装設計	非機能: システム構成	ネットワーク構成	ネットワーク経路と通信許可の詳細設計	経路と許可する通信が一覧で確定している	1.5		区画2+経路1.5+名前解決1.5	対象	1.5		R4 セキュリティの考慮はネットワークのみ
DDG-03-3	DD-G 基盤構成の実装設計	非機能: システム構成	ネットワーク構成	名前解決の詳細設計	経路ごとの名前の解決先が確定している	1.5		区画2+経路1.5+名前解決1.5	対象	1.5		R4 セキュリティの考慮はネットワークのみ
MKA-03-1	MK-A 環境・基盤の構築	非機能: システム構成	ネットワーク構成	ネットワーク区画の構築	区画が設計どおり作られている		3		対象		3	R4 セキュリティの考慮はネットワークのみ
MKA-03-2	MK-A 環境・基盤の構築	非機能: システム構成	ネットワーク構成	ネットワーク経路の構築	経路が通り、疎通する		2		対象		2	R4 セキュリティの考慮はネットワークのみ
MKA-03-3	MK-A 環境・基盤の構築	非機能: システム構成	ネットワーク構成	通信許可の設定	許可した通信だけが通る		1.5		対象		1.5	R4 セキュリティの考慮はネットワークのみ
MKA-03-4	MK-A 環境・基盤の構築	非機能: システム構成	ネットワーク構成	名前解決の構築	経路ごとに設計どおり解決する		1.5		対象		1.5	R4 セキュリティの考慮はネットワークのみ
MKA-04-1	MK-A 環境・基盤の構築	非機能: システム構成	ネットワーク構成	境界を管理する組織への要求提出と調整	要求仕様が受理され合意している		1.5		対象		1.5	R4 セキュリティの考慮はネットワークのみ
MKA-04-2	MK-A 環境・基盤の構築	非機能: システム構成	ネットワーク構成	境界との接続	外部からの入口と外向き通信が通る		1.5		対象		1.5	R4 セキュリティの考慮はネットワークのみ
MKA-04-3	MK-A 環境・基盤の構築	非機能: システム構成	ネットワーク構成	境界の疎通確認	合意した条件で通ることを確認できている		1		対象		1	R4 セキュリティの考慮はネットワークのみ
DDG-04-1	DD-G 基盤構成の実装設計	非機能: システム構成	クラスタ構成	クラスタのノード構成の詳細設計	ノードの種類・台数・役割が確定している	2			対象	2		R7 Keycloak を載せる土台
DDG-04-2	DD-G 基盤構成の実装設計	非機能: システム構成	クラスタ構成	配置の制約と自動増減の詳細設計	配置の制約と増減の条件が確定している	2			対象	2		R7 Keycloak を載せる土台
MKA-05-1	MK-A 環境・基盤の構築	非機能: システム構成	クラスタ構成	クラスタ基盤の構築	クラスタが起動し Keycloak-Broker を載せられる		4		対象		4	R7 Keycloak を載せる土台
MKA-05-2	MK-A 環境・基盤の構築	非機能: システム構成	クラスタ構成	ノード群の構成	ノードの種類と台数が設計どおり		2		対象		2	R7 Keycloak を載せる土台
MKA-05-3	MK-A 環境・基盤の構築	非機能: システム構成	クラスタ構成	自動増減の設定	負荷に応じて増減し、配置の制約が守られる		2		対象		2	R7 Keycloak を載せる土台
MKA-06	MK-A 環境・基盤の構築	非機能: システム構成	クラスタ構成	ノード群と自動増減の設定	負荷に応じて増減し、配置の制約が守られる		3		対象		3	R7 Keycloak を載せる土台
MKD-01-1	MK-D データストアの構築	非機能: システム構成	クラスタ構成	データベースの作成と接続設定	Keycloak-Broker から接続できる		2	★基本設計に対応する行が無い	対象		2	R7 Keycloak を載せる土台
MKD-01-2	MK-D データストアの構築	非機能: システム構成	クラスタ構成	データベースの冗長化設定	片系が落ちても継続する		1	★基本設計に対応する行が無い	対象		1	R7 Keycloak を載せる土台
MKD-01-3	MK-D データストアの構築	非機能: システム構成	クラスタ構成	データベースのバックアップ設定	取得が自動で走る		1	★基本設計に対応する行が無い	対象		1	R7 Keycloak を載せる土台
DDB-17	DD-B 機能の詳細設計	非機能: システム構成	Realm・ブランド区画構成	区画（Realm・組織）の実装設計	区画の分け方・発行元の値・組織の持たせ方が確定している	3			対象	3		R2 Keycloak の土台
MKB-27-1	MK-B Keycloak-Brokerの設定・構築	非機能: システム構成	Realm・ブランド区画構成	Realm の構築	設計どおりの Realm が作られている		2		対象		2	R2 Keycloak の土台
MKB-27-2	MK-B Keycloak-Brokerの設定・構築	非機能: システム構成	Realm・ブランド区画構成	組織（顧客の単位）の構築	顧客の単位が作られている		1		対象		1	R2 Keycloak の土台
MKB-27-3	MK-B Keycloak-Brokerの設定・構築	非機能: システム構成	Realm・ブランド区画構成	発行元の値の設定	発行元が意図どおりになる		1		対象		1	R2 Keycloak の土台
DDG-05	DD-G 基盤構成の実装設計	非機能: システム構成	環境構成（本番 / stg / dev）	環境ごとの差分のコード化設計	環境で変わる値と変わらない値が分離され、切り替え方が確定している	2			対象	2		R1 3 面
MKA-07-1	MK-A 環境・基盤の構築	非機能: システム構成	環境構成（本番 / stg / dev）	開発環境の構築	開発環境が使える		3		対象		3	R1 3 面
MKA-07-2	MK-A 環境・基盤の構築	非機能: システム構成	環境構成（本番 / stg / dev）	検証環境の構築	検証環境が使える		3		対象		3	R1 3 面
MKA-08-1	MK-A 環境・基盤の構築	非機能: システム構成	環境構成（本番 / stg / dev）	本番環境の構築	本番環境が使える		3		対象		3	R1 3 面
MKA-08-2	MK-A 環境・基盤の構築	非機能: システム構成	環境構成（本番 / stg / dev）	環境ごとの差分の設定	環境で変わる値だけが変わっている		1		対象		1	R1 3 面
DDD-05	DD-D データの詳細設計	非機能: システム構成	データベース設計（Keycloak-Broker）	表の定義と索引・分割の実装設計	使う表・索引・分割の指定が実装できる粒度で書かれている	3			一部	1.25		R6 構築だけ。索引・分割・チューニングは後回し
DDD-06	DD-D データの詳細設計	非機能: システム構成	データベース設計（Keycloak-Broker）	構造変更の適用方式と戻し方	構造を変えるときの適用手順と、元に戻す手順が確定している	2			一部	0.75		R6 構築だけ。索引・分割・チューニングは後回し
DDA-02	DD-A 共通・方式の実装仕様	非機能: 性能・拡張性	性能目標・チューニング方針	性能に関わる設定値の実装仕様	接続数・スレッド・待ち行列などの設定値と根拠が確定している	3			対象外			R6 性能は考慮しない
MKA-09	MK-A 環境・基盤の構築	非機能: 性能・拡張性	性能目標・チューニング方針	性能設定の適用と調整	設定が適用され、目標値の範囲で動いている		3		対象外			R6 性能は考慮しない
DDD-07	DD-D データの詳細設計	非機能: 性能・拡張性	キャパシティ・データ量見積	設備量とデータ量の実装設計	見積りに基づく設備の量と、増えたときの広げ方が確定している	2			対象外			R6 性能は考慮しない
MKA-10	MK-A 環境・基盤の構築	非機能: 性能・拡張性	キャパシティ・データ量見積	設備量の設定と確認	設計どおりの設備量で動いている		1		対象外			R6 性能は考慮しない
DDA-03	DD-A 共通・方式の実装仕様	非機能: 性能・拡張性	同時実行・上限値の設定	同時実行と上限値の実装仕様	上限を超えたときの振る舞いと、戻し方が確定している	2			対象外			R6 性能は考慮しない
MKB-28	MK-B Keycloak-Brokerの設定・構築	非機能: 性能・拡張性	同時実行・上限値の設定	上限値の設定	設計どおりの上限で受け付け、超過時に想定どおり振る舞う		2		対象外			R6 性能は考慮しない
DDI-09	DD-I 単体試験の仕様	非機能: 性能・拡張性	性能試験の計画	性能を測る計測点の実装仕様	どこで何を測るかと、取り出し方が確定している	2			対象外			R6 性能は考慮しない
MKH-02	MK-H 監視・運用の構築	非機能: 性能・拡張性	性能試験の計画	計測点の実装	計測値が取得でき、試験で使える		2		対象外			R6 性能は考慮しない
DDG-06	DD-G 基盤構成の実装設計	非機能: 可用性・災害対策	災害対策（別地域への切替）	切替方式の実装設計	データの複製方法・切替の合図・起動の順序・戻し方が実装できる粒度で書かれている	4		複製2+切替手順2	対象外			R5 バックアップを取るのみ
DDG-07	DD-G 基盤構成の実装設計	非機能: 可用性・災害対策	災害対策（別地域への切替）	切替先の構成差分の実装設計	切替先で変える値と、平時にどこまで動かしておくかが確定している	3			対象外			R5 バックアップを取るのみ
DDG-08	DD-G 基盤構成の実装設計	非機能: 可用性・災害対策	災害対策（別地域への切替）	復旧手順の詳細化	誰が何をどの順で行うか、判断の基準と所要時間が確定している	2			対象外			R5 バックアップを取るのみ
MKA-11	MK-A 環境・基盤の構築	非機能: 可用性・災害対策	災害対策（別地域への切替）	切替先のネットワークとクラスタの構築	切替先の地域に環境が作られ、起動できる		10		対象外			R5 バックアップを取るのみ
MKA-12	MK-A 環境・基盤の構築	非機能: 可用性・災害対策	災害対策（別地域への切替）	控えの別地域への複製の設定	本番の控え（スナップショット）が切替先の地域へ複製され、遅れが監視できる		4		対象外			R5 バックアップを取るのみ
MKA-13	MK-A 環境・基盤の構築	非機能: 可用性・災害対策	災害対策（別地域への切替）	再構築手順のコード化（切替と切り戻し）	作り直しの手順がコードから流れ、戻すこともできる		4		対象外			R5 バックアップを取るのみ
MKI-17	MK-I 単体試験の実施	非機能: 可用性・災害対策	災害対策（別地域への切替）	切替訓練（1 回）	目標時間内に切り替わることを実機で確認し、手順が是正されている		4		対象外			R5 切替訓練は後回し
DDG-09	DD-G 基盤構成の実装設計	非機能: 可用性・災害対策	バックアップ・復元	バックアップと復元の実装設計	取得の頻度・保持期間・復元の手順と所要時間が確定している	2			一部	0.75		R5 取得の仕組みだけ。復元手順と訓練は後回し
MKA-14	MK-A 環境・基盤の構築	非機能: 可用性・災害対策	バックアップ・復元	バックアップの構築と復元の実機確認	取得が自動で走り、復元が手順どおりにできる		4		一部		2	R5 バックアップの構築まで。復元の実機確認は後回し
DDA-04	DD-A 共通・方式の実装仕様	非機能: セキュリティ	攻撃経路と対策	攻撃対策の実装仕様	遮断する経路・流量の制限・応答ヘッダの指定が確定している	3			一部	1.25		R4 ネットワークの遮断・流量制限のみ。疑似攻撃検査は後回し
MKA-15	MK-A 環境・基盤の構築	非機能: セキュリティ	攻撃経路と対策	遮断と流量制限の実装	外部に出さない経路が塞がれ、過大な流量が制限される		4		一部		1.5	R4 ネットワークの遮断・流量制限のみ。疑似攻撃検査は後回し
MKI-18	MK-I 単体試験の実施	非機能: セキュリティ	攻撃経路と対策	単体試験: 攻撃対策	遮断・制限が効くことを実施で確認し、不具合が是正されている		2		一部		0.75	R4 ネットワークの遮断・流量制限のみ。疑似攻撃検査は後回し
DDA-05	DD-A 共通・方式の実装仕様	非機能: セキュリティ	鍵・暗号化の管理方式	鍵管理の実装仕様	鍵の階層・保管先・利用権限の与え方が確定している	3			一部	1.5		R4 通信の暗号化と Keycloak 標準の鍵まで。鍵の階層設計は後回し
MKA-16	MK-A 環境・基盤の構築	非機能: セキュリティ	鍵・暗号化の管理方式	鍵管理の構築	鍵が設計どおりに保管され、必要な主体だけが使える		4		一部		2	R4 通信の暗号化と Keycloak 標準の鍵まで。鍵の階層設計は後回し
DDA-06	DD-A 共通・方式の実装仕様	非機能: セキュリティ	個人情報の取り扱い	記録の伏せ字の実装仕様	伏せる項目と伏せ方、確認の仕方が確定している	2			対象外			R4 セキュリティはネットワークのみ
MKH-03	MK-H 監視・運用の構築	非機能: セキュリティ	個人情報の取り扱い	記録の伏せ字処理の実装	個人情報が記録に残らないことを確認できる		3		対象外			R4 セキュリティはネットワークのみ
DDG-10	DD-G 基盤構成の実装設計	非機能: 運用・監視	監視項目・閾値・通知	監視の実装設計	取得する値・閾値・通知の宛先と経路が確定している	3			一部	1.5		死活と主要な値だけ。細かい閾値設計は後回し
MKH-04-1	MK-H 監視・運用の構築	非機能: 運用・監視	監視項目・閾値・通知	メトリクスの取得の構築	決めた値が取得できる		3	メトリクス3+ログ3+通知2	一部		1.5	死活と主要な値だけ。細かい閾値設計は後回し
MKH-04-2	MK-H 監視・運用の構築	非機能: 運用・監視	監視項目・閾値・通知	ログの取得の構築	決めた記録が取得できる		3	メトリクス3+ログ3+通知2	一部		1.5	死活と主要な値だけ。細かい閾値設計は後回し
MKH-04-3	MK-H 監視・運用の構築	非機能: 運用・監視	監視項目・閾値・通知	通知の構築	閾値超過で通知が届く		2	メトリクス3+ログ3+通知2	一部		1	死活と主要な値だけ。細かい閾値設計は後回し
MKH-05	MK-H 監視・運用の構築	非機能: 運用・監視	運用体制・当番	通知先と当番の設定	当番表どおりに通知が振り分けられる		1		一部		0.25	最小限の取り決め
MKH-06	MK-H 監視・運用の構築	非機能: 運用・監視	運用手順書	事故時の証跡取得手段の準備	必要な記録をすぐ取り出せる状態になっている		1		一部		0.25	起動・停止・切り分けの最小限
DDG-11	DD-G 基盤構成の実装設計	非機能: 運用・監視	緊急時の管理者アクセス	緊急時アクセスの実装設計	通常経路が使えないときの入り方と、記録の残し方が確定している	1.5			一部	0.75		入れる経路だけ確保
MKA-17	MK-A 環境・基盤の構築	非機能: 運用・監視	緊急時の管理者アクセス	緊急時アクセスの構築	緊急時の経路で入れ、操作が記録される		2		一部		1	入れる経路だけ確保
DDB-19	DD-B 機能の詳細設計	非機能: 運用・監視	運用者アカウントと権限の保護	運用者認証と権限モデルの実装設計	WebAuthn の必須化・権限の 2 状態・昇格と失効の手順・記録が実装できる粒度で書かれている	1.5			一部	0.75		権限を配りすぎない設定だけ
MKB-31	MK-B Keycloak-Brokerの設定・構築	非機能: 運用・監視	運用者アカウントと権限の保護	運用者アカウントと権限モデルの構築	パスワードだけでは入れず、常時の全権が無く、昇格と失効が動き記録される		2		一部		1	権限を配りすぎない設定だけ
DDG-12	DD-G 基盤構成の実装設計	非機能: 運用・監視	Keycloak の更新・保守	Keycloak の更新の実装設計	更新の手順・切り戻し・自社拡張の作り直しの段取りが確定している	3			一部	1.5		更新手順と HRD 拡張の配置まで
DDH-02	DD-H 自社拡張の詳細設計	非機能: 運用・監視	Keycloak の更新・保守	自社拡張の組み立てと配置の実装設計	ビルドの手順・版の付け方・入れ替え方が確定している	3			一部	1.5		更新手順と HRD 拡張の配置まで
MKA-18	MK-A 環境・基盤の構築	非機能: 運用・監視	Keycloak の更新・保守	Keycloak の更新の実機確認	検証環境で 1 回更新を通し、手順が使えることを確認できている		3		一部		1.5	更新手順と HRD 拡張の配置まで
MKC-05	MK-C 自社拡張の実装	非機能: 運用・監視	Keycloak の更新・保守	自社拡張の組み立てと配置の実装	コードから配置までが自動で通る		4		一部		2	更新手順と HRD 拡張の配置まで
MKA-21	MK-A 環境・基盤の構築	非機能: 運用・監視	Keycloak の更新・保守	依存の検査・イメージ署名・部品一覧の組み込み	検査と署名が自動で通り、署名の無いイメージは配置できず、部品一覧が出せる		2		一部		1	更新手順と HRD 拡張の配置まで
DDJ-01	DD-J レビュー・整合	非機能: 移行・環境	既存からの移行	切替計画の詳細化	切替の単位・並行稼働の期間・戻す条件と手順が確定している	2			対象外			切替はアプリ側。後回し
MKJ-02	MK-J レビュー・受入・引き渡し	非機能: 移行・環境	既存からの移行	切替の準備（ひな形・確認表）	アプリごとの切替手順とチェック表が使える状態になっている		2		対象外			切替はアプリ側。後回し
DDA-07	DD-A 共通・方式の実装仕様	非機能: 設計標準・規約	共通方式（エラー・ログ・整合・排他ほか）	共通方式の実装仕様	文字コード・日時の扱い・一時保持の規則が実装できる粒度で書かれている	3			一部	1.5		文字コード・日時・ログの最小限
MKB-29	MK-B Keycloak-Brokerの設定・構築	非機能: 設計標準・規約	共通方式（エラー・ログ・整合・排他ほか）	一時保持の設定	設計どおりの保持時間と破棄のきっかけで動く		2		一部		1	文字コード・日時・ログの最小限
DDE-10	DD-E つなぎ目（IF）の詳細設計	非機能: 設計標準・規約	API 設計規約	エラー応答の実装仕様	エラーの種類・番号・本文の形式が一覧で確定している	2			一部	1		標準 API をそのまま渡すため、エラーの返し方の整理だけ
DDG-13	DD-G 基盤構成の実装設計	非機能: 設計標準・規約	命名・構成管理規約	命名とリポジトリ構成の実装規約	資源の名前・タグ・コードの置き場所と分け方が確定している	2			対象	2		構成をコードで持つ前提
MKA-19-1	MK-A 環境・基盤の構築	非機能: 設計標準・規約	命名・構成管理規約	構成コードの置き場とパイプラインの構築	コードから環境へ反映する経路が通る		2	★基本設計に対応する行が無い	対象		2	構成をコードで持つ前提
MKA-19-2	MK-A 環境・基盤の構築	非機能: 設計標準・規約	命名・構成管理規約	環境ごとの切り替えの構築	環境ごとに切り替えられる		2	★基本設計に対応する行が無い	対象		2	構成をコードで持つ前提
DDJ-02	DD-J レビュー・整合	非機能: 設計管理	設計書の総則・前提・用語	詳細設計書の総則と構成	詳細設計書の目的・範囲・読み方と、冊子の構成が確定している	1.5			対象	1.5		設計の入口
DDJ-03	DD-J レビュー・整合	非機能: 設計管理	トレーサビリティ	詳細設計のトレーサビリティ更新	基本設計の項目と詳細設計の項目が対応づいている	3			一部	1.5		縮小版の範囲だけ追う
MKJ-03	MK-J レビュー・受入・引き渡し	非機能: 設計管理	トレーサビリティ	構築物のトレーサビリティ更新	設計と実物の対応が最新になっている		2		一部		1	縮小版の範囲だけ追う
DDJ-04-1	DD-J レビュー・整合	非機能: 設計管理	設計レビュー・説明会	詳細設計レビュー 1 回目と指摘対応	指摘が記録され是正されている	3		レビュー3+指摘対応6	一部	1.5		対象が減るぶんレビューも減る
DDJ-04-2	DD-J レビュー・整合	非機能: 設計管理	設計レビュー・説明会	詳細設計レビュー 2 回目と指摘対応	同上	3		レビュー3+指摘対応6	一部	1.5		対象が減るぶんレビューも減る
DDJ-04-3	DD-J レビュー・整合	非機能: 設計管理	設計レビュー・説明会	詳細設計レビュー 3 回目と指摘対応	同上	3		レビュー3+指摘対応6	一部	1.5		対象が減るぶんレビューも減る
MKJ-04	MK-J レビュー・受入・引き渡し	非機能: 設計管理	設計レビュー・説明会	構築物のレビューと受入確認（2 回）	実物が設計どおりであることが確認され、承認されている		6	レビュー2+指摘対応4	一部		3	対象が減るぶんレビューも減る
DDJ-05	DD-J レビュー・整合	非機能: 提供ドキュメント	アプリ開発者向けガイド（共通部）	サンプル実装の仕様	アプリ側に示す最小実装の範囲と動作条件が確定している	2			一部	1.25		R3 標準 API を渡すので、使い方の説明は要る
MKJ-05	MK-J レビュー・受入・引き渡し	非機能: 提供ドキュメント	アプリ開発者向けガイド（共通部）	サンプル実装と試用環境の提供	アプリ開発者が動かして確認できる状態で渡せている		4		一部		2.5	R3 標準 API を渡すので、使い方の説明は要る
